,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.31501856,-0.572784423828125,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.21001218,-0.27444911003112793,False
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6774989,-0.7789226770401001,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.3643904,-0.6904013156890869,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.2683947,-1.3161568641662598,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.1304765,-10.199614524841309,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.38122386,-1.0047144889831543,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.750958,-0.3053981065750122,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0075798472,-6.042026042938232,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,4.7731314,-5.5886616706848145,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.14314613,-2.5775234699249268,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.07894859,0.14313679933547974,True
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.81688005,-0.602556586265564,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,15.119449,-2.1026318073272705,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.066169396,-0.04822039604187012,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.5811702,-1.2797901630401611,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.054922357,-2.7991302013397217,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.237183,-1.0628418922424316,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,2.5830884,-0.7277060747146606,False
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.1654303,-0.12765896320343018,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.0948052,-0.8372460603713989,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.1505145,-1.2720224857330322,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.5597706,-2.1994261741638184,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.4526906,-0.12535607814788818,False
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.66655385,-0.6811500787734985,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.34905082,-1.1457762718200684,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.5186284,-2.3361361026763916,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.043782864,-3.0835914611816406,False
