,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.54796445,-0.01722121238708496,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.6947625,0.1428971290588379,True
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.63957053,-0.733227014541626,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.5038564,-1.0868093967437744,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.6728235,-0.1758882999420166,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.9312677,-9.73697280883789,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.42739624,-2.3457629680633545,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.122529,-0.2704746723175049,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.003320617,-3.5061097145080566,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,11.639939,-3.380054473876953,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.07893453,-1.2817764282226562,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.08917144,0.6783498525619507,True
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.6112153,-0.5236542224884033,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,109.1939,-1.2686083316802979,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.23931897,-0.5030407905578613,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.5025434,-0.771050214767456,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.052100085,-3.1604795455932617,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.2653915,-1.4629909992218018,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,5.0802975,-0.13394510746002197,False
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.26683128,-0.7131251096725464,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.1547877,-1.6545190811157227,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,0.8723856,-2.287527084350586,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.9121746,-0.6142303943634033,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.9069172,0.17705363035202026,True
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.75487804,-1.165416955947876,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.31155363,-0.785538911819458,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.778645,-0.8749960660934448,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.0,0.0,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.7397037,-0.9359811544418335,False
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.4595828,-0.8576802015304565,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.5067078,-1.3344900608062744,False
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.0686806,-2.750739097595215,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,1.7321483,-1.5206174850463867,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,7.238559,0.4849535822868347,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.5497895,-0.9501086473464966,False
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.35381475,-0.8243811130523682,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.34483448,-0.12630057334899902,False
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.4538152,-1.4262099266052246,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.32574886,0.0023232102394104004,False
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.4436714,-0.42149853706359863,False
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,1.0183692,-0.5009956359863281,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,4.437756,-2.1125669479370117,False
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,5.8120127,-1.190889835357666,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.7508305,-0.7405068874359131,False
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,2.4610498,-1.0660619735717773,False
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.30101615,-0.910761833190918,False
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,2.104016,0.01575690507888794,True
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.69992834,-0.4052478075027466,False
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.90689725,-1.3876724243164062,False
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.4831963,-0.5317996740341187,False
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,8.574158,-5.891133785247803,False
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.2704029,-1.2127885818481445,False
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.020279676,-0.5146658420562744,False
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,0.8535574,-0.5230940580368042,False
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,2.4292374,-1.3072702884674072,False
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.6116635,-1.5262665748596191,False
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,1.9011468,-1.3095378875732422,False
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.6078813,-2.8587119579315186,False
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.20278108,-0.6191000938415527,False
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,0.74340445,0.053634464740753174,True
Fam126b,ENSMUSG00000038174,1,58586323,58522806,-,-0.0499,0.43757057,-0.40021777153015137,False
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.029,1.7409652,-2.322551727294922,False
Tmem237,ENSMUSG00000038079,1,59120408,59100590,-,0.0895,0.42211387,-0.5387129783630371,False
Als2,ENSMUSG00000026024,1,59237231,59162926,-,-0.0013,5.2564545,-3.651864528656006,False
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0432,14.6228,-4.420980453491211,False
Wdr12,ENSMUSG00000026019,1,60098645,60069785,-,0.0274,0.16646446,0.11986285448074341,True
Raph1,ENSMUSG00000026014,1,60567104,60482292,-,0.0546,4.3943954,-1.9244506359100342,False
Ino80d,ENSMUSG00000040865,1,63114667,62958418,-,-0.0481,2.8435452,-5.426465034484863,False
Ndufs1,ENSMUSG00000025968,1,63176833,63143596,-,0.0689,0.7988477,-0.3768801689147949,False
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,-0.1428,1.0916536,-1.2745931148529053,False
Mettl21a,ENSMUSG00000025956,1,64617242,64606473,-,0.009,0.23751833,-0.28750836849212646,False
Plekhm3,ENSMUSG00000051344,1,64956824,64785983,-,-0.0257,7.3373184,-1.901181697845459,False
Idh1,ENSMUSG00000025950,1,65186500,65158616,-,0.0008,0.35344863,-0.251828670501709,False
Kansl1l,ENSMUSG00000026004,1,66817562,66719248,-,-0.022,4.840634,-3.277421474456787,False
Acadl,ENSMUSG00000026003,1,66863277,66830839,-,0.2298,0.2118763,-0.23382568359375,False
Lancl1,ENSMUSG00000026000,1,67038872,67000517,-,-0.0089,0.4812832,-0.6432896852493286,False
Ikzf2,ENSMUSG00000025997,1,69687245,69531214,-,-0.0297,3.4452972,0.06973183155059814,True
Bard1,ENSMUSG00000026196,1,71103146,71027498,-,0.1687,1.8078032,0.8334599435329437,True
Mreg,ENSMUSG00000039395,1,72212307,72159442,-,-0.0106,1.6188598,-0.08347582817077637,False
Pecr,ENSMUSG00000026189,1,72284314,72259167,-,0.0158,0.22028825,-0.15657317638397217,False
Aamp,ENSMUSG00000006299,1,74284738,74279840,-,-0.0204,0.04136212,-4.584443092346191,False
Usp37,ENSMUSG00000033364,1,74544284,74435511,-,0.0575,3.4181724,0.2547135353088379,True
Zfp142,ENSMUSG00000026135,1,74588246,74565127,-,-0.0118,0.7182639,-1.0268964767456055,False
Rnf25,ENSMUSG00000026171,1,74601397,74593748,-,-0.0325,0.6108528,-0.8347492218017578,False
Nhej1,ENSMUSG00000026162,1,75125200,74967139,-,0.0699,0.62150913,-0.9090447425842285,False
Cnppd1,ENSMUSG00000033159,1,75142711,75134554,-,-0.0577,0.15144038,-1.1491084098815918,False
Atg9a,ENSMUSG00000033124,1,75192196,75180860,-,-0.0469,0.36210215,-0.7063263654708862,False
Tuba4a,ENSMUSG00000026202,1,75219865,75214228,-,0.1993,0.009728634,-0.49970149993896484,False
Dnpep,ENSMUSG00000026209,1,75317990,75307896,-,0.0488,0.1461567,-2.5522258281707764,False
Farsb,ENSMUSG00000026245,1,78488897,78417975,-,0.0844,1.3527372,-0.16026568412780762,False
Ap1s3,ENSMUSG00000054702,1,79671972,79606876,-,0.0606,2.6690688,-0.18608522415161133,False
Wdfy1,ENSMUSG00000073643,1,79776143,79702262,-,-0.0818,0.6982185,-2.3402252197265625,False
Serpine2,ENSMUSG00000026249,1,79861180,79794197,-,0.0564,0.11371185,0.03943359851837158,True
Cul3,ENSMUSG00000004364,1,80340480,80264923,-,0.0308,1.5908446,-0.709757924079895,False
Dock10,ENSMUSG00000038608,1,80758527,80501073,-,-0.0708,11.41621,-7.552064895629883,False
Trip12,ENSMUSG00000026219,1,84840516,84721189,-,-0.0368,1.9615475,-0.8671474456787109,False
Sp110,ENSMUSG00000070034,1,85598817,85576899,-,-0.1564,0.19070444,-0.2544426918029785,False
A630001G21Rik,ENSMUSG00000052760,1,85778643,85717083,-,-0.0502,0.95938504,-0.07581603527069092,False
Gpr55,ENSMUSG00000049608,1,85961007,85938318,-,-0.0092,0.6596912,-0.40650856494903564,False
Ncl,ENSMUSG00000026234,1,86359400,86344719,-,0.3456,0.06662947,0.28852683305740356,True
Pde6d,ENSMUSG00000026239,1,86582629,86542994,-,-0.0156,3.0367167,-1.3594958782196045,False
Usp40,ENSMUSG00000005501,1,88008551,87945119,-,-0.0333,1.5321491,-0.21005713939666748,False
Hjurp,ENSMUSG00000044783,1,88277633,88262471,-,0.0629,0.42435127,0.528514951467514,True
Arl4c,ENSMUSG00000049866,1,88702221,88673125,-,-0.0968,0.5119099,-0.23411929607391357,False
Ilkap,ENSMUSG00000026309,1,91398815,91373861,-,0.1238,0.35377264,-1.5275444984436035,False
Hdac4,ENSMUSG00000026313,1,92195699,91928779,-,-0.0913,2.6878119,-0.9942343235015869,False
Ndufa10,ENSMUSG00000026260,1,92473860,92439010,-,0.1287,0.14833593,-0.6884759664535522,False
Cops9,ENSMUSG00000073616,1,92641985,92637145,-,0.0781,0.02411076,-4.580399036407471,False
Mterf4,ENSMUSG00000026273,1,93305915,93299211,-,0.003,0.18793994,-0.41029369831085205,False
Pask,ENSMUSG00000026274,1,93343482,93308770,-,0.0895,0.81500584,0.5876002907752991,True
Hdlbp,ENSMUSG00000034088,1,93478815,93405940,-,0.2369,0.4375785,0.402437686920166,True
Stk25,ENSMUSG00000026277,1,93658659,93619751,-,-0.0315,0.20799614,-0.8699908256530762,False
Thap4,ENSMUSG00000026279,1,93754864,93701935,-,0.0178,0.575611,-0.31216681003570557,False
Dtymk,ENSMUSG00000026281,1,93801934,93792576,-,0.1976,0.48136684,0.257172167301178,True
Pdcd1,ENSMUSG00000026285,1,94052553,94038305,-,0.1159,0.33996066,0.04523134231567383,True
St8sia4,ENSMUSG00000040710,1,95667571,95587682,-,-0.0566,1.4766743,-0.29969966411590576,False
D1Ertd622e,ENSMUSG00000044768,1,97662074,97606318,-,-0.0049,0.50219434,-0.5316834449768066,False
Ppip5k2,ENSMUSG00000040648,1,97770411,97706048,-,0.0158,0.9794233,-1.437687873840332,False
Pam,ENSMUSG00000026335,1,98095646,97795114,-,-0.0168,5.001426,-2.6355185508728027,False
Pign,ENSMUSG00000056536,1,105663677,105518422,-,-0.0193,4.198878,-4.328460693359375,False
Bcl2,ENSMUSG00000057329,1,106714274,106538178,-,-0.167,2.4228988,0.7206348180770874,True
Kdsr,ENSMUSG00000009905,1,106759727,106720459,-,-0.0828,0.356954,-0.705613374710083,False
Vps4b,ENSMUSG00000009907,1,106796728,106764071,-,-0.0084,1.796992,-2.038397789001465,False
Tsn,ENSMUSG00000026374,1,118311739,118294778,-,0.2497,0.08358896,-0.7199442386627197,False
Ptpn4,ENSMUSG00000026384,1,119837613,119652467,-,-0.0821,3.2065816,-0.20875918865203857,False
