gene_names,labels
Gli2,nascent_all
Gatad1,nascent_all
Perm1,nascent_all
Gm20075,nascent_all
1700123O21Rik,nascent_all
Ddx23,nascent_all
Gm28530,nascent_all
Gm45206,nascent_all
Myl1,nascent_all
Hist1h1d,nascent_all
Eif4g1,nascent_all
Gm5709,nascent_all
Gm8155,nascent_all
Eme1,nascent_all
1700085D07Rik,nascent_all
Derl2,nascent_all
Vmn2r107,nascent_all
Ahnak,nascent_all
1700029N11Rik,nascent_all
Gm2199,nascent_all
Cyp19a1,nascent_all
Rbsn,nascent_all
Atm,nascent_all
Selenop,nascent_all
Abca13,nascent_all
Gm5970,nascent_all
Gm23547,nascent_all
Scml2,nascent_all
Rnu3b4,nascent_all
Letmd1,nascent_all
Zfp532,nascent_all
Nit1,nascent_all
Gm23969,nascent_all
Gm15716,nascent_all
Mir6417,nascent_all
Gm6395,nascent_all
Fam131a,nascent_all
Me2,nascent_all
Crebrf,nascent_all
Macf1,nascent_all
Mrpl22,nascent_all
Zfp109,nascent_all
Rcn3,nascent_all
Clec4n,nascent_all
Ano5,nascent_all
Gm21559,nascent_all
P4ha3,nascent_all
P3h4,nascent_all
Scn1a,nascent_all
Trbj2-4,nascent_all
Dcdc5,nascent_all
Axl,nascent_all
Gm9974,nascent_all
Gm20908,nascent_all
Brms1,nascent_all
Psmd14,nascent_all
Rpl9-ps6,nascent_all
Samm50,nascent_all
Fam163b,nascent_all
Adgrf1,nascent_all
Phax,nascent_all
Cntn3,nascent_all
Rapgef6,nascent_all
Col4a1,nascent_all
Carmil1,nascent_all
BB557941,nascent_all
Ccar1,nascent_all
Ermard,nascent_all
Gm25679,nascent_all
Gm28836,nascent_all
Gm10415,nascent_all
Zfp941,nascent_all
Gm46210,nascent_all
Gm38228,nascent_all
Gm42432,nascent_all
Smok3b,nascent_all
Gm37833,nascent_all
Zfp52,nascent_all
Plxnd1,nascent_all
Zfp952,nascent_all
Synpr,nascent_all
Rhoc,nascent_all
4930594M22Rik,nascent_all
Cdh2,nascent_all
Tnrc6b,nascent_all
Gm4880,nascent_all
B230317F23Rik,nascent_all
Cdadc1,nascent_all
Gm17249,nascent_all
Sfmbt2,nascent_all
Plekha8,nascent_all
Gm33994,nascent_all
A930040O22Rik,nascent_all
Gm16845,nascent_all
4930415O20Rik,nascent_all
Ash1l,nascent_all
Gm12020,nascent_all
Dhh,nascent_all
9930021J03Rik,nascent_all
Cwc27,nascent_all
4930572G02Rik,nascent_all
Mat2a,nascent_all
Ankmy1,nascent_all
D230022J07Rik,nascent_all
Tbx21,nascent_all
D130019J16Rik,nascent_all
Numbl,nascent_all
Pop7,nascent_all
Dgke,nascent_all
Tmem14a,nascent_all
Eif2s3x,nascent_all
Gm48749,nascent_all
Selenoo,nascent_all
Twf2,nascent_all
Gm8172,nascent_all
Prss51,nascent_all
Nipa2,nascent_all
Gm37663,nascent_all
n-R5s123,nascent_all
Tmem132c,nascent_all
Tspyl1,nascent_all
Gm40663,nascent_all
A630089N07Rik,nascent_all
Gm28685,nascent_all
Epn1,nascent_all
Elof1,nascent_all
Gm44822,nascent_all
Gm35584,nascent_all
E430024I08Rik,nascent_all
Ints2,nascent_all
Arhgap4,nascent_all
Gm47087,nascent_all
Hecw1,nascent_all
Dhx16,nascent_all
Gm37465,nascent_all
Rps13-ps2,nascent_all
Ccdc162,nascent_all
Csrnp3,nascent_all
Gm37012,nascent_all
4930578C19Rik,nascent_all
Xpnpep3,nascent_all
Gm14085,nascent_all
Pde4b,nascent_all
Gm11264,nascent_all
Mir93,nascent_all
Gm25282,nascent_all
Phf12,nascent_all
Gm7019,nascent_all
Braf,nascent_all
Tcf4,nascent_all
Mirlet7d,nascent_all
Gm48870,nascent_all
Ccdc192,nascent_all
Rnf152,nascent_all
Gm12506,nascent_all
14-Sep,nascent_all
Amigo3,nascent_all
Gm25348,nascent_all
Npm3,nascent_all
Bnipl,nascent_all
Gm8281,nascent_all
Gm9430,nascent_all
Cyp2j15-ps,nascent_all
Cspg4,nascent_all
Elavl1,nascent_all
Mapk6,nascent_all
Zfp820,nascent_all
Prox1os,nascent_all
Actr6,nascent_all
Zfp612,nascent_all
Gm22396,nascent_all
Gm35572,nascent_all
Gm49339,nascent_all
Gm4751,nascent_all
Zc3hav1l,nascent_all
Ttn,nascent_all
Gm26709,nascent_all
Gm48978,nascent_all
Ift88,nascent_all
Prepl,nascent_all
Zc2hc1a,nascent_all
Pak1ip1,nascent_all
Bloc1s6os,nascent_all
R3hdm4,nascent_all
Aadacl2,nascent_all
Dkk2,nascent_all
Gm29487,nascent_all
Gm15943,nascent_all
Gm37183,nascent_all
Gm49628,nascent_all
Gm41505,nascent_all
Gm28693,nascent_all
Gm6566,nascent_all
Rsph6a,nascent_all
Speer9-ps1,nascent_all
Atp8b1,nascent_all
Rttn,nascent_all
Eprs,nascent_all
Rnf219,nascent_all
Cd74,nascent_all
Ptpn14,nascent_all
Pdpk1,nascent_all
Gm11706,nascent_all
A630001G21Rik,nascent_all
Cdk4,nascent_all
Sbk1,nascent_all
Fbxw9,nascent_all
Prkd1,nascent_all
Gm2309,nascent_all
Prdx6b,nascent_all
Tmem221,nascent_all
Gm36448,nascent_all
Gm7669,nascent_all
Trappc12,nascent_all
Rcbtb2,nascent_all
Gm14421,nascent_all
Trdv5,nascent_all
Slc18b1,nascent_all
Zfp511,nascent_all
Cse1l,nascent_all
Gm35330,nascent_all
Adra2a,nascent_all
Gm47806,nascent_all
Gprc6a,nascent_all
