,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.42289415,0.40803200006484985,True
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,-0.016173543,0.026943743228912354,True
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.65073013,-0.9973949193954468,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.4811245,0.05892360210418701,True
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5052959,0.2701464891433716,True
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.870949,-27.893375396728516,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.54962385,0.003804802894592285,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.84255725,-0.7472285032272339,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.004596199,-5.34935188293457,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,6.438378,-5.389264106750488,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.1024333,-0.9780296087265015,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.15647137,-0.12352406978607178,False
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,1.0497199,-1.2387402057647705,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,203.64702,-1.1270415782928467,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.12484711,-0.4292280673980713,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.3438362,0.11607640981674194,True
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.1443094,-7.076999664306641,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.1278079,-4.884783744812012,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,6.0499783,0.5970093905925751,True
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.15485688,-0.4952772855758667,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,3.3185701,-0.9810441732406616,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.6895819,-1.150564193725586,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,2.4115396,-0.7235441207885742,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.2514474,0.2211822271347046,True
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,1.1260405,-1.448779821395874,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.28037804,-2.701087713241577,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,4.037253,-0.7302776575088501,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.030985292,-8.197690963745117,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.5342072,0.44578731060028076,True
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.0315411,-0.6767593622207642,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.9955368,-0.647649884223938,False
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.087816104,-4.002774715423584,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,6.7012634,0.4180869460105896,True
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,17.055597,0.8898441717028618,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,1.4038265,-1.0787291526794434,False
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.8179065,-1.0843267440795898,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.6377445,-0.1451869010925293,False
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,2.0272555,-0.6752532720565796,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.41780898,0.259213924407959,True
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.25028312,0.18037647008895874,True
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.6197736,-0.8666137456893921,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,4.621809,-2.5292980670928955,False
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,6.5390153,-1.5337636470794678,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.8628052,-1.5723977088928223,False
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,1.2391757,0.3447423577308655,True
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.27523106,-1.2188186645507812,False
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,1.2893512,-3.1523895263671875,False
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.50590926,-1.7006275653839111,False
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.7543459,-1.4121708869934082,False
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.6625899,-0.9260622262954712,False
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,9.133924,-2.6140058040618896,False
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.3126861,-0.7854998111724854,False
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.012325573,-0.7248116731643677,False
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,1.3408993,-0.5725158452987671,False
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,1.7756804,-1.9589240550994873,False
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.3335247,-0.06743788719177246,False
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,1.0111988,-5.243982315063477,False
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.3082266,0.13644737005233765,True
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.37149352,-2.7635726928710938,False
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,0.9846033,0.3079056143760681,True
Fam126b,ENSMUSG00000038174,1,58586323,58522806,-,-0.0499,0.74346143,-1.086432933807373,False
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.029,1.2625072,-9.680118560791016,False
Tmem237,ENSMUSG00000038079,1,59120408,59100590,-,0.0895,0.5710416,-1.6743974685668945,False
Als2,ENSMUSG00000026024,1,59237231,59162926,-,-0.0013,2.5384908,-4.547321319580078,False
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0432,19.619102,-13.576654434204102,False
Wdr12,ENSMUSG00000026019,1,60098645,60069785,-,0.0274,0.25997302,-2.0837886333465576,False
Raph1,ENSMUSG00000026014,1,60567104,60482292,-,0.0546,6.502025,-0.33671510219573975,False
Ino80d,ENSMUSG00000040865,1,63114667,62958418,-,-0.0481,2.1586595,-5.401238441467285,False
Ndufs1,ENSMUSG00000025968,1,63176833,63143596,-,0.0689,0.6585804,-2.1347789764404297,False
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,-0.1428,1.1989021,-2.265352964401245,False
Mettl21a,ENSMUSG00000025956,1,64617242,64606473,-,0.009,0.25730354,-0.90305495262146,False
Plekhm3,ENSMUSG00000051344,1,64956824,64785983,-,-0.0257,6.3811965,-0.1723881959915161,False
Idh1,ENSMUSG00000025950,1,65186500,65158616,-,0.0008,0.076136135,-0.42319023609161377,False
Kansl1l,ENSMUSG00000026004,1,66817562,66719248,-,-0.022,6.0318623,-1.6870579719543457,False
Acadl,ENSMUSG00000026003,1,66863277,66830839,-,0.2298,0.28834015,-0.0448533296585083,False
Lancl1,ENSMUSG00000026000,1,67038872,67000517,-,-0.0089,0.40635955,-1.2235569953918457,False
Ikzf2,ENSMUSG00000025997,1,69687245,69531214,-,-0.0297,4.9519377,0.693602442741394,True
Bard1,ENSMUSG00000026196,1,71103146,71027498,-,0.1687,2.1300342,0.7983266413211823,True
Mreg,ENSMUSG00000039395,1,72212307,72159442,-,-0.0106,0.622942,-0.24397802352905273,False
Pecr,ENSMUSG00000026189,1,72284314,72259167,-,0.0158,0.1947941,-1.1469128131866455,False
Aamp,ENSMUSG00000006299,1,74284738,74279840,-,-0.0204,0.062775895,-4.290134429931641,False
Usp37,ENSMUSG00000033364,1,74544284,74435511,-,0.0575,6.8269715,0.46955323219299316,True
Zfp142,ENSMUSG00000026135,1,74588246,74565127,-,-0.0118,1.2591501,-0.570101261138916,False
Rnf25,ENSMUSG00000026171,1,74601397,74593748,-,-0.0325,1.0778173,-0.9763495922088623,False
Nhej1,ENSMUSG00000026162,1,75125200,74967139,-,0.0699,0.9169539,-0.8116647005081177,False
Cnppd1,ENSMUSG00000033159,1,75142711,75134554,-,-0.0577,0.15544116,-0.5650951862335205,False
Atg9a,ENSMUSG00000033124,1,75192196,75180860,-,-0.0469,0.5335962,-0.2812007665634155,False
Tuba4a,ENSMUSG00000026202,1,75219865,75214228,-,0.1993,0.021807374,-3.9990768432617188,False
Dnpep,ENSMUSG00000026209,1,75317990,75307896,-,0.0488,0.052905682,-6.097297191619873,False
Farsb,ENSMUSG00000026245,1,78488897,78417975,-,0.0844,1.7325699,-0.16508984565734863,False
Ap1s3,ENSMUSG00000054702,1,79671972,79606876,-,0.0606,1.6264,-0.01888585090637207,False
Wdfy1,ENSMUSG00000073643,1,79776143,79702262,-,-0.0818,0.71577555,-7.986891746520996,False
Serpine2,ENSMUSG00000026249,1,79861180,79794197,-,0.0564,0.059220705,0.06808042526245117,True
