,moderate,none,sev,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score
Fkbp1b,0.016807767,0.0,0.015452325,0.12228447943925858,0.9989414490854748,0.1324627548456192,0.12228447943925858,1.0,0.20150603353977206,0.12228447943925858,0.9738425355515982,0.2895698249340057
Slc9a3,0.038012788,0.0,0.025573516,0.5808548331260681,0.9989414490854748,0.5630903840065002,0.5808548331260681,0.433223713249456,1.3479585647583008,0.5808548331260681,0.15013718660845246,1.87625253200531
Slc7a7,0.004006631,0.0,0.0066224253,-0.726858377456665,0.9989414490854748,0.00940271094441414,-0.726858377456665,0.8240335923878265,-0.6309433579444885,-0.726858377456665,0.5183444491037126,-0.9847024083137512
Atox1,0.28283796,0.1189058,0.19409543,0.6097655296325684,0.21633853348276225,2.4591388702392583,0.6097655296325684,0.007465331985272099,3.5074615478515625,0.6097655296325684,1.890303664411604e-05,4.871758460998535
Man1c1,0.012801136000000001,0.0,0.0088299,0.5386725664138794,0.9989414490854748,0.23416049778461456,0.5386725664138794,0.7586441440393401,0.7434753179550171,0.5386725664138794,0.5094992904550271,1.0231215953826904
Mcfd2,0.11570235,0.016742686,0.1269514,-0.1421365886926651,0.9989414490854748,-0.2757303714752197,-0.1421365886926651,0.8402265118385903,-0.5988972187042236,-0.1421365886926651,0.5760165868253995,-0.8892746567726135
Atp6ap2,0.40032270000000003,0.07897512,0.30505340000000003,0.464854896068573,0.08528428378038062,2.9215211868286133,0.464854896068573,0.007326011416302874,3.5158884525299072,0.464854896068573,1.0719002875507156e-05,4.999495029449463
Ascl1,0.0,0.0,0.0,0.0,0.9989414490854748,0.11159533262252808,0.0,1.0,0.0,0.0,1.0,0.0
Actr3,0.8360638000000001,0.19036308,0.74190366,0.2491432875394821,0.2168332451856376,2.456829309463501,0.2491432875394821,0.06191508621137407,2.608067512512207,0.2491432875394821,0.0014737621833861335,3.7200195789337163
Ptgr1,0.0,0.0,0.0,0.0,0.9989414490854748,0.11159533262252808,0.0,1.0,0.0,0.0,1.0,0.0
Coprs,0.100796394,0.026788296,0.09567164,0.07903807610273361,0.9989414490854748,0.20215828716754916,0.07903807610273361,1.0,0.3132354319095612,0.07903807610273361,0.8593744695776206,0.4535925090312958
Ccdc120,0.011352122,0.0,0.013244851,-0.2238377332687378,0.9989414490854748,0.03629116341471672,-0.2238377332687378,1.0,-0.31443336606025696,-0.2238377332687378,0.8482698677180556,-0.470733255147934
Tsnaxip1,0.0,0.0,0.0,0.0,0.9989414490854748,0.11159533262252808,0.0,1.0,0.0,0.0,1.0,0.0
Impdh2,0.38259529999999997,0.044099982999999995,0.41190037,-0.12901125848293304,0.9989414490854748,-0.8478111028671265,-0.12901125848293304,0.6597272291644336,-0.9053688049316406,-0.12901125848293304,0.3487168526798985,-1.3217647075653076
Cadm1,0.10028702,0.0,0.035864275,1.5305138826370241,0.4767516233443551,1.96557891368866,1.5305138826370241,0.0005292552926551853,4.345595359802246,1.5305138826370241,7.603039606947121e-07,5.562090873718262
Cdh20,0.0,0.0,0.0,0.0,0.9989414490854748,0.11159533262252808,0.0,1.0,0.0,0.0,1.0,0.0
Gemin6,0.09038919999999999,0.026788296,0.08555045,0.08291652053594589,0.9989414490854748,0.14450481534004211,0.08291652053594589,1.0,0.3113643527030945,0.08291652053594589,0.8627335771770247,0.44890159368515015
Itgb4,0.0,0.0,0.0,0.0,0.9989414490854748,0.11159533262252808,0.0,1.0,0.0,0.0,1.0,0.0
Cldn23,0.0,0.0,0.0,0.0,0.9989414490854748,0.11159533262252808,0.0,1.0,0.0,0.0,1.0,0.0
Mrfap1,0.5833381999999999,0.091236725,0.47483066,0.3820607960224152,0.04242186319391122,3.195436954498291,0.3820607960224152,0.011689102867275859,3.3421049118041988,0.3820607960224152,2.0508565311128672e-05,4.852946758270264
Tgm2,0.008517355,0.0,0.010121191,-0.2500603497028351,0.9989414490854748,0.052869629114866264,-0.2500603497028351,1.0,-0.27716928720474243,-0.2500603497028351,0.8861498654354744,-0.41525959968566895
Plbd1,0.0,0.0,0.0,0.0,0.9989414490854748,0.11159533262252808,0.0,1.0,0.0,0.0,1.0,0.0
Ccr10,0.0,0.0,0.0,0.0,0.9989414490854748,0.11159533262252808,0.0,1.0,0.0,0.0,1.0,0.0
Prpf19,0.12750727,0.016742686,0.10800031,0.2538914978504181,0.9989414490854748,0.8365113139152527,0.2538914978504181,0.5672804842945592,1.101532816886902,0.2538914978504181,0.2395772748657949,1.5919255018234253
Frmd4b,0.0959575,0.0,0.056106657000000004,0.8033342361450195,0.9989414490854748,0.9392813444137572,0.8033342361450195,0.09453917890047332,2.388094425201416,0.8033342361450195,0.00735135576581959,3.1966321468353267
Klhl10,0.0013355437,0.0,0.0,20.34996032714844,0.9989414490854748,0.16322776675224304,20.34996032714844,0.3983748537623321,1.4148958921432495,20.34996032714844,0.30662294722596456,1.4148958921432495
Rtl8c,0.044299886,0.010045611,0.024282226,0.8819244503974915,0.9989414490854748,0.8247991800308228,0.8819244503974915,0.12791778506192406,2.2205755710601807,0.8819244503974915,0.013343817060238431,2.9817202091217037
Lrrn1,0.021709112000000003,0.006697074,0.0066224253,1.7237775325775146,0.9989414490854748,0.6046602725982666,1.7237775325775146,0.05087045300868702,2.7068278789520264,1.7237775325775146,0.005539828124589007,3.297430992126465
Tshr,0.0,0.0,0.0,0.0,0.9989414490854748,0.11159533262252808,0.0,1.0,0.0,0.0,1.0,0.0
Gpr132,0.07713418,0.006697074,0.046732083,0.745113730430603,0.9839140340272424,1.2844598293304443,0.745113730430603,0.10023539394359574,2.3572802543640137,0.745113730430603,0.005778738662363822,3.280698537826538
Bik,0.01385953,0.0,0.002207475,2.658825159072876,0.9989414490854748,0.5166541934013367,2.658825159072876,0.02677730876416836,2.9893643856048584,2.658825159072876,0.004171896298140888,3.39286732673645
Blmh,0.13361982,0.020091223000000002,0.10541773,0.3627650737762451,0.9989414490854748,1.06209397315979,0.3627650737762451,0.34585812234118263,1.5531980991363523,0.3627650737762451,0.07878563067551914,2.2179317474365234
Mtus2,0.0,0.0,0.0,0.0,0.9989414490854748,0.11159533262252808,0.0,1.0,0.0,0.0,1.0,0.0
