louvain,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,dpt_pseudotime,velocity_self_transition,root_cells,end_points,velocity_pseudotime,latent_time,louvain_new_label
9,5213.95508982036,2735.9640718562873,5213.955,2194.3882,0.27079151412874264,0.4191138,0.0,0.00024349556944769374,0.2096550816190457,0.8748778775001569,P0
3,4107.589800443459,2270.0565410199556,4107.59,2185.3914,0.050234412206651854,0.42463642,0.0,0.00019920626414574657,0.2249849406287834,0.8865425210550971,P1
1,17551.216666666667,5761.932291666667,17551.217,3136.3152,0.9521637240833332,0.242581,0.0,2.1427692475353667e-06,0.6073628149926662,0.2913919285241216,P2
6,29114.367417677644,6570.339688041595,29114.367,3186.619,0.8486845561178512,0.117003165,0.0,0.0010659671894441584,0.622154412897662,0.27385523689627206,P3
4,15349.938800489595,4678.958384332926,15349.938,3024.7417,0.9385884434883724,0.15996222,0.0,5.301036518334133e-05,0.6514352794230495,0.17416724322880067,P4
10,33821.62903225807,9435.696774193548,33821.63,3276.9504,0.8809398171612902,0.13123673,0.0,0.0018249714570532404,0.6541273497766064,0.2404630199068232,P5
5,13834.182382133995,3749.434243176179,13834.183,2994.9739,0.9352343944789089,0.13221744,0.0,0.0011710163968181272,0.6926634909941008,0.25133136151277025,P6
7,12103.118811881188,4676.839603960396,12103.119,2865.4531,0.8864362193663363,0.2806612,0.0,5.0288493454654786e-05,0.7438614583251499,0.5297480979363245,P7
8,7885.573363431151,3227.024830699774,7885.573,2737.5085,0.9375311506772002,0.18440862,0.0,0.00029965798458783183,0.7653474414859883,0.5127739062897251,P8
0,5899.100586756077,2809.2405699916176,5899.1006,2548.937,0.9157817164794618,0.1355027,0.0,0.01319740300211123,0.8916113814284395,0.6657863222906975,P9
2,4009.3661087866108,1958.0439330543934,4009.3662,2335.76,0.9499052949686202,0.16488184,0.0,0.5142455671414317,0.9629602691618468,0.7275295834475352,P10
