wilcoxon,t-test,t-test_overestim_var
Ly6c2,Ly6c2,Ly6c2
Rbm3,Lgals1,Lgals1
Lgals1,S100a4,S100a4
Anxa2,S100a6,S100a6
Txn1,Anxa2,Anxa2
S100a4,Ahnak,Ahnak
S100a6,Rbm3,Ccl5
Dnajc15,Ccl5,Rbm3
Sub1,Gzmb,Gzmb
Ahnak,Lgals3,Lgals3
Gapdh,Txn1,Hmgb2
S100a10,Hmgb2,Txn1
Crip1,Ctla2a,Ctla2a
H2afz,Serpinb6b,Serpinb6b
Actg1,H2afz,H2afz
Ccl5,Dnajc15,S100a10
Abracl,S100a10,Plek
Hmgb2,Actg1,Actg1
Lgals3,Plek,Dnajc15
Lsp1,Crip1,Crip1
Ctla2a,Sub1,Gzmk
Gzmb,Gapdh,Stmn1
Serpinb6b,Gzmk,Sub1
Itga4,Stmn1,Cxcr3
Vim,Itga4,Gapdh
Cox5b,Pglyrp1,Ifng
S100a13,Cxcr3,Pglyrp1
Efhd2,Ifng,Itga4
Pycard,Efhd2,Klrc1
Cox17,Abracl,Efhd2
Reep5,Klrc1,Pclaf
Plek,Vim,Vim
Pkm,Pclaf,Bcl2a1b
Sec61b,Lsp1,Abracl
Pglyrp1,Bcl2a1b,Lsp1
Ctsd,Reep5,Itgb1
Hint1,Itgb1,Bhlhe40
Stmn1,Pkm,Reep5
Btf3,Pycard,Slamf7
Cd48,S100a13,Pkm
Cox8a,Bhlhe40,Pycard
Nkg7,Ctsd,Ctsd
Calm1,Slamf7,Myo1f
Itgb1,Myo1f,S100a13
Prdx1,Tmsb4x,Tmsb4x
Cyba,Ptms,Ptms
Cxcr3,Cks1b,Cks1b
S100a11,Cox5b,Cenpw
Cdc42,Cox17,Gna15
Klrc1,Cenpw,Itgax
Gzmk,Gna15,Klrg1
Ms4a4b,Cd48,Bcl2a1d
Ifng,Cks2,Cks2
Bcl2a1b,Itgax,Cox17
Prelid1,Racgap1,Racgap1
Myl6,Bcl2a1d,Cox5b
Nap1l1,Lmnb1,Lmnb1
Id2,Klrg1,Cd48
Ppp1ca,Rilpl2,Il18rap
Thy1,Hint1,Gzma
Myo1f,Id2,Rilpl2
Krtcap2,Il18rap,Id2
Pclaf,Gzma,Osbpl3
Atp5h,Nap1l1,Hint1
Tmsb4x,Gm8369,Ccnb2
Cfl1,Osbpl3,Klrk1
Myl12a,S100a11,Nap1l1
Bhlhe40,Prdx1,Chsy1
Gimap7,Gimap7,S100a11
Ptms,Ccnb2,Gm8369
Rilpl2,Gng2,Gng2
Cox6b1,Chsy1,Tyms
Calm3,Klrk1,Gimap7
Gm8369,Btf3,Birc5
Slc25a5,Thy1,Prdx1
Cox5a,Rpa2,Rpa2
Racgap1,Prelid1,Hmgn2
Pim1,Calm3,Thy1
Cks2,Tyms,Zbtb32
Pgk1,Birc5,Calm3
Clic1,Sec61b,Btf3
Gng2,Hmgn2,Prelid1
Zyx,Cox8a,Sec61b
Cenpw,Glipr2,Glipr2
Cks1b,Krtcap2,Zyx
Glipr2,Zyx,Acot7
Capzb,Pim1,Cox8a
Hmgn2,Pgk1,Mki67
Sec61g,Acot7,Pim1
Supt4a,Cyba,Dut
Cox7c,Zbtb32,Krtcap2
Anp32b,Calm1,Plp2
Ywhah,Dut,Cyba
Rac2,Plp2,Pgk1
Spn,Mki67,Ube2c
Ap2s1,Ube2c,Calm1
Slamf7,Supt4a,Tk1
Rpa2,Txndc5,Dapk2
Chsy1,Spn,Txndc5
Prr13,Ywhah,Tbx21
Mrpl33,Ms4a4b,1500009L16Rik
Lmnb1,Tbx21,Cx3cr1
Rap1b,Cdc42,Serpinb9
Oaz1,Ap2s1,Fhl2
Dbi,Tk1,Hopx
Coro1a,Atp5h,Spn
Gna15,Dapk2,Top2a
Dek,Serpinb9,Ywhah
Arpc4,Prr13,Supt4a
Arpc3,Dek,Tnfaip3
Tspo,1500009L16Rik,Ccr2
1810037I17Rik,Tnfaip3,Ms4a4b
Gmfg,Fhl2,Cdca3
Sh2d1a,Cx3cr1,Cdc42
Polr1d,Dbi,Dek
Tmed2,Hopx,Ap2s1
Srgn,Ppp1ca,Prr13
Ifi27l2a,Top2a,Arsb
Dut,1810037I17Rik,Atp5h
Pfkp,Pfkp,Wdr95
Txndc5,Anp32b,Dbi
Elob,Cox6b1,Pfkp
Arpc5,Slc25a5,Ybx3
Hspa8,Cdca3,Snx10
Atp5j,Arsb,Mapre2
Itgax,Ccr2,Rrm2
Ly6a,Ybx3,Rrm1
Eif4e2,Mapre2,Ppp1ca
Plp2,Wdr95,Lag3
Sh3bgrl3,Snx10,Anp32b
Il2rb,Sept11,1810037I17Rik
Gimap4,Rrm1,Ccna2
Bcl2a1d,Eif4e2,Cox6b1
Tnfaip3,Rrm2,Slc25a5
Myo1g,Etfb,Cd44
Anxa6,Sh2d1a,Sept11
Acot7,Gmnn,Gmnn
Klrg1,Myl6,Cdca8
Arhgdib,Ube2s,Ccl4
Atox1,Rap1b,Spc24
H2-D1,Lag3,Anxa1
Cox6c,Ccna2,AA467197
Sept11,Myl12a,Mcm5
Ywhae,Pcna,Gpr183
Atp5l,Myo1g,Eif4e2
1110008P14Rik,Cd44,Etfb
Il18rap,Gpr183,Pcna
Ube2c,Cdca8,Myl6
Gzma,Mcm5,Ube2s
