wilcoxon,t-test,t-test_overestim_var
Gzma,Gzma,Gzma
Ppp1r15a,Ppp1r15a,Ppp1r15a
Hsp90aa1,Fos,Hsp90aa1
Fos,Hsp90aa1,Cd69
Cd69,Cd69,Fos
Anp32a,Arl4c,Arl4c
Klf6,Klf6,Klf6
Arl4c,Hsph1,Hsp90ab1
Pkm,Hsp90ab1,Anp32a
Hsp90ab1,1700025G04Rik,Hsph1
Rps2,Anp32a,Pkm
Hspe1,Chchd10,Rps2
Cotl1,Pkm,Hspe1
Tagln2,Hspe1,Ugcg
Thy1,Ugcg,Chchd10
Ugcg,Fcgrt,1700025G04Rik
Tmsb10,Rps2,Tmsb10
Ube2s,Tuba1a,Tuba1a
Hsph1,Tmsb10,Cotl1
Hnrnpc,Cotl1,Ube2s
Tuba1a,Ube2s,Thy1
Rpl41,Thy1,Tagln2
Krtcap2,Klrg1,Rpl41
Chchd10,Rras2,Hnrnpc
Hspa5,Vps37b,Rras2
Dnaja1,Tagln2,Fcgrt
Rras2,Fosb,Vps37b
Lat,Hnrnpc,Klrg1
1700025G04Rik,Ass1,Hspa5
Eif5a,Pdia6,Fosb
Eef1d,Rpl41,Pdia6
Park7,Sidt1,Dnaja1
Hsp90b1,Hspa5,Ass1
Chchd2,Ggt1,Sidt1
Sec61b,Dnaja1,Hspd1
Atp5b,Hspd1,Eef1d
Sidt1,H2-Q10,Ggt1
Vps37b,Saraf,Saraf
Pdia6,Eef1d,Eif5a
Hspa8,Gzmk,Fkbp4
Ywhaq,Fkbp4,Hspa8
Fosb,Esm1,H2-Q10
Prdx1,Hspa8,Gzmk
Aldoa,Ppid,Lat
Hspd1,Fdps,Ppid
Ran,Eif5a,Ptges3
Fth1,Ggh,Krtcap2
Pdia3,Hsp90b1,Park7
Saraf,Ccr7,Ggh
Ptges3,Ptges3,Hsp90b1
Fkbp4,Lat,Fdps
Calr,Krtcap2,mt-Nd2
Klrg1,Rrm2,Rrm2
Fcgrt,Gzmm,Esm1
mt-Nd2,Park7,Txk
Gzmk,Tagap,Tagap
Tagap,Txk,Tuba4a
Manf,Gadd45b,Gramd3
