wilcoxon,t-test,t-test_overestim_var
Ly6c2,Lgals1,Ly6c2
Lgals1,Ly6c2,Lgals1
Sub1,Gzmb,Gzmb
Hmgb2,Anxa2,Anxa2
Anxa2,S100a6,S100a6
Gzmb,Hmgb2,Hmgb2
Pkm,Serpinb6b,Serpinb6b
Txn1,Pkm,Pkm
S100a6,Stmn1,Ctla2a
Actg1,Ctla2a,Stmn1
Serpinb6b,Pclaf,Pclaf
Gapdh,Ifng,Txn1
Ctla2a,Gzmk,Ifng
S100a10,Gzma,Sub1
H2az1,Lgals3,Gzmk
Cox5b,Txn1,H2az1
Crip1,Birc5,Gzma
Ifng,H2az1,Lgals3
Gzma,Mki67,Actg1
Hspa8,Cks1b,Ahnak
Cox8a,Sub1,Birc5
Hsp90aa1,Ahnak,Cks1b
Ahnak,Plek,Mki67
Cd28,Bhlhe40,Plek
Gzmk,Actg1,Hopx
Cd48,Cks2,S100a10
Abracl,Hopx,Bhlhe40
Hopx,Lmnb1,Cd28
Stmn1,S100a10,Gapdh
Ube2s,Ccnb2,Cks2
Vim,1500009L16Rik,Lmnb1
Pim1,Gapdh,Crip1
Dnajc15,Cd28,Ube2s
Thy1,S100a4,Ccnb2
Nkg7,Crip1,Vim
Bhlhe40,Rrm2,Pim1
Clic1,Cdca8,1500009L16Rik
Pclaf,Ube2s,S100a4
Lgals3,Tyms,Hsp90aa1
Plek,Spc24,Cd48
Prdx1,Vim,Sdf2l1
Cox5a,Sdf2l1,Cox5b
Cdc42,Serpinb9,Rrm2
Ptma,Cdca3,Tyms
Cks2,Tmsb4x,Ybx3
Ly6a,Ybx3,Serpinb9
Reep5,Hsp90aa1,Spc24
Pycard,Pim1,Ptma
Lsp1,Ptma,Cdca8
Rbm3,Klrk1,Tmsb4x
Mki67,Cd48,Thy1
Cks1b,Top2a,Cdca3
S100a4,Cxcr3,Cxcr3
Ran,Dut,Klrk1
Birc5,Ube2c,Dut
Klrk1,Ccna2,Hspa8
Calm1,Klrc1,Ly6a
Cyba,Cox5b,Reep5
Tmsb4x,Ptms,Il2rb
Lmnb1,Ccr5,Top2a
Klf6,Bcl2a1b,Klf6
Cxcr3,Asf1b,Klrc1
Hint1,Thy1,Ube2c
Il2rb,Reep5,Ccna2
H3f3b,Hspa8,Ptms
Prelid1,Il2rb,Pycard
Ccr5,Ly6a,Bcl2a1b
Ybx3,Cenpw,Abracl
Hsp90b1,Slamf7,Ccr5
Anp32b,Pycard,Hsp90b1
Klrc1,Cenpa,Asf1b
1500009L16Rik,Klf6,Prdx1
Sdf2l1,Gmnn,Dnajc15
Tnfaip3,Hsp90b1,Hmgn2
Serpinb9,Smc2,Cenpa
Ube2c,Hmgn2,Cox8a
Cfl1,Tpx2,Clic1
Bcl2a1b,Mcm5,Lsp1
Ptms,Tk1,Prelid1
Dut,Abracl,Cenpw
Rgs1,Kif15,Gmnn
Ctsd,Rilpl2,Rilpl2
Dennd4a,Tnfaip3,Ran
Ywhah,Prdx1,Tnfaip3
Actb,Cenpe,Slamf7
Ccnb2,Ran,Gng2
Slc25a5,Rgs1,Smc2
Ccl5,Tacc3,Eif4e2
Pglyrp1,Ncald,Alyref
Sec61b,Prelid1,Mcm5
Dusp5,Alyref,Ywhah
Ppp1ca,Lsp1,Dennd4a
Calm3,Gng2,Pglyrp1
1810037I17Rik,H1f5,Cox5a
Slamf7,Pglyrp1,Id2
Hmgn2,Clic1,Racgap1
Snrpd1,Ccl5,Ctsd
Tyms,Lig1,Rgs1
Id2,Dennd4a,Tpx2
Hspa5,Racgap1,Tk1
Alyref,Dnajc15,Ccl5
Dynll1,Hmmr,Anp32b
Cenpa,Eif4e2,Dusp5
Spc24,Uhrf1,Kif15
Rrm2,Rrm1,H3f3b
Top2a,Ywhah,Tacc3
Cox6b1,Dusp5,Lig1
Rilpl2,Kif11,Nkg7
Gng2,Cox8a,Rrm1
Dbi,Id2,1810037I17Rik
Ybx1,Cdk1,Calm3
Arpc3,Ctla4,Ncald
Cdca8,Arsb,Cenpe
Hmgb1,Havcr2,Fkbp2
Cdca3,Acot7,Snrpd1
Myo1f,Clspn,Etfb
S100a13,Myo1f,Myo1f
Rps27l,Ctsd,Acot7
Ywhae,Osbpl3,Rbm3
Cox7c,Cox5a,Cyba
Eif4e2,Cdkn3,Pfkp
Snrpe,Fkbp2,H1f5
Krtcap2,Anp32b,Uhrf1
Selenoh,Ezh2,Actb
Ldha,Mad2l1,Cdc42
Racgap1,Actb,Arsb
Dek,Ccnb1,Ezh2
Ube2l3,Nkg7,Atpif1
Gmnn,Etfb,Hmmr
Cenpw,H4c9,Ctla4
Klrc2,Calm3,Hspa5
Ctla4,Klrc2,Clspn
Smc2,Snrpd1,Phf11b
Tmem14c,Ccr2,Cdk1
S100a11,1810037I17Rik,S100a13
Atpif1,Mcm6,Rpa2
Manf,Rpa2,Dbi
Acot7,H3f3b,Kif11
Capzb,Pfkp,Osbpl3
Ccl4,Atpif1,Selenoh
Btf3,Phf11b,Hint1
Polr1d,Cyba,Havcr2
Mcm5,Hsph1,Mad2l1
Phf11b,Rbm3,Mcm6
Pfn1,Zbtb32,Rps27l
Ccna2,Carhsp1,H4c9
Etfb,Cdc20,Hsph1
Pfkp,Ncapg,Manf
Asf1b,Cdc42,Efhd2
Fkbp2,Cdc25b,Cdkn3
Pdia3,Dbi,Ccnb1
Arsb,Cenpm,Sept11
Pgk1,S100a13,Klrc2
Myl6,Rps27l,Ywhae
Chsy1,Hspa5,Dek
Plac8,Selenoh,Chsy1
Itga4,Chsy1,Dynll1
Rpa2,Efhd2,Pcna
Mcm6,Glrx,Ap2s1
Hsph1,H2ac8,Ube2l3
Pcna,Manf,Cdc25b
Atp5j,Casp3,Ccr2
Ncald,Rad51,Glrx
Cdc25b,Sept11,Casp3
Ccr2,Pcna,Zbtb32
Sept11,Knl1,Polr1d
Efhd2,Ccl4,Calm1
Cenpe,Hint1,Carhsp1
Glrx,Dek,Tmem14c
Sec61g,Rbbp8,Cfl1
Rrm1,Shcbp1,Rbbp8
