All_ranked,All_ranked_likelihood,WT_ranked,WT_ranked_likelihood,KO_ranked,KO_ranked_likelihood,WT_unique,KO_unique,WT-KO_common
Itga4,0.51651086398032,Sell,1.1530464057599237,Itga4,0.6927158324354596,Tnf,Chaf1b,Mcm6
Mcm7,0.4801330244489558,Ssbp2,0.5933235431729488,Lef1,0.501079807009668,Chd3,Rora,Klf3
Ncr1,0.47396430273480267,Ezh2,0.4910475139113994,Ssbp2,0.48984238524057866,Treml2,Crtam,H2-Eb1
Ezh2,0.4478400410842294,Mcm7,0.46067375402944166,Itgal,0.45987028764219834,Hat1,Satb1,Il6ra
Ssbp2,0.44260846681392946,Nap1l1,0.45718933169078085,Rora,0.4576531085895181,Entpd1,Cd6,Klrk1
Hmmr,0.4390374299163087,Klra3,0.45142625166943867,Scml4,0.4452276611959947,Plaur,Chaf1a,Pecam1
Uhrf1,0.41843064684975945,Tnfsf8,0.4483515923625648,Mcm7,0.4378310986659506,Klra1,Fasl,Cenpk
Hells,0.3815717424628438,Il6ra,0.4402837291359784,Hells,0.43729559854671735,Klra3,Trim28,Nap1l1
Satb1,0.3755153002096791,Ncr1,0.43328388140765894,Il18rap,0.4332760361944525,Runx3,Slamf7,Hells
Il18rap,0.35689506794063275,Mcm4,0.4210609893016157,Tbx21,0.40479391883106053,Myb,Klrc1,Timeless
Lef1,0.3545628786523161,Klra1,0.4050532887463828,Ezh2,0.39012155958943684,Padi2,Itgal,Hmmr
Mcm6,0.34882910237602954,Hells,0.3931241712848959,Mcm4,0.3776434335874993,Sell,Prdm1,Il18rap
Nap1l1,0.34576458585320535,Treml2,0.39171336463282547,Satb1,0.3773731705363126,Dpp4,Itgae,Wdhd1
Klra8,0.33930408415651125,Ctla4,0.38490655011329244,Uhrf1,0.37673497829666375,Kdm5b,Il6st,Zeb2
Nab1,0.3388352980288381,Dnmt1,0.36337657204432,Selplg,0.3700485336378633,Klrd1,Nab1,Bard1
Scml4,0.3372757263164174,Hmmr,0.3605169639476791,Brca1,0.3660660776790126,Klra9,Klf10,Kntc1
Mcm4,0.3301350187436766,Klra8,0.3598908193945272,Il18r1,0.3639512627073919,Cd96,Smad4,Tcf7
Ctla4,0.3284046491837118,Mcm6,0.3556524368367879,Icos,0.3616366753580557,Mcm3,Tnfrsf9,Il18r1
Tcf7,0.3271174334972219,Klrg1,0.35212450220303165,Nab1,0.36101746839591997,Patz1,Cd28,Slamf6
Rora,0.32656610802638675,Il7r,0.3445644487973031,Ctla4,0.35967545158472203,Ets1,Ifngr2,Igf1r
Tnfsf8,0.3264514216949636,Bard1,0.3339259874911898,Il7r,0.3533867391089179,Cd53,Ccr9,Brip1
Klf13,0.32283620609028235,Uhrf1,0.3244923441870478,Mcm6,0.34871989403074855,Ikzf2,Nfkbia,E2f3
Icos,0.3220853620373632,Tcf7,0.32424023302208393,E2f2,0.3464105654899323,,Dtx1,Cx3cr1
Il18r1,0.3196211405402519,Mcm3,0.3166080922306922,Hmmr,0.3437520463186252,,Itgb1,Tnfsf8
Ifngr2,0.3192662834629323,Dpp4,0.31522220698233594,Tox,0.33961784374730736,,Cd44,Aff3
H2-Eb1,0.3167935726005627,Itga4,0.3116739240530278,E2f3,0.3348312074977329,,Cxcr6,Selplg
Aff3,0.3162742144212094,Klrd1,0.3100892928624248,Cenpk,0.3340679914851682,,Cd55,Klra8
Il6ra,0.31390955699833745,Foxp1,0.3042059471647813,Cd28,0.3315317164209462,,Nrp1,Klrg1
Tox,0.31135342197532884,Aff3,0.3019432431070072,Klf13,0.3285717688610655,,Tfdp1,Brca1
Il4ra,0.3076584890180506,Tnf,0.30137384485563534,Dnmt1,0.328429741460779,,Tbx21,Tox
Foxp1,0.3028482121910421,Il18r1,0.29591065384791904,Nr4a2,0.3244864178419312,,Icos,Dnmt1
Brca1,0.30112205025332184,Brip1,0.29160997205680583,Nap1l1,0.3191826744531188,,Ddx5,Foxp1
Tbx21,0.3009043997178125,E2f3,0.29157376196682566,Aff3,0.31775809411801054,,S1pr1,Ctla4
