gene_name,Ctrl_vs_Chd7_1,Ctrl_vs_Chd7_2,Ctrl_vs_Chd7_3,Chd7_1_vs_Ctrl,Chd7_1_vs_Chd7_2,Chd7_1_vs_Chd7_3,Chd7_2_vs_Ctrl,Chd7_2_vs_Chd7_1,Chd7_2_vs_Chd7_3,Chd7_3_vs_Ctrl,Chd7_3_vs_Chd7_1,Chd7_3_vs_Chd7_2
Fancm,-0.034,-0.713,0.318,0.034,-0.62,0.322,0.713,0.62,0.942,-0.318,-0.322,-0.942
Msh2,0.079,-0.979,-0.185,-0.079,-0.965,-0.241,0.979,0.965,0.725,0.185,0.241,-0.725
Ggnbp2,-0.51,0.233,-0.192,0.51,0.679,0.291,-0.233,-0.679,-0.388,0.192,-0.291,0.388
Gm45514,,,,,,,,,,,,
Cyth1,-0.864,1.036,-0.192,0.864,1.734,0.614,-1.036,-1.734,-1.122,0.192,-0.614,1.122
Gm11354,-0.318,0.0,0.0,0.318,0.32,0.34,0.0,-0.32,0.0,0.0,-0.34,0.0
Gm11895,0.0,0.0,-0.25,0.0,0.0,-0.233,0.0,0.0,-0.258,0.25,0.233,0.258
Gm44128,,,,,,,,,,,,
Gm18000,-0.307,0.0,0.0,0.307,0.311,0.331,0.0,-0.311,0.0,0.0,-0.331,0.0
Icosl,-1.309,-4.957,-1.165,1.309,-3.307,0.142,4.957,3.307,3.475,1.165,-0.142,-3.475
Olfr572,,,,,,,,,,,,
Rfc4,0.006,-1.452,-0.168,-0.006,-1.331,-0.159,1.452,1.331,1.175,0.168,0.159,-1.175
Gm5715,,,,,,,,,,,,
Gm44648,,,,,,,,,,,,
Gm43224,,,,,,,,,,,,
Zfp781,1.205,-0.287,0.632,-1.205,-1.357,-0.526,0.287,1.357,0.836,-0.632,0.526,-0.836
9930111J21Rik2,-0.594,1.252,0.717,0.594,1.685,1.196,-1.252,-1.685,-0.489,-0.717,-1.196,0.489
C6,0.255,1.068,0.217,-0.255,0.76,-0.035,-1.068,-0.76,-0.795,-0.217,0.035,0.795
Gm29634,,,,,,,,,,,,
Gm16307,,,,,,,,,,,,
Kcnk4,-0.1,1.212,-0.3,0.1,1.198,-0.182,-1.212,-1.198,-1.385,0.3,0.182,1.385
Vmn1r180,0.278,1.206,-0.057,-0.278,0.849,-0.308,-1.206,-0.849,-1.165,0.057,0.308,1.165
Vmn1r-ps92,,,,,,,,,,,,
Rps6ka5,-1.221,0.306,-2.199,1.221,1.396,-0.889,-0.306,-1.396,-2.29,2.199,0.889,2.29
Spata31d1b,,,,,,,,,,,,
Cntnap1,-1.108,-0.103,-0.379,1.108,0.923,0.678,0.103,-0.923,-0.252,0.379,-0.678,0.252
Hnrnpa2b1,-0.041,0.311,0.482,0.041,0.322,0.478,-0.311,-0.322,0.156,-0.482,-0.478,-0.156
Slc25a3,0.781,0.296,0.569,-0.781,-0.443,-0.194,-0.296,0.443,0.249,-0.569,0.194,-0.249
Nudt6,0.553,1.134,0.878,-0.553,0.534,0.291,-1.134,-0.534,-0.249,-0.878,-0.291,0.249
Gm20074,,,,,,,,,,,,
Olfr1329,,,,,,,,,,,,
Mpv17l,1.344,-0.186,0.019,-1.344,-1.408,-1.226,0.186,1.408,0.189,-0.019,1.226,-0.189
Cma2,0.0,-0.295,-0.25,0.0,-0.275,-0.234,0.295,0.275,0.041,0.25,0.234,-0.041
Obox4-ps37,,,,,,,,,,,,
Rttn,0.007,-0.893,-0.406,-0.007,-0.821,-0.377,0.893,0.821,0.445,0.406,0.377,-0.445
Akap13,0.13,1.059,0.135,-0.13,0.848,0.004,-1.059,-0.848,-0.844,-0.135,-0.004,0.844
Trim12a,0.327,1.263,0.888,-0.327,0.854,0.512,-1.263,-0.854,-0.343,-0.888,-0.512,0.343
Gpx4-ps1,0.0,-0.53,-0.251,0.0,-0.487,-0.234,0.53,0.487,0.249,0.251,0.234,-0.249
Igkv1-108,,,,,,,,,,,,
Cntd1,-0.582,-1.324,-1.281,0.582,-0.671,-0.629,1.324,0.671,0.047,1.281,0.629,-0.047
Gm7244,-0.318,0.0,0.0,0.318,0.32,0.34,0.0,-0.32,0.0,0.0,-0.34,0.0
Cetn4,-0.381,-0.964,0.309,0.381,-0.524,0.635,0.964,0.524,1.181,-0.309,-0.635,-1.181
Prkar1a,0.42,1.556,0.029,-0.42,1.037,-0.357,-1.556,-1.037,-1.394,-0.029,0.357,1.394
Vsig10l,1.72,1.396,0.785,-1.72,-0.29,-0.858,-1.396,0.29,-0.564,-0.785,0.858,0.564
Thrb,0.073,0.67,-0.334,-0.073,0.558,-0.379,-0.67,-0.558,-0.939,0.334,0.379,0.939
Gm44251,-0.471,-1.195,-1.237,0.471,-0.611,-0.647,1.195,0.611,-0.037,1.237,0.647,0.037
Krt75,-0.318,0.0,0.0,0.318,0.32,0.34,0.0,-0.32,0.0,0.0,-0.34,0.0
Gm28439,,,,,,,,,,,,
Gpx1,0.853,-0.382,0.208,-0.853,-1.129,-0.591,0.382,1.129,0.54,-0.208,0.591,-0.54
Pcna-ps2,2.09,0.539,-0.363,-2.09,-1.538,-2.253,-0.539,1.538,-0.825,0.363,2.253,0.825
Atxn1,-0.655,1.099,-0.576,0.655,1.602,0.073,-1.099,-1.602,-1.53,0.576,-0.073,1.53
Akr1b3,0.396,1.493,0.649,-0.396,1.001,0.23,-1.493,-1.001,-0.772,-0.649,-0.23,0.772
Rims1,0.958,0.165,-0.115,-0.958,-0.736,-0.994,-0.165,0.736,-0.256,0.115,0.994,0.256
Serf2,0.596,0.211,0.954,-0.596,-0.352,0.326,-0.211,0.352,0.679,-0.954,-0.326,-0.679
Gm45612,0.219,-0.076,0.268,-0.219,-0.27,0.0,0.076,0.27,0.315,-0.268,0.0,-0.315
Hes7,-0.788,-0.624,-2.323,0.788,0.154,-1.388,0.624,-0.154,-1.551,2.323,1.388,1.551
Tceal6,,,,,,,,,,,,
Gm21541,,,,,,,,,,,,
B4galt6,-1.042,-0.715,-1.237,1.042,0.303,-0.167,0.715,-0.303,-0.474,1.237,0.167,0.474
Gm47335,,,,,,,,,,,,
Romo1,0.351,0.665,0.371,-0.351,0.286,0.017,-0.665,-0.286,-0.269,-0.371,-0.017,0.269
1700028B04Rik,0.43,-0.298,0.003,-0.43,-0.666,-0.393,0.298,0.666,0.276,-0.003,0.393,-0.276
Gm35876,-0.227,0.896,0.077,0.227,1.037,0.279,-0.896,-1.037,-0.761,-0.077,-0.279,0.761
Gm5587,0.655,0.682,0.705,-0.655,0.0,0.0,-0.682,0.0,0.0,-0.705,0.0,0.0
Gabre,1.105,2.228,1.538,-1.105,1.06,0.37,-2.228,-1.06,-0.716,-1.538,-0.37,0.716
Fkbp14,,,,,,,,,,,,
Ovol2,-0.121,-1.023,0.313,0.121,-0.807,0.394,1.023,0.807,1.223,-0.313,-0.394,-1.223
Ifitm7,-0.153,-0.574,-0.383,0.153,-0.39,-0.213,0.574,0.39,0.179,0.383,0.213,-0.179
Gm45315,0.714,0.742,0.764,-0.714,0.0,0.0,-0.742,0.0,0.0,-0.764,0.0,0.0
Btnl10,0.324,0.012,0.876,-0.324,-0.288,0.503,-0.012,0.288,0.797,-0.876,-0.503,-0.797
Vmn1r39,0.542,-0.131,-0.15,-0.542,-0.618,-0.637,0.131,0.618,-0.017,0.15,0.637,0.017
Eya3,-0.918,-0.264,-0.024,0.918,0.598,0.818,0.264,-0.598,0.22,0.024,-0.818,-0.22
Arrb2,-0.295,0.371,0.408,0.295,0.608,0.642,-0.371,-0.608,0.034,-0.408,-0.642,-0.034
Podxl,0.4,0.003,0.511,-0.4,-0.366,0.098,-0.003,0.366,0.468,-0.511,-0.098,-0.468
Fgfr4,0.0,-0.296,0.0,0.0,-0.275,0.0,0.296,0.275,0.32,0.0,0.0,-0.32
Sp6,-0.088,-0.115,0.357,0.088,-0.024,0.409,0.115,0.024,0.435,-0.357,-0.409,-0.435
Gm2420,-0.002,0.614,0.131,0.002,0.569,0.122,-0.614,-0.569,-0.451,-0.131,-0.122,0.451
Gm9006,0.961,0.105,0.113,-0.961,-0.791,-0.786,-0.105,0.791,0.007,-0.113,0.786,-0.007
Alg3,0.472,-0.862,0.395,-0.472,-1.215,-0.076,0.862,1.215,1.152,-0.395,0.076,-1.152
Olfr644,,,,,,,,,,,,
Soat1,1.127,1.487,1.001,-1.127,0.33,-0.116,-1.487,-0.33,-0.446,-1.001,0.116,0.446
Rad51d,0.705,0.473,0.24,-0.705,-0.213,-0.428,-0.473,0.213,-0.215,-0.24,0.428,0.215
Slc38a9,0.179,2.23,0.405,-0.179,1.871,0.205,-2.23,-1.871,-1.672,-0.405,-0.205,1.672
Gm28429,,,,,,,,,,,,
Gm45770,,,,,,,,,,,,
Amer2,0.712,0.134,1.11,-0.712,-0.527,0.376,-0.134,0.527,0.895,-1.11,-0.376,-0.895
Gm13122,,,,,,,,,,,,
Abca15,,,,,,,,,,,,
Gm45135,,,,,,,,,,,,
Olfr339,0.562,-0.537,-0.272,-0.562,-0.991,-0.761,0.537,0.991,0.244,0.272,0.761,-0.244
Gm2611,,,,,,,,,,,,
Gm35595,,,,,,,,,,,,
Ecd,0.736,-0.275,-0.212,-0.736,-0.924,-0.867,0.275,0.924,0.057,0.212,0.867,-0.057
Gm9974,-0.924,0.868,-0.306,0.924,1.637,0.57,-0.868,-1.637,-1.081,0.306,-0.57,1.081
Rpsa-ps3,0.373,0.423,0.465,-0.373,0.043,0.081,-0.423,-0.043,0.038,-0.465,-0.081,-0.038
Gm42652,,,,,,,,,,,,
Gm46427,0.0,-0.279,0.0,0.0,-0.26,0.0,0.279,0.26,0.305,0.0,0.0,-0.305
Shld1,-0.452,0.022,-0.547,0.452,0.434,-0.084,-0.022,-0.434,-0.52,0.547,0.084,0.52
Gm3739,-0.16,-0.884,-1.158,0.16,-0.636,-0.877,0.884,0.636,-0.258,1.158,0.877,0.258
Pink1,0.151,1.041,0.835,-0.151,0.812,0.623,-1.041,-0.812,-0.19,-0.835,-0.623,0.19
Rps16-ps3,,,,,,,,,,,,
Gm7951,,,,,,,,,,,,
Tmem45a2,0.199,-0.512,-0.279,-0.199,-0.652,-0.439,0.512,0.652,0.216,0.279,0.439,-0.216
Vmn1r51,0.477,0.181,1.01,-0.477,-0.28,0.467,-0.181,0.28,0.767,-1.01,-0.467,-0.767
Pex1,-0.192,0.556,-0.556,0.192,0.684,-0.332,-0.556,-0.684,-1.02,0.556,0.332,1.02
Gpr84,,,,,,,,,,,,
2310050C09Rik,,,,,,,,,,,,
Glul,1.011,0.102,0.55,-1.011,-0.831,-0.422,-0.102,0.831,0.409,-0.55,0.422,-0.409
Gm13932,0.241,-0.68,0.296,-0.241,-0.846,0.0,0.68,0.846,0.897,-0.296,0.0,-0.897
Gm5449,0.0,-0.296,0.0,0.0,-0.275,0.0,0.296,0.275,0.32,0.0,0.0,-0.32
Ankrd53,,,,,,,,,,,,
Polr3d,0.346,0.1,-0.928,-0.346,-0.225,-1.165,-0.1,0.225,-0.938,0.928,1.165,0.938
Gm28934,,,,,,,,,,,,
Rmdn1,0.777,1.004,0.269,-0.777,0.205,-0.469,-1.004,-0.205,-0.676,-0.269,0.469,0.676
Boll,1.53,-0.221,-0.166,-1.53,-1.618,-1.587,0.221,1.618,0.054,0.166,1.587,-0.054
Hdgf,-0.248,-0.937,-0.256,0.248,-0.628,-0.007,0.937,0.628,0.621,0.256,0.007,-0.621
Gm8524,0.403,0.43,0.148,-0.403,0.0,-0.232,-0.43,0.0,-0.257,-0.148,0.232,0.257
Defa-ps4,,,,,,,,,,,,
Isg20l2,0.195,-0.145,0.667,-0.195,-0.311,0.43,0.145,0.311,0.742,-0.667,-0.43,-0.742
Gm16327,,,,,,,,,,,,
Map7d3,0.066,-0.184,-0.558,-0.066,-0.229,-0.571,0.184,0.229,-0.335,0.558,0.571,0.335
Prr36,-0.005,0.643,1.181,0.005,0.595,1.093,-0.643,-0.595,0.503,-1.181,-1.093,-0.503
Gm18147,0.198,-0.578,0.702,-0.198,-0.699,0.475,0.578,0.699,1.148,-0.702,-0.475,-1.148
Gm20793,,,,,,,,,,,,
Gm6025,,,,,,,,,,,,
Klf2,1.211,0.919,0.73,-1.211,-0.268,-0.44,-0.919,0.268,-0.172,-0.73,0.44,0.172
Gm5873,-0.362,-0.092,0.291,0.362,0.244,0.602,0.092,-0.244,0.35,-0.291,-0.602,-0.35
Gm14786,,,,,,,,,,,,
Vmn2r-ps114,,,,,,,,,,,,
Gm12192,0.0,-0.296,0.0,0.0,-0.275,0.0,0.296,0.275,0.32,0.0,0.0,-0.32
Gm30341,,,,,,,,,,,,
Gm6518,,,,,,,,,,,,
4933428G20Rik,,,,,,,,,,,,
Gm19239,-0.137,-0.439,-0.569,0.137,-0.267,-0.381,0.439,0.267,-0.117,0.569,0.381,0.117
1700024G13Rik,,,,,,,,,,,,
Vegfa,1.527,0.461,0.273,-1.527,-1.025,-1.162,-0.461,1.025,-0.165,-0.273,1.162,0.165
Ccl22,-0.437,-0.721,0.269,0.437,-0.26,0.643,0.721,0.26,0.893,-0.269,-0.643,-0.893
1700086L19Rik,,,,,,,,,,,,
Zfp69,-0.379,-0.557,0.076,0.379,-0.163,0.416,0.557,0.163,0.579,-0.076,-0.416,-0.579
Gm11870,-0.505,-0.011,-0.764,0.505,0.454,-0.232,0.011,-0.454,-0.69,0.764,0.232,0.69
A930035D04Rik,-0.738,-0.111,0.494,0.738,0.573,1.115,0.111,-0.573,0.557,-0.494,-1.115,-0.557
Ap3d1,-0.23,0.536,-0.221,0.23,0.7,0.008,-0.536,-0.7,-0.692,0.221,-0.008,0.692
Gm9700,,,,,,,,,,,,
Olfr700,,,,,,,,,,,,
Gm2424,,,,,,,,,,,,
Mov10,-2.733,-1.39,-2.144,2.733,1.23,0.542,1.39,-1.23,-0.689,2.144,-0.542,0.689
Gm8043,,,,,,,,,,,,
Wdr83os,-0.557,-0.042,-0.062,0.557,0.473,0.456,0.042,-0.473,-0.018,0.062,-0.456,0.018
Tomm7,0.438,-0.32,-0.26,-0.438,-0.694,-0.639,0.32,0.694,0.055,0.26,0.639,-0.055
Fcgr2b,-0.004,2.036,-0.843,0.004,1.869,-0.768,-2.036,-1.869,-2.638,0.843,0.768,2.638
1700080O16Rik,,,,,,,,,,,,
Alkbh6,0.276,0.224,-0.354,-0.276,-0.049,-0.578,-0.224,0.049,-0.532,0.354,0.578,0.532
Gm6211,0.645,1.193,-0.26,-0.645,0.499,-0.829,-1.193,-0.499,-1.333,0.26,0.829,1.333
Gm46498,,,,,,,,,,,,
Slc36a3,-0.566,-1.509,-0.724,0.566,-0.858,-0.139,1.509,0.858,0.728,0.724,0.139,-0.728
Notch2,0.418,0.588,0.755,-0.418,0.155,0.307,-0.588,-0.155,0.152,-0.755,-0.307,-0.152
Art3,0.912,0.434,0.723,-0.912,-0.449,-0.196,-0.434,0.449,0.261,-0.723,0.196,-0.261
Mat2b,0.374,0.845,1.21,-0.374,0.43,0.763,-0.845,-0.43,0.333,-1.21,-0.763,-0.333
Gm19243,0.0,-0.296,0.0,0.0,-0.275,0.0,0.296,0.275,0.32,0.0,0.0,-0.32
Gm28608,,,,,,,,,,,,
Zfp91,1.451,0.815,0.721,-1.451,-0.582,-0.668,-0.815,0.582,-0.086,-0.721,0.668,0.086
Hibch,-0.294,0.521,0.82,0.294,0.743,1.014,-0.521,-0.743,0.273,-0.82,-1.014,-0.273
Gm11660,0.217,0.244,0.266,-0.217,0.0,0.0,-0.244,0.0,0.0,-0.266,0.0,0.0
Srsf2,-0.382,-0.807,-0.08,0.382,-0.388,0.276,0.807,0.388,0.664,0.08,-0.276,-0.664
Gm3605,,,,,,,,,,,,
Pik3c3,0.728,0.672,0.322,-0.728,-0.052,-0.373,-0.672,0.052,-0.321,-0.322,0.373,0.321
Thoc2,-0.358,-0.177,0.117,0.358,0.166,0.433,0.177,-0.166,0.268,-0.117,-0.433,-0.268
Gm48126,0.0,0.0,-0.25,0.0,0.0,-0.233,0.0,0.0,-0.258,0.25,0.233,0.258
Trav7-6,-0.804,1.02,0.15,0.804,1.601,0.835,-1.02,-1.601,-0.802,-0.15,-0.835,0.802
Gm44589,-0.103,0.245,0.267,0.103,0.318,0.338,-0.245,-0.318,0.0,-0.267,-0.338,0.0
Ces2g,-0.121,0.217,0.093,0.121,0.31,0.197,-0.217,-0.31,-0.115,-0.093,-0.197,0.115
Plppr5,,,,,,,,,,,,
H2-T-ps,0.133,-0.713,0.736,-0.133,-0.772,0.549,0.713,0.772,1.328,-0.736,-0.549,-1.328
Kcnj3,-1.472,-0.119,0.171,1.472,1.233,1.488,0.119,-1.233,0.267,-0.171,-1.488,-0.267
Gipr,,,,,,,,,,,,
Txndc17,0.503,4.193,0.859,-0.503,3.377,0.323,-4.193,-3.377,-3.065,-0.859,-0.323,3.065
Gm29159,0.0,-0.296,0.0,0.0,-0.275,0.0,0.296,0.275,0.32,0.0,0.0,-0.32
Dusp19,1.256,1.016,0.606,-1.256,-0.228,-0.607,-1.016,0.228,-0.381,-0.606,0.607,0.381
Zfp419,,,,,,,,,,,,
Olfr756-ps1,,,,,,,,,,,,
