gene_name,Ctrl_vs_Chd7_1,Ctrl_vs_Chd7_2,Ctrl_vs_Chd7_3,Chd7_1_vs_Ctrl,Chd7_1_vs_Chd7_2,Chd7_1_vs_Chd7_3,Chd7_2_vs_Ctrl,Chd7_2_vs_Chd7_1,Chd7_2_vs_Chd7_3,Chd7_3_vs_Ctrl,Chd7_3_vs_Chd7_1,Chd7_3_vs_Chd7_2
Fancm,0.973,0.476,0.75,0.973,0.536,0.748,0.476,0.536,0.346,0.75,0.748,0.346
Msh2,0.937,0.328,0.853,0.937,0.334,0.81,0.328,0.334,0.468,0.853,0.81,0.468
Ggnbp2,0.61,0.816,0.848,0.61,0.497,0.771,0.816,0.497,0.698,0.848,0.771,0.698
Gm45514,,,,,,,,,,,,
Cyth1,0.388,0.3,0.848,0.388,0.083,0.539,0.3,0.083,0.262,0.848,0.539,0.262
Gm11354,0.751,1.0,1.0,0.751,0.749,0.734,1.0,0.749,1.0,1.0,0.734,1.0
Gm11895,1.0,1.0,0.803,1.0,1.0,0.815,1.0,1.0,0.796,0.803,0.815,0.796
Gm44128,,,,,,,,,,,,
Gm18000,0.759,1.0,1.0,0.759,0.756,0.741,1.0,0.756,1.0,1.0,0.741,1.0
Icosl,0.19,0.0,0.244,0.19,0.001,0.887,0.0,0.001,0.001,0.244,0.887,0.001
Olfr572,,,,,,,,,,,,
Rfc4,0.995,0.146,0.867,0.995,0.183,0.874,0.146,0.183,0.24,0.867,0.874,0.24
Gm5715,,,,,,,,,,,,
Gm44648,,,,,,,,,,,,
Gm43224,,,,,,,,,,,,
Zfp781,0.228,0.774,0.528,0.228,0.175,0.599,0.774,0.175,0.403,0.528,0.599,0.403
9930111J21Rik2,0.553,0.21,0.473,0.553,0.092,0.232,0.21,0.092,0.625,0.473,0.232,0.625
C6,0.799,0.286,0.828,0.799,0.447,0.972,0.286,0.447,0.427,0.828,0.972,0.427
Gm29634,,,,,,,,,,,,
Gm16307,,,,,,,,,,,,
Kcnk4,0.921,0.225,0.764,0.921,0.231,0.856,0.225,0.231,0.166,0.764,0.856,0.166
Vmn1r180,0.781,0.228,0.955,0.781,0.396,0.758,0.228,0.396,0.244,0.955,0.758,0.244
Vmn1r-ps92,,,,,,,,,,,,
Rps6ka5,0.222,0.759,0.028,0.222,0.163,0.374,0.759,0.163,0.022,0.028,0.374,0.022
Spata31d1b,,,,,,,,,,,,
Cntnap1,0.268,0.918,0.705,0.268,0.356,0.498,0.918,0.356,0.801,0.705,0.498,0.801
Hnrnpa2b1,0.967,0.756,0.63,0.967,0.748,0.633,0.756,0.748,0.876,0.63,0.633,0.876
Slc25a3,0.435,0.767,0.569,0.435,0.658,0.846,0.767,0.658,0.803,0.569,0.846,0.803
Nudt6,0.58,0.257,0.38,0.58,0.594,0.771,0.257,0.594,0.804,0.38,0.771,0.804
Gm20074,,,,,,,,,,,,
Olfr1329,,,,,,,,,,,,
Mpv17l,0.179,0.853,0.984,0.179,0.159,0.22,0.853,0.159,0.85,0.984,0.22,0.85
Cma2,1.0,0.768,0.802,1.0,0.783,0.815,0.768,0.783,0.967,0.802,0.815,0.967
Obox4-ps37,,,,,,,,,,,,
Rttn,0.994,0.372,0.684,0.994,0.411,0.706,0.372,0.411,0.657,0.684,0.706,0.657
Akap13,0.896,0.29,0.893,0.896,0.396,0.996,0.29,0.396,0.399,0.893,0.996,0.399
Trim12a,0.744,0.207,0.374,0.744,0.393,0.609,0.207,0.393,0.732,0.374,0.609,0.732
Gpx4-ps1,1.0,0.596,0.802,1.0,0.626,0.815,0.596,0.626,0.804,0.802,0.815,0.804
Igkv1-108,,,,,,,,,,,,
Cntd1,0.561,0.186,0.2,0.561,0.502,0.53,0.186,0.502,0.963,0.2,0.53,0.963
Gm7244,0.751,1.0,1.0,0.751,0.749,0.734,1.0,0.749,1.0,1.0,0.734,1.0
Cetn4,0.703,0.335,0.757,0.703,0.6,0.525,0.335,0.6,0.238,0.757,0.525,0.238
Prkar1a,0.674,0.12,0.977,0.674,0.3,0.721,0.12,0.3,0.163,0.977,0.721,0.163
Vsig10l,0.085,0.163,0.432,0.085,0.772,0.391,0.163,0.772,0.572,0.432,0.391,0.572
Thrb,0.942,0.503,0.739,0.942,0.577,0.705,0.503,0.577,0.348,0.739,0.705,0.348
Gm44251,0.637,0.232,0.216,0.637,0.541,0.518,0.232,0.541,0.97,0.216,0.518,0.97
Krt75,0.751,1.0,1.0,0.751,0.749,0.734,1.0,0.749,1.0,1.0,0.734,1.0
Gm28439,,,,,,,,,,,,
Gpx1,0.393,0.702,0.835,0.393,0.259,0.555,0.702,0.259,0.589,0.835,0.555,0.589
Pcna-ps2,0.037,0.59,0.716,0.037,0.124,0.024,0.59,0.124,0.409,0.716,0.024,0.409
Atxn1,0.512,0.272,0.565,0.512,0.109,0.942,0.272,0.109,0.126,0.565,0.942,0.126
Akr1b3,0.692,0.135,0.517,0.692,0.317,0.818,0.135,0.317,0.44,0.517,0.818,0.44
Rims1,0.338,0.869,0.909,0.338,0.462,0.32,0.869,0.462,0.798,0.909,0.32,0.798
Serf2,0.551,0.833,0.34,0.551,0.725,0.744,0.833,0.725,0.497,0.34,0.744,0.497
Gm45612,0.827,0.939,0.789,0.827,0.787,1.0,0.939,0.787,0.753,0.789,1.0,0.753
Hes7,0.431,0.532,0.02,0.431,0.878,0.165,0.532,0.878,0.121,0.02,0.165,0.121
Tceal6,,,,,,,,,,,,
Gm21541,,,,,,,,,,,,
B4galt6,0.297,0.474,0.216,0.297,0.762,0.867,0.474,0.762,0.635,0.216,0.867,0.635
Gm47335,,,,,,,,,,,,
Romo1,0.726,0.506,0.711,0.726,0.775,0.986,0.506,0.775,0.788,0.711,0.986,0.788
1700028B04Rik,0.667,0.766,0.998,0.667,0.505,0.694,0.766,0.505,0.783,0.998,0.694,0.783
Gm35876,0.821,0.37,0.938,0.821,0.3,0.78,0.37,0.3,0.447,0.938,0.78,0.447
