gene_name,Ctrl_vs_Chd7_1,Ctrl_vs_Chd7_2,Ctrl_vs_Chd7_3,Chd7_1_vs_Ctrl,Chd7_1_vs_Chd7_2,Chd7_1_vs_Chd7_3,Chd7_2_vs_Ctrl,Chd7_2_vs_Chd7_1,Chd7_2_vs_Chd7_3,Chd7_3_vs_Ctrl,Chd7_3_vs_Chd7_1,Chd7_3_vs_Chd7_2
Fancm,-0.008,-0.17,0.076,0.008,-0.162,0.084,0.17,0.162,0.246,-0.076,-0.084,-0.246
Msh2,0.014,-0.177,-0.033,-0.014,-0.191,-0.048,0.177,0.191,0.143,0.033,0.048,-0.143
Ggnbp2,-0.07,0.032,-0.026,0.07,0.102,0.044,-0.032,-0.102,-0.058,0.026,-0.044,0.058
Gm45514,,,,,,,,,,,,
Cyth1,-0.138,0.165,-0.031,0.138,0.303,0.107,-0.165,-0.303,-0.196,0.031,-0.107,0.196
Gm11354,-1.448,0.0,0.0,1.448,1.598,1.698,0.0,-1.598,0.0,0.0,-1.698,0.0
Gm11895,0.0,0.0,-1.137,0.0,0.0,-1.164,0.0,0.0,-1.286,1.137,1.164,1.286
Gm44128,,,,,,,,,,,,
Gm18000,-1.402,0.0,0.0,1.402,1.552,1.652,0.0,-1.552,0.0,0.0,-1.652,0.0
Icosl,-0.268,-0.989,-0.237,0.268,-0.721,0.031,0.989,0.721,0.752,0.237,-0.031,-0.752
Olfr572,,,,,,,,,,,,
Rfc4,0.002,-0.381,-0.044,-0.002,-0.383,-0.046,0.381,0.383,0.337,0.044,0.046,-0.337
Gm5715,,,,,,,,,,,,
Gm44648,,,,,,,,,,,,
Gm43224,,,,,,,,,,,,
Zfp781,1.354,-0.321,0.706,-1.354,-1.676,-0.648,0.321,1.676,1.027,-0.706,0.648,-1.027
9930111J21Rik2,-0.085,0.18,0.103,0.085,0.265,0.188,-0.18,-0.265,-0.077,-0.103,-0.188,0.077
C6,0.275,1.176,0.234,-0.275,0.902,-0.041,-1.176,-0.902,-0.943,-0.234,0.041,0.943
Gm29634,,,,,,,,,,,,
Gm16307,,,,,,,,,,,,
Kcnk4,-0.071,0.893,-0.213,0.071,0.964,-0.141,-0.893,-0.964,-1.105,0.213,0.141,1.105
Vmn1r180,0.095,0.418,-0.019,-0.095,0.322,-0.115,-0.418,-0.322,-0.437,0.019,0.115,0.437
Vmn1r-ps92,,,,,,,,,,,,
Rps6ka5,-0.183,0.046,-0.328,0.183,0.229,-0.145,-0.046,-0.229,-0.374,0.328,0.145,0.374
Spata31d1b,,,,,,,,,,,,
Cntnap1,-0.746,-0.07,-0.253,0.746,0.676,0.493,0.07,-0.676,-0.184,0.253,-0.493,0.184
Hnrnpa2b1,-0.006,0.044,0.068,0.006,0.05,0.074,-0.044,-0.05,0.024,-0.068,-0.074,-0.024
Slc25a3,0.107,0.041,0.078,-0.107,-0.066,-0.029,-0.041,0.066,0.037,-0.078,0.029,-0.037
Nudt6,0.18,0.372,0.283,-0.18,0.192,0.103,-0.372,-0.192,-0.089,-0.283,-0.103,0.089
Gm20074,,,,,,,,,,,,
Olfr1329,,,,,,,,,,,,
Mpv17l,0.442,-0.059,0.006,-0.442,-0.501,-0.436,0.059,0.501,0.065,-0.006,0.436,-0.065
Cma2,0.0,-1.343,-1.139,0.0,-1.371,-1.167,1.343,1.371,0.204,1.139,1.167,-0.204
Obox4-ps37,,,,,,,,,,,,
Rttn,0.001,-0.175,-0.08,-0.001,-0.176,-0.081,0.175,0.176,0.095,0.08,0.081,-0.095
