gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Xkr4,,,,,,,,,,
Rp1,,,,,,,,,,
Sox17,,,,,,,,,,
Mrpl15,0.38712674,0.0017835513692411,3.6948934,0.38712674,2.2966670811925e-05,4.7325172,0.38712674,0.0084589933176236,3.305622,0.030843876
Lypla1,0.17725955,0.1648694582209966,2.0775623,0.17725955,0.2554908318909322,1.538546,0.17725955,0.6376079994667494,1.1030394,-0.018450294
Gm37988,-0.61063194,1.0,-0.0036749335,-0.61063194,0.7843702478611806,-0.4610907,-0.61063194,0.927637399721115,-0.27610028,-0.0039709187
Tcea1,0.32537016,0.0038608786086541,3.4719834,0.32537016,0.0025203534923022,3.497254,0.32537016,0.0762760882091094,2.4670215,0.014406953
Rgs20,,,,,,,,,,
Atp6v1h,0.2955991,0.0084680691926789,3.2304826,0.2955991,0.0329720717263408,2.5924346,0.2955991,0.2477289814480842,1.8475163,0.01677959
Oprk1,,,,,,,,,,
Npbwr1,,,,,,,,,,
Rb1cc1,-0.16797867,1.0,-0.29712918,-0.16797867,0.2877900200834921,-1.4605217,-0.16797867,0.6875264544767928,-1.0094758,0.0056506936
Alkal1,,,,,,,,,,
St18,,,,,,,,,,
Pcmtd1,-0.73961335,0.0661508850012661,-2.4899476,-0.73961335,1.1522916870844365e-05,-4.88143,-0.73961335,0.013739575514192,-3.1430762,0.0056095067
Sntg1,,,,,,,,,,
Rrs1,0.11094884,0.5307493415794308,1.4012305,0.11094884,0.5865188327690841,0.7938163,0.11094884,0.8815107203921086,0.5701727,-0.030019151
Adhfe1,-20.313158,1.0,-0.054403424,-20.313158,0.1077258712643107,-2.0453367,-20.313158,0.834183011674526,-0.69454527,-0.00022962046
Vxn,,,,,,,,,,
Mybl1,0.13880655,1.0,-0.060780518,0.13880655,0.9273098251439936,0.21593376,0.13880655,0.973480733303616,0.17573264,0.0020377708
Vcpip1,-0.048926443,1.0,0.8139257,-0.048926443,0.8483030558059089,-0.35392553,-0.048926443,0.9428881770391616,-0.24536578,-0.013890195
Sgk3,-0.57372755,1.0,0.017942322,-0.57372755,0.0943491674918446,-2.1160343,-0.57372755,0.5506326320351097,-1.2532096,-0.0046739974
Mcmdc2,0.7899346,1.0,0.10181727,0.7899346,0.7350927979031932,0.54661274,0.7899346,0.8998232649948555,0.4003302,0.00024709784
Tcf24,,,,,,,,,,
