gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Xkr4,,,,,,,,,,
Rp1,,,,,,,,,,
Sox17,,,,,,,,,,
Mrpl15,-29.54311,1.0,-1.5893798,-29.54311,0.0,-63.337875,-29.54311,1.0,-1.6579119,-0.00811421
Lypla1,-28.478243,1.0,-1.1415018,-28.478243,2.68660586135e-310,-42.8508,-28.478243,1.0,-1.1216487,-0.0047497493
Gm37988,-20.414413,1.0,-0.0083872285,-20.414413,0.0066173620615077,-2.914612,-20.414413,1.0,-0.07629195,-1.8649278e-05
Tcea1,-29.086012,1.0,-1.4015058,-29.086012,0.0,-53.658405,-29.086012,1.0,-1.4045452,-0.005803509
Rgs20,,,,,,,,,,
Atp6v1h,0.25292617,1.0,0.20422901,0.25292617,0.9805200924109791,0.1376121,0.25292617,1.0,0.108208984,0.0012970995
Oprk1,,,,,,,,,,
Npbwr1,,,,,,,,,,
Rb1cc1,-28.901419,1.0,-1.2421485,-28.901419,0.0,-44.769375,-28.901419,1.0,-1.1718688,-0.00581313
Alkal1,,,,,,,,,,
St18,,,,,,,,,,
Pcmtd1,-28.042217,1.0,-0.7900769,-28.042217,1.3304884496027983e-190,-31.876263,-28.042217,1.0,-0.8343828,-0.0035278318
Sntg1,,,,,,,,,,
Rrs1,-27.971386,1.0,-0.8638845,-27.971386,2.5565747241375667e-217,-34.43694,-27.971386,1.0,-0.9014102,-0.0031984635
Adhfe1,-20.156603,1.0,-0.0041936142,-20.156603,0.0693515537365051,-2.045209,-20.156603,1.0,-0.053534735,-3.602263e-05
Vxn,,,,,,,,,,
Mybl1,-23.76901,1.0,-0.07800122,-23.76901,2.0879171181403785e-17,-8.647771,-23.76901,1.0,-0.22636126,-0.00016550334
Vcpip1,-27.997185,1.0,-0.8596909,-27.997185,2.407159916061801e-211,-33.872196,-27.997185,1.0,-0.88662773,-0.0037473878
Sgk3,-25.846533,1.0,-0.20464838,-25.846533,1.5570122268459362e-43,-14.152009,-25.846533,1.0,-0.37043843,-0.0006943016
Mcmdc2,-20.612959,1.0,-0.0083872285,-20.612959,0.0192385156882055,-2.5525143,-20.612959,1.0,-0.06681379,-1.801236e-05
Tcf24,,,,,,,,,,
Ppp1r42,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
