wilcoxon,t-test,t-test_overestim_var
Rbm3,Rbm3,Rbm3
Lag3,Lag3,Lag3
Gapdh,Gapdh,Gapdh
Serpinb6b,Ly6a,Nrgn
Rps20,Serpinb6b,Cd160
Cd160,Rps20,Serpinb6b
Nrgn,Ly6e,Pdcd1
Lgals3,Cd160,Ly6a
Ly6a,Ifi27l2a,Ptms
Ifi27l2a,Rpl28,Lgals3
Rpl28,Ptms,Tox
Ptms,Lgals3,Dut
Pdcd1,Nrgn,Ddit4
Nap1l1,Pdcd1,Ifi27l2a
Dut,Apobec3,Rps20
Rps26,Dut,Rpl28
Tox,Nap1l1,Nap1l1
Apobec3,Rps26,Apobec3
Anxa2,Anxa2,Gldc
Ddit4,Tox,Ly6e
Rps17,Txn1,Irf8
Rps2,Casp3,Anxa2
Hmgb1,Ddit4,Casp3
Ly6e,Rps17,Rps26
Txn1,Rps2,Fkbp5
Casp3,Hmgb1,Rps2
Irf8,Serinc3,Mt1
Rpl10,Sept7,Hmgb1
Ptma,Serpinb9,Zbtb32
Serpinb9,Fkbp5,Ptma
Fkbp5,Rpl35,Serinc3
Serinc3,Rpl10,Serpinb9
Rpsa,Irf8,Rps17
Sept7,Pglyrp1,Txn1
Zbtb32,Ptma,Hmgn2
Rpl3,Gldc,Pglyrp1
Vim,Rpl3,Sept7
Mt1,Zbtb32,Itih5
Anp32b,Anp32b,Rpl10
Rpl35,Mt1,Anp32b
Rps8,Psmb8,Rpsa
Hmgn2,Psme2,Gm45716
Pglyrp1,Rpsa,Rpl3
Ran,Hmgn2,Rpl35
Gldc,Rpl31,Pclaf
Rps25,Cox5b,Ran
Rpl31,Vim,Tubb5
Rpl36a,Rps8,Vim
Trbv13-3,Ran,Cycs
Cox5b,Cycs,Cks1b
Tubb5,Rps25,Plp2
Slc25a5,Il2rb,Tk1
Plp2,Mif,Rps8
Cycs,Tubb5,Mki67
Atp5g2,Rpl36a,Tpi1
Mif,Slc25a5,Phgdh
Il2rb,Trav14-1,Psme2
Etfb,Etfb,Stmn1
Rplp0,Snrpe,Etfb
Ywhah,Ywhah,Hmgb3
Crlf2,Atpif1,Mif
Phgdh,Rexo2,Rpl31
Psme2,Plp2,Il2rb
Rps12,Atp5g3,Rgs16
Rps18,Atp5g2,Spc24
Pclaf,Phgdh,Cdca3
Snrpe,Crlf2,Dtymk
Tpi1,Itih5,Rps25
Gzmb,Pclaf,Birc5
Psmb8,Trbv13-3,Crlf2
Dtymk,Arap2,Cox5b
Rexo2,Mrpl51,Napsa
Arap2,Dtymk,Il1rl1
Ppia,Gm45716,Rexo2
Atpif1,Tpi1,Atpif1
Mrpl51,Cks1b,Gmnn
Atp5g3,Sh2d2a,St6galnac3
