complex,gene_name
BAF,Smarcd2
BAF,Arid1b
BAF,Pbrm1
BAF,Smarca2
BAF,Arid1a
BAF,Actl6a
BAF,Arid2
BAF,Smarce1
BAF,Smarcd3
BAF,Smarcb1
BAF,Phf10
BAF,Smarca4
BAF,Smarcc1
BAF,Smarcc2
BAF,Smarcd1
HDAC,Hdac2
HDAC,Hdac5
HDAC,Hdac4
HDAC,Sirt
HDAC,Hdac3
HDAC,Rbbp4
HDAC,Hdac1
HDAC,Mta3
HDAC,Sin3a
HDAC,Hdac11
HDAC,Hdac6
HDAC,Hdac8
HDAC,Hdac9
HDAC,Sin3b
HDAC,Mta1
HDAC,Hdac10
HDAC,Mta2
HDAC,Hdac7
HDAC,Rbbp7
Chromodomain,Cbx6
Chromodomain,Cbx2
Chromodomain,Atrx
Chromodomain,Msl3
Chromodomain,Ing4
Chromodomain,Mll5
Chromodomain,Rbbp5
Chromodomain,Myst1
Chromodomain,Kat8
Chromodomain,Uhrf1
Chromodomain,Ing2
Chromodomain,Cbx3
Chromodomain,Kmt2e
Chromodomain,Phf8
Chromodomain,Jmjd5
Chromodomain,Phf2
Chromodomain,Phf19
Chromodomain,Phf1
Chromodomain,L3mbtl1
Chromodomain,Cbx8
Chromodomain,L3mbtl2
Chromodomain,Cbx7
Chromodomain,Zmynd11
Chromodomain,Cbx5
Chromodomain,Mtf2
Chromodomain,Ing3
Chromodomain,Suz12
Chromodomain,Cbx4
Chromodomain,Ing5
Chromodomain,Wdr5
Chromodomain,Cbx1
Chromodomain,Zmynd8
Chromodomain,Jhdm1d
Histone Methylation,Carm1
Histone Methylation,Ehmt2
Histone Methylation,Smyd2
Histone Methylation,Prdm9
Histone Methylation,Prdm8
Histone Methylation,Mll3
Histone Methylation,Satb1
Histone Methylation,Kmt2c
Histone Methylation,Prmt1
Histone Methylation,Eed
Histone Methylation,Prmt2
Histone Methylation,Nsd1
Histone Methylation,Prmt6
Histone Methylation,Kmt5c
Histone Methylation,Prmt8
Histone Methylation,Men1
Histone Methylation,Prmt7
Histone Methylation,Suv420h1
Histone Methylation,Ehmt1
Histone Methylation,Mecp2
Histone Methylation,Nsd3
Histone Methylation,Kmt5b
Histone Methylation,Suv420h2
Histone Methylation,Suz12
Histone Methylation,Whsc1l1
Histone Methylation,Ezh2
Histone Acetylation,Kat7
Histone Acetylation,Kat6a
Histone Acetylation,Myst3
Histone Acetylation,Myst1
Histone Acetylation,Kat8
Histone Acetylation,Kat6b
Histone Acetylation,Kat5
Histone Acetylation,Kat2a
Histone Acetylation,Elp3
Histone Acetylation,Phf10
Histone Acetylation,Myst4
Histone Acetylation,Epc2
Histone Acetylation,Kat2b
Histone Acetylation,Ncoa1
Histone Acetylation,Crebbp
Histone Acetylation,Taf1
Histone Acetylation,Clock
Histone Acetylation,Ing3
Histone Acetylation,Hat1
Histone Acetylation,Gtf2b
Histone Acetylation,Epc1
Histone Acetylation,Myst2
Histone Acetylation,Ep300
Histone Acetylation,Ncoa3
