wilcoxon,t-test,t-test_overestim_var
Rps29,Rps24,Rps24
Rps24,Rps29,Rps29
Rpl12,Rpl12,Rpl12
Rpl35a,Rplp1,Rps16
Rplp1,Rps7,Rplp1
Rps16,Rps16,Rps7
Rps3a1,Rpl35a,Rpl35a
Rps7,Tpt1,Rpl23
Rpl5,Rps27,Rps15a
Rps15a,Rps15a,Rps3a1
Rpl13,Rps20,Rpl21
Rps20,Rpl23,Rps19
Rpl23,Rpl21,Rpl13
Rps19,Rps3a1,Rpl5
Rps4x,Rpl13,Rps4x
Rpl21,Rps19,Tpt1
Rplp2,Rpl5,Rplp2
Rps8,Rplp2,Rps27
Rps27a,Rps9,Rps20
Tpt1,Rps27a,Rps9
Rps9,Rps4x,Sell
Rps27,Rps14,Rps27a
Rpl8,Rps8,Rpl30
Rpl9,Rpl30,Rpl9
Rpl26,Rpl9,Rps21
Rpl36a,Rpl17,Rps8
Rpl30,Rpl8,Rps14
Rps28,Rpl26,Rpl39
Rps21,Rps21,Rpl8
Rps18,Rps23,Rpl26
Rpl39,Rps28,Rps23
Rps23,Rpl39,Tcf7
Rps14,Rps18,Rps18
Rpl27a,Rpl37a,Rpl37a
Rpl37a,Rpl27a,Rpl17
Rps5,Rpl19,Rps28
Rpl17,Rpl36a,Rpl27a
Rps6,Rps3,Rpl19
Rps3,Rps5,Rps5
Rpl19,Tcf7,Rpl36a
Sell,Sell,Rps3
Tcf7,Rps6,Rps6
Eef1a1,Rpl18a,Dapl1
mt-Nd2,Rps13,Rps13
Rps15,mt-Nd2,Rpl18a
Rps25,Rps25,Eef1a1
Eef1b2,Rpl37,Rps15
Rpl32,Rpl15,mt-Nd2
Rpl7,Eef1a1,Rgs10
Rpl37,Rpl7,Rpl7
Rpl35,Rpl10,Rps25
Rps13,Rps15,Rpl37
Rpl18a,Rps26,Rpl32
Rpl15,Ltb,Eef1b2
Rpl11,Rpl36,Ltb
Rpl3,Rpl32,Rpl15
Rps26,Eef1b2,Rpl11
Rpl36,Rpl34,Rpl34
Rpl10,mt-Cytb,Rpl36
mt-Nd4,Rpl11,Lef1
Rack1,Fau,Rps26
mt-Cytb,Rpl3,Ighm
Ltb,Rpl35,Rpl35
Rpl34,mt-Nd4,Rpl3
Lef1,Rpl18,mt-Cytb
Rpl23a,Dapl1,Rack1
Dapl1,Rpl10a,Rpl10
Rpl10a,Rack1,mt-Nd4
Rpl18,mt-Atp6,Rapgef6
Rapgef6,Lef1,Ccr7
Rps10,Rgs10,Rpl18
Ighm,Ighm,Ramp1
Rpl22,Rapgef6,Rpl10a
Rpl38,Rpl23a,Rpl23a
Rpl6,Rpl22,Il7r
Rgs10,Rpl28,Foxp1
mt-Atp6,Rpl6,Fau
Foxp1,Rpl38,Igfbp4
Ccr7,Foxp1,mt-Atp6
Fau,Rps10,Il6st
Arl4c,Ccr7,Ccr9
Rpsa,Rpsa,Rflnb
Il7r,Il7r,Rps10
Rps12,Shisa5,Rpl38
Rpl28,Rps12,Rpl6
Peli1,Evl,Rpl22
Evl,Arl4c,Evl
Satb1,Btg1,Arl4c
Limd2,Ramp1,Il6ra
Shisa5,mt-Nd1,Peli1
Tmsb10,Peli1,Ssbp2
Rps11,Satb1,Rpsa
mt-Nd1,mt-Co3,Tdrp
Ramp1,Tmsb10,Rpl28
mt-Co3,Il6st,Rps12
Ccnd2,Limd2,Actn1
Igfbp4,Igfbp4,Satb1
Il6st,Rflnb,Pdk1
Cox7a2l,Ccr9,Shisa5
Ccr9,Ssbp2,Tmsb10
Chd3,Actn1,Limd2
Rflnb,Il6ra,Chd3
Actn1,Chd3,Tespa1
Npc2,Rps11,Ccnd2
Rplp0,Ccnd2,mt-Nd1
Trdc,Tdrp,Dph5
Ssbp2,Trdc,Iigp1
Bcl11b,Tespa1,Cd2ap
Il6ra,Pdk1,Trdc
Rpl14,Cox7a2l,Rapgef4
Mycbp2,Dph5,Id3
Tespa1,Cd2ap,mt-Co3
Ablim1,Txnip,Rps11
Grap2,Rpl14,Pik3ip1
Rabac1,Pik3ip1,Inpp4b
Rps27rt,Iigp1,Nsg2
Rpl4,Grap2,Btg1
Txnip,Rps17,Scml4
Tdrp,Rps27rt,Treml2
Stat1,Inpp4b,Rgcc
Btg1,Mycbp2,Zbtb20
Pdk1,Id3,Tmem108
Arhgap15,Ctss,Txnip
Dgka,Rapgef4,Kbtbd11
Ssh2,Npc2,Ctss
Cd27,Nsg2,Grap2
Mbnl1,Rgcc,Cox7a2l
Fam189b,Ssh2,Rps27rt
Rpl31,Scml4,Atp1b1
Ctss,Rplp0,Pmepa1
Klf13,Bcl11b,Mycbp2
Dph5,Zbtb20,Ssh2
Rps17,Rabac1,Clec2d
Cd2ap,Kbtbd11,Itgae
Iigp1,Clec2d,Bcl11b
Pik3ip1,Treml2,Rabac1
Clec2d,Ablim1,Rpl14
mt-Nd3,Tmem108,Stat1
Cd3g,Stat1,Npc2
Inpp4b,Rps2,Arhgap5
Nsg2,Fam189b,Fam189b
Eif4a2,Arhgap15,Dennd2d
Id3,Dgka,Ttc3
Zbtb20,Rpl31,Dgka
Scml4,Atp1b1,Sh3bp5
S1pr1,Bcl2,Foxo1
Rgcc,Foxo1,H2-DMa
Rapgef4,Rpl4,Ablim1
Pfdn5,Pmepa1,Rplp0
Bcl2,Fam78a,Fam78a
Pdcd4,AC149090.1,Arhgap15
Arhgap45,Ttc3,Trat1
Kbtbd11,Dennd2d,St6gal1
Fyb,H2-DMa,Bcl2
Kmt2a,Crtc3,Crtc3
Pura,Il27ra,Il27ra
Mrpl23,Sh3bp5,AC149090.1
Treml2,Itgae,Bach2
mt-Nd5,Arhgap5,Rps17
Tmem108,Cd3g,Ifngr2
AC149090.1,Cd27,St8sia1
Foxo1,Mbnl1,Pecam1
Emb,Klf13,Rpl4
Tnrc6b,Pura,Pura
Utrn,Trat1,Filip1l
Saraf,Bach2,Slc12a7
Rhoh,Pdcd4,Sesn3
Zfp292,St6gal1,Gm20696
Top2b,Pecam1,Tasor2
Fam78a,Sesn3,Rpl31
Atp1b1,Tasor2,Cd27
Klk8,S1pr1,Ift80
Klf3,mt-Nd3,Als2cl
Il27ra,Slc12a7,Znrf1
Stk38,Znrf1,Dzip1
mt-Co2,Fam102a,Fam102a
Crtc3,Filip1l,Eps8l1
Smc4,Tnrc6b,Klf13
Zfp36l1,Gm20696,Rassf2
Ifi47,Ifngr2,Tent5a
Pmepa1,Tcf12,Cxxc5
Ttc3,Ikbkb,Ifit1bl1
Sh3bp5,St8sia1,Tcf12
Bptf,Kmt2a,Pacsin1
Cd3e,Ifit1bl1,S1pr1
Nsa2,Klf3,Ikbkb
Tnrc6c,Tent5a,Pdcd4
Arhgef1,Rassf2,Cd3g
Dennd2d,Ift80,Thra
H2-DMa,Tnrc6c,Tanc1
Rpl22l1,Als2cl,Mbnl1
Crlf3,Utrn,Socs3
Map4k4,Socs3,Timp2
Fubp1,Zfp292,Rcsd1
Zcchc7,mt-Co2,Klf3
Acp5,Slc44a2,Kcna2
Bach2,Dzip1,Abcg1
Itgae,Rnf167,Kmt2a
