wilcoxon,t-test,t-test_overestim_var
Rps29,Rps29,Rps29
Malat1,Malat1,Malat1
Rpl35a,Rps24,Rps24
Rps14,Rps14,Rps14
Rps3a1,Rpl35a,Rpl35a
Rps17,Igfbp4,Rps27
Rps24,Rps27,Igfbp4
Btg1,Rgs10,Rgs10
Rgs10,Ccr9,Rps28
Rpl37a,Rps28,Btg1
Rps28,Btg1,Ccr9
Rps15,Ramp1,Rpl37a
Rps16,Rpl37a,Tcf7
Rps8,Tcf7,Rpl21
Rpl31,Rps15,Ramp1
Tcf7,Rpl21,Rps15
Igfbp4,Rps16,Rpl12
Rpl21,Rpl12,Rps16
Rps25,Rps7,Rps7
Rps15a,Rps3a1,Rps3a1
Rps4x,Sell,Sell
Rpl12,Rps15a,Rps15a
Rpl9,Id3,Rps17
Rps7,Rps17,Rpl9
Rpl36a,Rpl9,Id3
Rps27a,Rpl31,Rpl31
Tpt1,Rpl36a,Rpl36a
Sell,Rplp2,Rplp2
Rpl30,Rps4x,Rps27a
Rplp2,Rps27a,Rps4x
mt-Nd2,Rplp1,Rplp1
Ccr9,Tpt1,Tpt1
Rpl5,Rps8,Rps8
Ramp1,Rps25,Rps25
Rps27,Tespa1,Rpl30
Rpl34,Rpl30,Tespa1
Rpl23,Chd3,Rpl23
Rplp1,Rpl23,Ltb
Rps26,Ccnd2,Rps9
Arl4c,Ltb,Tmsb10
Rps3,Tmsb10,Chd3
Tmsb10,Rps9,Ccnd2
Rpl22l1,Rpl23a,Rps23
Rpl13,Rpl13,Rpl23a
Rpl8,Ccr7,Rpl13
Rps18,Rps23,Rps21
mt-Cytb,Rpl5,Rpl5
Ccnd2,Rps21,Ccr7
Rps27rt,mt-Nd2,Rps27rt
Rpl26,Rps27rt,mt-Nd2
Rps19,Rps19,Rps19
Rpl35,Rpl34,Rpl34
Ltb,Rps18,Rps18
Rps9,AC149090.1,Rps20
Rpl23a,Arl4c,Rpl8
Rps21,Rps20,Arl4c
Rpl15,Dapl1,Dapl1
Rpl39,Rpl8,AC149090.1
Chd3,Rpl26,Rpl26
Ccr7,Trat1,Rpl18a
Cd3g,Rps3,Rps3
Rps20,Rps26,Rps26
Limd2,Rpl18a,Rpl35
Id3,Rpl35,Rpl36
Rps23,mt-Cytb,Trat1
Rps5,Rpl36,mt-Cytb
mt-Nd1,Rpl15,Rpl15
Shisa5,Rapgef6,Rpl17
Rpl38,Rpl17,Rapgef6
Dapl1,Ighm,Ighm
Rpl17,Pik3ip1,Cd3g
Rpl19,Cd3g,Shisa5
Rpl18a,Rflnb,Pik3ip1
Rpl36,Kbtbd11,Limd2
Lef1,Shisa5,Rps5
Rpl7,Socs1,Rflnb
Ighm,Limd2,Rpl38
Rapgef6,Rps5,Kbtbd11
Rpl37,Rpl22l1,mt-Nd1
Tespa1,Rpl38,Rpl22l1
Rps6,mt-Nd1,Rpl39
S1pr1,Rpl39,Socs1
Eef1g,Tdrp,Rpl37
Rpl18,Rpl37,Rpl27a
mt-Nd4,S1pr1,Tdrp
AC149090.1,Ssbp2,Rps6
Evl,Il6st,S1pr1
Klf13,Gm19705,Lef1
Fau,Itgae,Ssbp2
Cd3e,Rps6,Rpl19
Foxp1,Rpl27a,Il6st
Rpl14,Lef1,Gm19705
Arhgef1,Tspan32,Tspan32
Rpl27a,Rpl19,Itgae
Rps11,Il6ra,Il6ra
Cd27,Gm47283,Evl
Ptpn18,Evl,Foxp1
Rpl11,Foxp1,Gm47283
Rpl6,St6gal1,St6gal1
Pik3ip1,Dph5,Dph5
Rps10,Socs3,Socs3
Rpl10a,Cxxc5,Ssh2
Eef1a1,Ssh2,Trdc
Pdcd4,Trdc,Cxxc5
Selenow,Cd27,Cd27
Bcl11b,Selenop,Cd3e
Rack1,Cd3e,Rps11
Eef1b2,Rps11,mt-Nd4
Cox7a2l,mt-Nd4,Selenop
Trdc,Mmp16,Klf13
Grcc10,Zbtb20,Zbtb20
Kbtbd11,Klf13,Znrf1
Rps13,Znrf1,Pdk1
Peli1,Pdk1,Rpl7
Ssh2,Lpar6,Mmp16
Satb1,Rpl7,Rnf167
Ssbp2,Rnf167,Lpar6
Rpl4,Sox4,Peli1
Fam189b,Ikzf2,Pdcd4
Ctss,Peli1,Rpl14
Ypel3,Pdcd4,Fau
Nop10,Gngt2,Sox4
Il6ra,Rpl14,Ikzf2
Hspe1,Crtc3,Gngt2
Wdr89,Bcl11b,Arhgef1
Rflnb,Kcnq1ot1,Bcl11b
Ablim1,Fau,Eef1g
Rhoh,Arhgef1,Eef1a1
mt-Nd3,Eef1g,Crtc3
Klk8,Ctss,Ctss
Rpl3,Eef1a1,Kcnq1ot1
Rpl13a,2610035D17Rik,Rpl18
Mbnl1,Grcc10,Ptpn18
Klf2,Klk8,Grcc10
Srrm2,Rpl18,Klk8
Gm47283,Ptpn18,Rgcc
Tspan32,Rgcc,Selenow
Rpl32,Tmem108,2610035D17Rik
Rabac1,Tcrg-C4,Tmem108
Socs1,Selenow,Gm43698
Dph5,Gm43698,Gpr146
Pdk1,Gpr146,Txnip
Actn1,Slfn5,Tcrg-C4
Trat1,Txnip,Ypel3
Tdrp,Ypel3,Slfn5
Mycbp2,Actn1,Actn1
Gm11808,Gramd1a,Gramd1a
Socs3,Cd7,Cd7
Rnaset2a,Ifngr2,Rpl11
Hmgn1,Abi3,Ifngr2
Rnf167,Tgtp2,Abi3
Hcst,Il27ra,Il27ra
Il6st,Rpl11,Tgtp2
Txnip,Dntt,Rpl6
Cd7,Ly6c1,Rps13
Acp5,Treml2,H2-DMa
Saraf,H2-DMa,Treml2
Gm19705,Tcrg-C2,Dntt
Rpl22,Rpl6,Ly6c1
Junb,Wls,Fam189b
Uba52,Nsg2,Nsg2
Il7r,Rps13,Mycbp2
Trp53,Ddit4,Satb1
Rgcc,Fam189b,Adcy7
Grap2,B630019A10Rik,Camk2d
Cdk2ap2,Camk2d,Wls
Emb,Tcrg-C1,Il7r
Selenop,Mycbp2,Tcrg-C2
Cd3d,Adcy7,Ddit4
Zbtb20,Mir142hg,Mir142hg
Cd37,Satb1,B630019A10Rik
