louvain_old,x,y,louvain
0,-0.1799416118896744,-0.7844661632683237,P9
1,1.82548374028517,-0.3798798621458089,P3
2,-1.1458680711442277,-0.8990602321021836,P10
3,2.0538863550826667,-3.1948861546726737,P0
4,1.3908612393915993,0.32945341058562033,P5
5,0.7828732199238972,0.47609439792254693,P6
6,1.1515677452103381,-0.6729750780634036,P2
7,0.5766491760960306,-0.37777939811716743,P7
8,0.0965267305588034,0.398675425606608,P8
9,1.5130237033947942,-2.2106776430828248,P1
10,0.7660631454689157,-1.0823070895952773,P4
