Conn,node1_old,node2_old,node1,node2
0.0371530688274192,0,1,P9,P3
0.8347026062070587,0,2,P9,P10
0.0026351673255359392,0,3,P9,P0
0.047674401505039425,0,4,P9,P5
0.20794758783834846,0,5,P9,P6
0.2876102316468636,0,6,P9,P2
0.3991396457332238,0,7,P9,P7
0.36020061848114504,0,8,P9,P8
0.054809074223723546,0,9,P9,P1
1,0,10,P9,P4
0.0069306427243142725,1,2,P3,P10
4.1612774082286277e-4,1,3,P3,P0
0.7362526349789202,1,4,P3,P5
0.2004497518610422,1,5,P3,P6
0.08414271615636433,1,6,P3,P2
0.1677832783278328,1,7,P3,P7
0.08480216955104088,1,8,P3,P8
0.005814412840984697,1,9,P3,P1
1,1,10,P3,P4
7.267284540475683e-5,2,3,P10,P0
0.020198825857091887,2,4,P10,P5
0.056421763551605636,2,5,P10,P6
0.0658349226146881,2,6,P10,P2
0.00214176229338415,2,7,P10,P7
0.03869427102518331,2,8,P10,P8
4.415854483501616e-4,2,9,P10,P1
0.15404463040446306,2,10,P10,P4
6.377776028789552e-5,3,4,P0,P5
8.619756849497211e-5,3,5,P0,P6
0.0652308689464711,3,6,P0,P2
0.00952705026600221,3,7,P0,P7
3.528652154980405e-4,3,8,P0,P8
1,3,9,P0,P1
0.011709939680041961,3,10,P0,P4
1,4,5,P5,P6
0.8979746532911619,4,6,P5,P2
0.30950955560672344,4,7,P5,P7
0.4464985499077633,4,8,P5,P8
0.0023539212883901717,4,9,P5,P1
0.13645779866019137,4,10,P5,P4
0.6894772453278631,5,6,P6,P2
0.3922536422376729,5,7,P6,P7
0.542233101251524,5,8,P6,P8
0.00017458878768517556,5,9,P6,P1
0.09957042610528563,5,10,P6,P4
0.8075684518191855,6,7,P2,P7
0.23848347684567564,6,8,P2,P8
0.47304524400073333,6,9,P2,P1
1,6,10,P2,P4
0.4069418680016986,7,8,P7,P8
0.16635441987312505,7,9,P7,P1
0.5865367827105291,7,10,P7,P4
3.176491261269785e-4,8,9,P8,P1
0.19599019393674605,8,10,P8,P4
0.39522245830918806,9,10,P1,P4
