X_paga1,X_paga2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,paga1,paga2,velocity_paga1,velocity_paga2
41537.15466691175,53171.72041625287,-10.598224,0.5300016,1.7813438,2.693209,2.0410814,1.2667013,2.0542507,5.3836813,0.41316083,-1.1015915,-1.2544265,-2.1639128,-0.12187605,0.0013776228,1.3430654,-2.976596,1.557766,-2.2192261,1.993891,3.0390396,2.057542,1.0648671,-2.1923764,-1.1601933,-1.2958424,-0.48154733,-0.90807635,0.34697923,0.036260366,-0.69734216,41537.15466691175,53171.72041625287,621.7185208220352,-198.67252506566862
-8402.621848549532,53880.26592252071,-4.148348,-4.8177114,-0.6320889,-1.5299408,4.738742,-0.7493969,1.3544161,-0.21738718,-3.3564785,2.2000113,-1.1660496,-0.8359367,-0.6506439,1.4549639,-2.1948485,-0.6711248,0.6959227,-2.032268,-0.21479417,0.45033646,-1.278625,0.47312957,0.017094513,-1.8591647,-1.0302835,-0.07569078,0.2959396,0.45070386,-0.22090156,0.8107064,-8402.621848549532,53880.26592252071,-654.5014251883309,-511.9617483765547
29126.45781607816,70005.6888194551,-9.076666,1.2751642,6.6149526,-1.7152095,-1.2546253,1.8169448,-0.60523546,0.6049149,0.30955315,2.2935562,2.5458791,-1.857928,3.6229033,4.3441563,0.18234012,1.6147131,-1.530911,0.74153405,-0.5918083,1.6676383,2.64039,-0.19203383,1.2230394,2.280587,0.28198656,-0.02415023,-1.4741831,-2.3024547,-0.3511886,0.37048608,29126.45781607816,70005.6888194551,418.4547507649307,-167.89426126523688
-2448.8393896366897,8049.330880092225,0.5145284,3.4383578,-9.782375,0.7804139,-0.61362106,-0.84036547,-0.72198033,1.6342602,2.0010633,1.8281527,-1.3674169,0.12204258,-2.0544698,1.5938178,2.0974963,0.41192952,-0.21158405,-3.1252487,0.045702893,-0.45385644,-0.51484406,-1.5504215,-0.15040822,1.2120128,0.046499223,-0.5394871,0.55761135,1.118489,0.20813209,1.2680092,-2448.8393896366897,8049.330880092225,353.6857672787101,-126.343778588178
-30243.46087471957,39691.874592911605,13.005625,-4.194384,-0.96282995,-0.9948856,1.8477417,8.188968,1.9410073,0.07834411,4.4981465,-0.5014309,1.9461169,1.1721544,1.2650435,2.2915246,0.46305865,0.82706094,-2.3408842,-0.18187602,-1.8357633,-0.057116363,1.8329643,1.0683601,2.0685482,-1.5031142,-0.80205804,2.1381767,2.4211526,3.7900627,-0.61714107,2.7245514,-30243.46087471957,39691.874592911605,-133.84215800909504,-502.3762216821262
-55337.55740362298,-5402.641069632329,5.346156,-8.519557,-0.4401951,-1.0536884,-4.3612375,-0.75480145,-4.1302323,-2.4770563,-2.2817066,-1.2139596,-0.7240841,-1.4865415,0.9410234,-0.25240204,0.44843733,-1.0897361,-1.7368286,-0.051682163,-0.6721676,2.031691,-0.6564922,-0.49826694,0.119591184,-0.9879601,0.27417085,-0.5638181,-0.5528003,-0.27605176,-0.22398771,-1.2283119,-55337.55740362298,-5402.641069632329,-528.7317480771399,-64.17033042118365
43723.3679313671,55636.62119023887,-9.283681,-3.2582037,6.494584,2.5121114,0.8658514,0.46183693,1.9836221,-1.2568994,-1.8857638,0.9141876,-3.3725564,0.12003436,-0.46730247,1.8246689,-1.4885968,1.0549374,-0.27880433,-1.2258506,0.8611159,-0.17353879,0.0814587,0.3761133,1.0186166,-0.38440534,2.3198743,0.21155576,-0.0959166,0.10379696,-0.13608764,-0.05474593,43723.3679313671,55636.62119023887,338.6822871435878,-70.15334868501849
-13676.48999136982,45650.155295803845,-0.03235786,-4.8439207,-3.275024,-3.006112,4.2295427,6.7661514,0.5810411,-1.8155755,-0.8028863,-0.6606937,-2.1370533,0.50765324,0.23328124,-0.56972724,0.8224738,0.7020294,0.5250455,-0.63965833,0.7505616,1.4880064,-0.40509424,-0.43850112,-0.3487819,-1.0968482,0.5987557,1.3810768,2.1314514,0.3323571,0.15612024,-1.3953831,-13676.48999136982,45650.155295803845,-82.190297045484,44.973815075672064
10530.49445572625,-13158.01591250058,-15.637046,8.263597,-0.15742075,-4.7545547,-4.538363,-0.22502147,-0.23038901,-2.132183,2.4353166,-1.4642038,0.74895847,0.0720567,-0.45874247,0.086596966,-0.4095935,0.311143,0.15833986,0.28925356,0.08756703,-0.22823004,1.3132936,-0.6113465,-0.8744681,-0.55936366,0.6416027,0.7169104,-0.00070419884,0.7209276,-0.21555667,0.06076042,10530.49445572625,-13158.01591250058,-313.4540212208925,277.39289484994146
14001.2001174884,15810.884212807938,-15.760951,6.6686625,-0.36636615,0.2557755,-4.0075316,-0.05050302,-0.2845146,1.4294873,3.517347,-0.30541316,-0.4896511,0.38197485,0.39710724,0.19974336,2.9583497,-0.016426666,-0.48485982,0.5296902,1.2033993,-1.3084229,0.50103515,-0.7980121,1.0489764,0.3011915,-1.7104629,0.38052636,-0.54485583,-0.18507896,0.2334447,-0.068559445,14001.2001174884,15810.884212807938,246.9413093415296,154.0543179535636
