type,Il2ra_ref_repressed,Il2ra_d6_repressed,Il2ra_24h_repressed,Il2ra_48h_repressed,Brg1_repressed,Ccnt1_repressed,runx3_D5EEC_repressed,runx3_D5SLEC_repressed,runx3_D8EEC_repressed,runx3_D8SLEC_repressed,runx3_D8MPEC_repressed,Blimp1_repressed,Blimp1_repressed2,Tbet_ref_repressed,Hobit_ref_repressed,Tcf7_ref_repressed,Tcf7_ref_repressed2,Tox_ref_repressed,Tox_ref_repressed2,Klf2_ref_repressed,Chd7_1_Chd7_D5_repressed,Chd7_2_Chd7_D5_repressed,Chd7_3_Chd7_D5_repressed,Chd7_Naive_repressed,Chd7_DP_repressed,Chd7_48h_repressed,Chd7_EE_repressed,Chd7_MP_repressed,Chd7_TE_repressed
Il2ra_ref_repressed,1.0,0.14540059347181009,0.06277533039647577,0.09462365591397849,0.13548387096774195,0.1025260029717682,0.0,0.0,0.0,0.0,0.0,0.40307692307692305,0.1282051282051282,0.2773826458036984,0.0979020979020979,0.0,0.029411764705882353,0.035483870967741936,0.06666666666666667,0.0,0.0,0.0,0.0,0.17956989247311828,0.05573770491803279,0.05555555555555555,0.05169340463458111,0.037520391517128875,0.05779716466739367
Il2ra_d6_repressed,0.14540059347181009,1.0,0.09792284866468842,0.24629080118694363,0.19584569732937684,0.17507418397626112,0.0,0.0,0.0,0.0,0.0,0.09230769230769231,0.07692307692307693,0.18397626112759644,0.06993006993006994,0.0,0.025735294117647058,0.06231454005934718,0.17507418397626112,0.0,0.0,0.0,0.0,0.34718100890207715,0.03560830860534125,0.04747774480712166,0.03857566765578635,0.032640949554896145,0.06824925816023739
Il2ra_24h_repressed,0.06277533039647577,0.09792284866468842,1.0,0.4262114537444934,0.15308370044052863,0.10401188707280833,0.0,0.0,0.0,0.0,0.0,0.07384615384615385,0.18461538461538463,0.11379800853485064,0.13986013986013987,0.043478260869565216,0.09191176470588236,0.09801762114537445,0.1277533039647577,0.0,0.0,0.0,0.0,0.04955947136563876,0.05573770491803279,0.10648148148148148,0.0659536541889483,0.0701468189233279,0.051762114537444934
Il2ra_48h_repressed,0.09462365591397849,0.24629080118694363,0.4262114537444934,1.0,0.24422735346358793,0.21099554234769688,0.0,0.0,0.0,0.0,0.0,0.12307692307692308,0.26666666666666666,0.16927453769559034,0.20279720279720279,0.043478260869565216,0.07720588235294118,0.12344582593250444,0.15985790408525755,0.0,0.0,0.0,0.0,0.1127886323268206,0.11311475409836065,0.16898148148148148,0.1051693404634581,0.13376835236541598,0.12213740458015267
Brg1_repressed,0.13548387096774195,0.19584569732937684,0.15308370044052863,0.24422735346358793,1.0,0.46805349182763745,0.0,0.0,0.0,0.0,0.0,0.17846153846153845,0.20512820512820512,0.2375533428165007,0.14685314685314685,0.13043478260869565,0.19852941176470587,0.19982920580700256,0.17745454545454545,0.0,0.0,0.0,0.0,0.0725359911406423,0.1180327868852459,0.19907407407407407,0.16934046345811052,0.17944535073409462,0.1723009814612868
Ccnt1_repressed,0.1025260029717682,0.17507418397626112,0.10401188707280833,0.21099554234769688,0.46805349182763745,1.0,0.0,0.0,0.0,0.0,0.0,0.13538461538461538,0.11282051282051282,0.13224368499257058,0.08391608391608392,0.0,0.04044117647058824,0.1099554234769688,0.19167904903417535,0.0,0.0,0.0,0.0,0.0713224368499257,0.04918032786885246,0.0787037037037037,0.06951871657754011,0.048939641109298535,0.06835066864784546
runx3_D5EEC_repressed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3894273127753304,0.31995412844036697,0.2815126050420168,0.3392070484581498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D5SLEC_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.3894273127753304,1.0,0.3394495412844037,0.27310924369747897,0.14665841584158415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8EEC_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.31995412844036697,0.3394495412844037,1.0,0.3487394957983193,0.43922018348623854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8SLEC_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.2815126050420168,0.27310924369747897,0.3487394957983193,1.0,0.41456582633053224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8MPEC_repressed,0.0,0.0,0.0,0.0,0.0,0.0,0.3392070484581498,0.14665841584158415,0.43922018348623854,0.41456582633053224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blimp1_repressed,0.40307692307692305,0.09230769230769231,0.07384615384615385,0.12307692307692308,0.17846153846153845,0.13538461538461538,0.0,0.0,0.0,0.0,0.0,1.0,0.10256410256410256,0.3353846153846154,0.13286713286713286,0.043478260869565216,0.007352941176470588,0.033846153846153845,0.09230769230769231,0.0,0.0,0.0,0.0,0.09230769230769231,0.043076923076923075,0.04,0.03076923076923077,0.021538461538461538,0.08307692307692308
Blimp1_repressed2,0.1282051282051282,0.07692307692307693,0.18461538461538463,0.26666666666666666,0.20512820512820512,0.11282051282051282,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,1.0,0.13846153846153847,0.3006993006993007,0.043478260869565216,0.035897435897435895,0.10256410256410256,0.16923076923076924,0.0,0.0,0.0,0.0,0.12307692307692308,0.06153846153846154,0.03076923076923077,0.05641025641025641,0.06666666666666667,0.08717948717948718
Tbet_ref_repressed,0.2773826458036984,0.18397626112759644,0.11379800853485064,0.16927453769559034,0.2375533428165007,0.13224368499257058,0.0,0.0,0.0,0.0,0.0,0.3353846153846154,0.13846153846153847,1.0,0.11188811188811189,0.043478260869565216,0.0661764705882353,0.059743954480796585,0.112375533428165,0.0,0.0,0.0,0.0,0.09388335704125178,0.07213114754098361,0.07175925925925926,0.040998217468805706,0.03588907014681892,0.10810810810810811
