type,Il2ra_ref_promoted,Il2ra_ref_repressed,Il2ra_d6_promoted,Il2ra_d6_repressed,Il2ra_24h_promoted,Il2ra_24h_repressed,Il2ra_48h_promoted,Il2ra_48h_repressed,Brg1_repressed,Brg1_promoted,Ccnt1_repressed,Ccnt1_promoted,runx3_D5EEC_promoted,runx3_D5EEC_repressed,runx3_D5SLEC_promoted,runx3_D5SLEC_repressed,runx3_D8EEC_promoted,runx3_D8EEC_repressed,runx3_D8SLEC_promoted,runx3_D8SLEC_repressed,runx3_D8MPEC_promoted,runx3_D8MPEC_repressed,Blimp1_ref_promoted,Blimp1_repressed,Blimp1_ref_promoted2,Blimp1_repressed2,Tbet_ref_promoted,Tbet_ref_repressed,Hobit_ref_promoted,Hobit_ref_repressed,Tcf7_ref_repressed,Tcf7_ref_promoted,Tcf7_ref_repressed2,Tcf7_ref_promoted2,Tox_ref_repressed,Tox_ref_promoted,Tox_ref_repressed2,Tox_ref_promoted2,Klf2_ref_promoted,Klf2_ref_repressed,Chd7_1_Chd7_D5_promoted,Chd7_1_Chd7_D5_repressed,Chd7_2_Chd7_D5_promoted,Chd7_2_Chd7_D5_repressed,Chd7_3_Chd7_D5_promoted,Chd7_3_Chd7_D5_repressed,Chd7_Naive_promoted,Chd7_Naive_repressed,Chd7_DP_promoted,Chd7_DP_repressed,Chd7_48h_promoted,Chd7_48h_repressed,Chd7_EE_promoted,Chd7_EE_repressed,Chd7_MP_promoted,Chd7_MP_repressed,Chd7_TE_promoted,Chd7_TE_repressed
Il2ra_ref_promoted,1.0,0.0,0.1953781512605042,0.02373887240356083,0.11142857142857143,0.07819383259911894,0.1103202846975089,0.08614564831261101,0.14425770308123248,0.13725490196078433,0.08469539375928678,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3370967741935484,0.009230769230769232,0.09375,0.1076923076923077,0.22771213748657357,0.05405405405405406,0.128,0.0979020979020979,0.13043478260869565,0.046511627906976744,0.18382352941176472,0.03515625,0.17164816396242527,0.11414565826330532,0.09963636363636363,0.08123249299719888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16019818331957061,0.0665266106442577,0.14506172839506173,0.08032786885245902,0.08361774744027303,0.10648148148148148,0.0900735294117647,0.0855614973262032,0.0676818950930626,0.14355628058727568,0.12995245641838352,0.06324972737186478
Il2ra_ref_repressed,0.0,1.0,0.0913978494623656,0.14540059347181009,0.054285714285714284,0.06277533039647577,0.06989247311827956,0.09462365591397849,0.13548387096774195,0.10752688172043011,0.1025260029717682,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012903225806451613,0.40307692307692305,0.06875,0.1282051282051282,0.013978494623655914,0.2773826458036984,0.048,0.0979020979020979,0.0,0.3023255813953488,0.029411764705882353,0.18359375,0.035483870967741936,0.16236559139784945,0.06666666666666667,0.11935483870967742,0.0020325203252032522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043010752688172046,0.17956989247311828,0.05864197530864197,0.05573770491803279,0.07679180887372014,0.05555555555555555,0.10661764705882353,0.05169340463458111,0.05922165820642978,0.037520391517128875,0.04595879556259905,0.05779716466739367
Il2ra_d6_promoted,0.1953781512605042,0.0913978494623656,1.0,0.0,0.1657142857142857,0.0947136563876652,0.1693950177935943,0.0905861456483126,0.09246954595791805,0.3407185628742515,0.06983655274888559,0.22105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23225806451612904,0.024615384615384615,0.075,0.1282051282051282,0.17293233082706766,0.07112375533428165,0.088,0.06293706293706294,0.08695652173913043,0.046511627906976744,0.23161764705882354,0.01171875,0.24850555081127243,0.22567287784679088,0.12872727272727272,0.26973684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568951279933939,0.33365384615384613,0.10493827160493827,0.11475409836065574,0.2781569965870307,0.16435185185185186,0.12867647058823528,0.0677361853832442,0.077834179357022,0.17455138662316477,0.12836767036450078,0.15812431842966193
Il2ra_d6_repressed,0.02373887240356083,0.14540059347181009,0.0,1.0,0.026706231454005934,0.09792284866468842,0.22255192878338279,0.24629080118694363,0.19584569732937684,0.20178041543026706,0.17507418397626112,0.008902077151335312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005934718100890208,0.09230769230769231,0.05625,0.07692307692307693,0.01483679525222552,0.18397626112759644,0.016,0.06993006993006994,0.0,0.13953488372093023,0.025735294117647058,0.0703125,0.06231454005934718,0.40059347181008903,0.17507418397626112,0.11275964391691394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06231454005934718,0.34718100890207715,0.06528189910979229,0.03560830860534125,0.03857566765578635,0.04747774480712166,0.0712166172106825,0.03857566765578635,0.06824925816023739,0.032640949554896145,0.05637982195845697,0.06824925816023739
Il2ra_24h_promoted,0.11142857142857143,0.054285714285714284,0.1657142857142857,0.026706231454005934,1.0,0.0,0.7142857142857143,0.008571428571428572,0.20857142857142857,0.15142857142857144,0.05714285714285714,0.06857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05142857142857143,0.04,0.025,0.041025641025641026,0.07428571428571429,0.11714285714285715,0.016,0.04895104895104895,0.043478260869565216,0.023255813953488372,0.07352941176470588,0.01953125,0.1657142857142857,0.12285714285714286,0.12285714285714286,0.15142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.11428571428571428,0.07142857142857142,0.05142857142857143,0.022857142857142857,0.05714285714285714,0.022857142857142857,0.037142857142857144,0.05142857142857143,0.06571428571428571,0.04857142857142857,0.1
Il2ra_24h_repressed,0.07819383259911894,0.06277533039647577,0.0947136563876652,0.09792284866468842,0.0,1.0,0.009911894273127754,0.4262114537444934,0.15308370044052863,0.11013215859030837,0.10401188707280833,0.06842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07384615384615385,0.11875,0.18461538461538463,0.06277533039647577,0.11379800853485064,0.104,0.13986013986013987,0.043478260869565216,0.18604651162790697,0.09191176470588236,0.19921875,0.09801762114537445,0.14977973568281938,0.1277533039647577,0.039647577092511016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06938325991189427,0.04955947136563876,0.041666666666666664,0.05573770491803279,0.06313993174061433,0.10648148148148148,0.07904411764705882,0.0659536541889483,0.05922165820642978,0.0701468189233279,0.0491283676703645,0.051762114537444934
Il2ra_48h_promoted,0.1103202846975089,0.06989247311827956,0.1693950177935943,0.22255192878338279,0.7142857142857143,0.009911894273127754,1.0,0.0,0.13736654804270462,0.1494661921708185,0.08320950965824665,0.11052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09032258064516129,0.10461538461538461,0.09375,0.09743589743589744,0.07518796992481203,0.11522048364153627,0.088,0.06993006993006994,0.08695652173913043,0.11627906976744186,0.13970588235294118,0.09765625,0.11187019641332195,0.21209964412811388,0.08654545454545455,0.15800711743772242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09661436829066887,0.15088967971530248,0.12037037037037036,0.07868852459016394,0.10409556313993173,0.0763888888888889,0.0900735294117647,0.0659536541889483,0.12013536379018612,0.06199021207177814,0.08874801901743265,0.09269356597600872
Il2ra_48h_repressed,0.08614564831261101,0.09462365591397849,0.0905861456483126,0.24629080118694363,0.008571428571428572,0.4262114537444934,0.0,1.0,0.24422735346358793,0.11989342806394317,0.21099554234769688,0.06491228070175438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07580645161290323,0.12307692307692308,0.15625,0.26666666666666666,0.07626208378088077,0.16927453769559034,0.08,0.20279720279720279,0.043478260869565216,0.27906976744186046,0.07720588235294118,0.21484375,0.12344582593250444,0.18650088809946713,0.15985790408525755,0.04440497335701599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07726465364120781,0.1127886323268206,0.08796296296296297,0.11311475409836065,0.10409556313993173,0.16898148148148148,0.10110294117647059,0.1051693404634581,0.077834179357022,0.13376835236541598,0.098256735340729,0.12213740458015267
Brg1_repressed,0.14425770308123248,0.13548387096774195,0.09246954595791805,0.19584569732937684,0.20857142857142857,0.15308370044052863,0.13736654804270462,0.24422735346358793,1.0,0.0,0.46805349182763745,0.08070175438596491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11290322580645161,0.17846153846153845,0.225,0.20512820512820512,0.11815252416756176,0.2375533428165007,0.168,0.14685314685314685,0.13043478260869565,0.27906976744186046,0.19852941176470587,0.21484375,0.19982920580700256,0.15337763012181616,0.17745454545454545,0.07655502392344497,0.0020325203252032522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1635012386457473,0.0725359911406423,0.14660493827160495,0.1180327868852459,0.09556313993174062,0.19907407407407407,0.09926470588235294,0.16934046345811052,0.12859560067681894,0.17944535073409462,0.10142630744849446,0.1723009814612868
Brg1_promoted,0.13725490196078433,0.10752688172043011,0.3407185628742515,0.20178041543026706,0.15142857142857144,0.11013215859030837,0.1494661921708185,0.11989342806394317,0.0,1.0,0.06537890044576523,0.35964912280701755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22903225806451613,0.06769230769230769,0.1,0.11282051282051282,0.1611170784103115,0.1251778093883357,0.152,0.08391608391608392,0.2608695652173913,0.11627906976744186,0.1801470588235294,0.0859375,0.2408198121263877,0.1592814371257485,0.07781818181818181,0.20059880239520958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08422791081750619,0.2688622754491018,0.1419753086419753,0.1,0.19112627986348124,0.16435185185185186,0.15441176470588236,0.09269162210338681,0.09983079526226735,0.14192495921696574,0.1537242472266244,0.13522355507088332
