"","gene_name"
"1","Arid5a"
"2","Il18r1"
"3","Ctla4"
"4","Icos"
"5","Selp"
"6","Cd48"
"7","Ptpn14"
"8","Batf3"
"9","Il2ra"
"10","Vim"
"11","Gpd2"
"12","Gm13546"
"13","Agps"
"14","Trp53i11"
"15","Abtb2"
"16","Spred1"
"17","a"
"18","Atp11b"
"19","Spata5"
"20","Lrba"
"21","She"
"22","Gm5544"
"23","Pigk"
"24","Chd7"
"25","Tctex1d1"
"26","Faf1"
"27","Ptch2"
"28","Rnf19b"
"29","Cdk6"
"30","Fam133b"
"31","Ppp1cb"
"32","Rbpj"
"33","Bmp2k"
"34","Aff1"
"35","Tes"
"36","Ahcyl2"
"37","Znrf2"
"38","Tnip3"
"39","Ndnf"
"40","Gng12"
"41","Chl1"
"42","Emp1"
"43","Aebp2"
"44","Brsk1"
"45","Rexo5"
"46","9530052E02Rik"
"47","Ppp1r3b"
"48","Acsl1"
"49","AW046200"
"50","Naf1"
"51","Chd9"
"52","Clpx"
"53","Map4"
"54","Ptprk"
"55","Themis"
"56","Rev3l"
"57","Tmcc3"
"58","Lif"
"59","Xbp1"
"60","Spred2"
"61","Fam71b"
"62","Fnip1"
"63","Tnfrsf13b"
"64","Trim16"
"65","Coro6"
"66","Cuedc1"
"67","Cog5"
"68","Atxn7l1"
"69","Klf6"
"70","Dip2c"
"71","Gpld1"
"72","Ell2"
"73","F2rl2"
"74","Gcnt4"
"75","Slc4a7"
"76","Tsc22d1"
"77","5430437J10Rik"
"78","Pkhd1l1"
"79","Vps8"
"80","B4galt4"
"81","Crim1"
"82","Rhoq"
"83","Ttc39c"
"84","Ndfip1"
"85","Tnfaip8"
"86","Isoc1"
"87","Nedd4l"
"88","Pcx"
"89","Gnaq"
"90","Pcgf5"
"91","Sh2d1a"
"92","Slc39a10"
"93","Nabp1"
"94","Gm17767"
"95","Klf7"
"96","Dock10"
"97","Lamc1"
"98","Rabgap1l"
"99","Slamf7"
"100","Fbxo28"
"101","Atf3"
"102","Gtdc1"
"103","Neb"
"104","Cytip"
"105","Stk39"
"106","Ptprj"
"107","Slc30a4"
"108","Gyg"
"109","Phc3"
"110","Tet2"
"111","Nfkb1"
"112","Rap1gds1"
"113","Asph"
"114","Osgin2"
"115","Wwp1"
"116","Wdr78"
"117","Maco1"
"118","Rcan3"
"119","Tnfrsf8"
"120","Fam126a"
"121","Tec"
"122","Tgfbr3"
"123","Lncpint"
"124","Hipk2"
"125","Osbpl3"
"126","Il12rb2"
"127","Frmd4b"
"128","Foxp1"
"129","Eif4e3"
"130","Eps8"
"131","Dpy19l3"
"132","Slco3a1"
"133","Dennd5a"
"134","Peak1"
"135","Zfp609"
"136","Tent5a"
"137","Ccr4"
"138","Cnksr3"
"139","Tab2"
"140","Enpp1"
"141","Srgn"
"142","Cfap54"
"143","Vezt"
"144","Gm29684"
"145","Cradd"
"146","Socs2"
"147","Mtmr3"
"148","Nf2"
"149","Sec24a"
"150","Fam20a"
"151","Pik3cg"
"152","Arl4a"
"153","Egln3"
"154","Tmed10"
"155","Sel1l"
"156","Auh"
"157","Nfil3"
"158","Ctla2a"
"159","Hmgcr"
"160","Fhit"
"161","Kcnk5"
"162","Ankrd28"
"163","Gzmb"
"164","Fndc3a"
"165","Il7r"
"166","Spef2"
"167","Otulin"
"168","Lrp12"
"169","Fam49b"
"170","Zfp944"
"171","Emilin2"
"172","Crem"
"173","Stard4"
"174","Pfdn1"
"175","Zfp608"
"176","Alpk2"
"177","Ptpn2"
"178","Slc14a1"
"179","Setbp1"
"180","Cysltr1"
