"","gene_name"
"1","Zap70"
"2","2010300C02Rik"
"3","Elk4"
"4","Xcl1"
"5","Ifi214"
"6","Ifi204"
"7","Sgk1"
"8","Samd3"
"9","Adora2a"
"10","Chst11"
"11","Dyrk2"
"12","B4galnt1"
"13","Tcf7"
"14","Limd2"
"15","Eml1"
"16","Adarb2"
"17","Serpinb6b"
"18","Serpinb9"
"19","Serpinb1b"
"20","Gfod1"
"21","Il6st"
"22","Arhgef3"
"23","Irf9"
"24","Atp8a2"
"25","Abcc4"
"26","Gpr18"
"27","Lrrc6"
"28","Sla"
"29","Pced1b"
"30","Ubald1"
"31","B3galt5"
"32","Tapbp"
"33","Qpct"
"34","Mbp"
"35","Npas4"
"36","Wbp1l"
"37","Frmd4a"
"38","Rxra"
"39","Ralgps1"
"40","Traf1"
"41","Bcl2l11"
"42","Ppp1r16b"
"43","Tox2"
"44","Aadacl2fm2"
"45","Glt28d2"
"46","Ctss"
"47","Cd160"
"48","Kcna2"
"49","Bach2"
"50","Cd72"
"51","Pakap"
"52","Rgs3"
"53","Tnfsf8"
"54","Ttc39b"
"55","Id3"
"56","Rasgef1b"
"57","Gbp4"
"58","Kdm2b"
"59","Gtf2i"
"60","Zyx"
"61","Lrig1"
"62","Atg7"
"63","Cd27"
"64","Kptn"
"65","Bcl3"
"66","Pou2f2"
"67","Dmac2"
"68","Nav2"
"69","Trpm1"
"70","Ppfibp2"
"71","Klf2"
"72","Gramd1b"
"73","Shisa5"
"74","Tgm4"
"75","Ccr9"
"76","Cxcr6"
