,Il2ra_ref,Il2ra_d6,Il2ra_24h,Il2ra_48h,Brg1,Ccnt1,runx3_D5EEC,runx3_D5SLEC,runx3_D8EEC,runx3_D8SLEC,runx3_D8MPEC,Chd7_Naive,Chd7_DP,Chd7_48h,Chd7_EE,Chd7_MP,Chd7_TE
Il2ra_ref,1.0,0.14540059347181009,0.06277533039647577,0.09462365591397849,0.13548387096774195,0.1025260029717682,0.0,0.0,0.0,0.0,0.0,0.17956989247311828,0.05573770491803279,0.05555555555555555,0.05169340463458111,0.037520391517128875,0.05779716466739367
Il2ra_d6,0.14540059347181009,1.0,0.09792284866468842,0.24629080118694363,0.19584569732937684,0.17507418397626112,0.0,0.0,0.0,0.0,0.0,0.34718100890207715,0.03560830860534125,0.04747774480712166,0.03857566765578635,0.032640949554896145,0.06824925816023739
Il2ra_24h,0.06277533039647577,0.09792284866468842,1.0,0.4262114537444934,0.15308370044052863,0.10401188707280833,0.0,0.0,0.0,0.0,0.0,0.04955947136563876,0.05573770491803279,0.10648148148148148,0.0659536541889483,0.0701468189233279,0.051762114537444934
Il2ra_48h,0.09462365591397849,0.24629080118694363,0.4262114537444934,1.0,0.24422735346358793,0.21099554234769688,0.0,0.0,0.0,0.0,0.0,0.1127886323268206,0.11311475409836065,0.16898148148148148,0.1051693404634581,0.13376835236541598,0.12213740458015267
Brg1,0.13548387096774195,0.19584569732937684,0.15308370044052863,0.24422735346358793,1.0,0.46805349182763745,0.0,0.0,0.0,0.0,0.0,0.0725359911406423,0.1180327868852459,0.19907407407407407,0.16934046345811052,0.17944535073409462,0.1723009814612868
Ccnt1,0.1025260029717682,0.17507418397626112,0.10401188707280833,0.21099554234769688,0.46805349182763745,1.0,0.0,0.0,0.0,0.0,0.0,0.0713224368499257,0.04918032786885246,0.0787037037037037,0.06951871657754011,0.048939641109298535,0.06835066864784546
runx3_D5EEC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3894273127753304,0.31995412844036697,0.2815126050420168,0.3392070484581498,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D5SLEC,0.0,0.0,0.0,0.0,0.0,0.0,0.3894273127753304,1.0,0.3394495412844037,0.27310924369747897,0.14665841584158415,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8EEC,0.0,0.0,0.0,0.0,0.0,0.0,0.31995412844036697,0.3394495412844037,1.0,0.3487394957983193,0.43922018348623854,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8SLEC,0.0,0.0,0.0,0.0,0.0,0.0,0.2815126050420168,0.27310924369747897,0.3487394957983193,1.0,0.41456582633053224,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8MPEC,0.0,0.0,0.0,0.0,0.0,0.0,0.3392070484581498,0.14665841584158415,0.43922018348623854,0.41456582633053224,1.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D5EEC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3894273127753304,0.31995412844036697,0.2815126050420168,0.3392070484581498,0.0,0.0,0.0,0.0,0.0,0.0
Chd7_Naive,0.17956989247311828,0.34718100890207715,0.04955947136563876,0.1127886323268206,0.0725359911406423,0.0713224368499257,0.0,0.0,0.0,0.0,0.0,1.0,0.19508196721311474,0.14814814814814814,0.1265597147950089,0.21207177814029363,0.17448200654307525
Chd7_DP,0.05573770491803279,0.03560830860534125,0.05573770491803279,0.11311475409836065,0.1180327868852459,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.19508196721311474,1.0,0.12731481481481483,0.24955436720142601,0.3590163934426229,0.45901639344262296
Chd7_48h,0.05555555555555555,0.04747774480712166,0.10648148148148148,0.16898148148148148,0.19907407407407407,0.0787037037037037,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.12731481481481483,1.0,0.1550925925925926,0.16203703703703703,0.18518518518518517
Chd7_EE,0.05169340463458111,0.03857566765578635,0.0659536541889483,0.1051693404634581,0.16934046345811052,0.06951871657754011,0.0,0.0,0.0,0.0,0.0,0.1265597147950089,0.24955436720142601,0.1550925925925926,1.0,0.3244206773618538,0.34402852049910876
Chd7_MP,0.037520391517128875,0.032640949554896145,0.0701468189233279,0.13376835236541598,0.17944535073409462,0.048939641109298535,0.0,0.0,0.0,0.0,0.0,0.21207177814029363,0.3590163934426229,0.16203703703703703,0.3244206773618538,1.0,0.4535073409461664
Chd7_TE,0.05779716466739367,0.06824925816023739,0.051762114537444934,0.12213740458015267,0.1723009814612868,0.06835066864784546,0.0,0.0,0.0,0.0,0.0,0.17448200654307525,0.45901639344262296,0.18518518518518517,0.34402852049910876,0.4535073409461664,1.0
