gene_names,P2,P3,P4,P5,P6,P7
Gnaq,0.4168028831481933,-0.0173924304544925,1.1421414613723757,0.1318222731351852,-0.4741915166378021,-1.1738033294677734
F2rl2,0.0,0.4674312174320221,0.4234552681446075,-0.2468850165605545,0.6833835244178772,0.0384025275707244
Wwp1,-0.1989257037639618,0.3712263405323028,-0.0232210513204336,-0.1191343963146209,0.7573421001434326,0.6593256592750549
Ttc39c,0.2658645808696747,0.440964788198471,0.6178852915763855,0.329932689666748,-0.0153725044801831,-0.5150291323661804
Eif4e3,0.8242673873901367,0.1819517016410827,0.4688530266284942,0.2986080050468445,0.8394808769226074,-0.2837020754814148
Rgs1,0.5108599066734314,0.5772374272346497,0.2721416354179382,0.4431218802928924,0.1802193522453308,-0.3700190186500549
Rev3l,0.1501940190792083,0.1460718661546707,0.3264939486980438,0.1787703037261963,0.1200961098074913,-0.3637072741985321
Fnip1,0.1700689047574997,0.0990506336092948,0.1222212463617324,0.1552934348583221,0.4325433969497679,-0.2038363218307495
Klf7,-0.075342409312725,0.5823604464530945,0.537173330783844,0.1172747015953064,0.8772599101066589,0.4546124637126922
Gzmb,1.0099368095397951,0.8594973683357239,0.2049584835767746,0.6484137773513794,0.5178366303443909,0.0140617666766047
Chd7,0.2424045652151107,0.2571778893470764,0.240116462111473,0.2344799488782882,0.12292957305908199,0.2544457614421844
Vim,0.0443492606282234,0.3266770243644714,0.1837467551231384,0.4313943088054657,0.443587452173233,0.1417321413755417
Sh2d1a,0.1001247316598892,0.3809167742729187,0.2475667893886566,0.3723684549331665,0.2550768256187439,0.2606701552867889
Il7r,1.0230257511138916,0.3586267232894897,0.4067704677581787,0.1331267058849334,0.9678322076797484,0.9638975858688354
Slco3a1,0.3264642655849457,0.8344117999076843,0.5834363102912903,0.575421929359436,0.5887673497200012,0.7854753732681274
Nedd4l,1.3951934576034546,1.398845672607422,-0.0131323365494608,0.549560546875,0.0,1.6804368495941162
Ctla2a,1.6603646278381348,0.9324658513069152,0.9651782512664796,0.7380979657173157,0.6823704838752747,1.57624614238739
Ccr5,1.4839833974838257,1.6998370885849,1.3569259643554688,1.252421498298645,0.7588424682617188,1.5021709203720093
Rhoq,0.0155682573094964,0.5883923172950745,-0.2556669116020202,0.0,0.3198176920413971,-1.0017632246017456
Dpy19l3,0.5658001303672789,0.6943736672401428,-1.5408185720443726,0.1567326784133911,0.6968643665313721,-0.2836319208145141
Tet2,-0.2444835752248764,-0.4437151551246643,-0.252861738204956,-0.3893676400184631,0.0610130205750465,-0.1335057467222213
Tnfrsf9,-0.7385910749435425,-0.3824538290500641,-0.6354831457138062,-0.8306776285171509,-0.2786649465560913,-1.284306287765503
Atxn7l1,-0.307811439037323,-0.2277018427848816,-0.3998963534832001,-0.4220526218414306,-0.39862406253814703,-0.4922588765621185
Nfil3,-0.3950720131397247,-0.3796897232532501,-0.41790679097175604,-0.2704983353614807,-0.0815748423337936,-0.4431228935718536
Tnfrsf13b,-0.0126261776313185,-1.0944781303405762,-1.151471495628357,-0.9074249863624572,-0.8299096822738647,-0.6013811230659485
Rabgap1l,-0.0698916018009185,-0.9047977924346924,-0.5023201704025269,-0.9272664785385132,-0.1707384288311004,-0.3338410258293152
Il18r1,-0.1662541627883911,-0.7842469215393066,-0.6379740238189697,-0.95986407995224,-0.7641825675964355,-0.1592596769332885
Icos,-0.3861453235149383,-0.5793595314025879,-0.524777889251709,-0.7135321497917175,-0.5318859815597534,-0.8045918941497803
Hif1a,-0.4040654897689819,-0.6505770087242126,-0.6048455238342285,-0.535316526889801,-0.6070749759674072,-0.3844340741634369
Prkca,-0.3696529567241668,-0.6815410256385803,-1.0217107534408572,-0.6975919604301453,-0.7766409516334534,-0.4881120920181274
Rbpj,-0.4293511807918548,-0.9989831447601318,-0.9081429839134216,-0.7834362983703613,-0.7304652333259583,-0.3916750848293304
Treml2,-1.2229783535003662,-0.2457750886678695,-0.963049590587616,-0.1177348345518112,0.0,0.6987600326538086
Phc3,-0.5392829179763794,-0.1398655474185943,-0.3279500603675842,-0.2215468883514404,-0.1712481677532196,0.1642772555351257
Osm,-0.4762586951255798,0.472032219171524,0.4522168040275574,1.0587416887283323,0.2447552680969238,-0.2857407331466675
Xbp1,-0.1457912921905517,0.2523314654827118,-0.0847442597150802,0.3771860301494598,0.0514136180281639,-0.2763272523880005
Tnip3,-1.1450767517089844,0.0377500317990779,0.0,0.2726517021656036,0.0769303292036056,-0.5255645513534546
Gtdc1,-0.173891395330429,0.0078097693622112,0.0585273057222366,0.1751198768615722,0.1960419863462448,0.2590521574020386
Acsl4,-0.0720308795571327,0.0228691399097442,-0.0728852674365043,0.2801158726215362,0.1244719177484512,0.1131756603717804
Cnot4,-0.3890680074691772,-0.1629569679498672,0.2797098457813263,-0.0093985497951507,0.2886750996112823,-0.1768567860126495
Rnf19b,-0.1636911034584045,-0.0359747260808944,0.0669129937887191,-0.122792087495327,-0.322043627500534,-0.049128595739602994
Pcgf5,-0.1962805688381195,-0.2368343919515609,0.0910748764872551,-0.0486143492162227,0.0230163317173719,0.0765529498457908
Asph,-0.2565396130084991,0.0,0.0,0.0,0.0,0.0
Wdr78,0.0,0.0,-0.7876526713371277,0.2374938279390335,0.0385056808590889,0.0
Setbp1,-0.2358076423406601,-0.2034197300672531,-0.1907688826322555,0.2069529145956039,0.069595031440258,-0.6631126403808594
Fam71b,-0.6754750609397888,-0.6658305525779724,-0.3030022382736206,0.1593887358903885,-0.26145231723785395,-0.4718161225318908
Cmtm6,-0.2353742569684982,-0.1128075793385505,-0.4712980389595032,0.17696313560009,-0.0583307519555091,-0.1162881031632423
Dcun1d3,0.7316376566886902,-0.3349984288215637,-0.8556762933731079,-0.2065044939517974,-0.2982794344425201,0.0660302266478538
Spred2,0.2358437031507492,0.0810610875487327,-0.2473783046007156,-0.4219615161418915,-0.0125139793381094,1.242431879043579
Themis,0.0111548490822315,-0.10079375654459,-0.3627717494964599,-0.1594311147928238,-0.1247653067111969,0.1841360628604889
Slc4a7,0.2934187352657318,-0.0072602587752044,-0.3191837966442108,-0.3052596747875213,0.1856942921876907,0.2794217467308044
Tec,0.0183969847857952,0.015053765848279,-0.8205663561820984,-0.1120407283306121,0.0198423247784376,0.2570574879646301
Cog5,0.4044569730758667,-0.0278854742646217,0.0279524456709623,-0.4036880135536194,0.1963432282209396,-0.0278364531695842
Batf3,0.955267071723938,0.0,0.0,0.0,0.0,0.0
Atp11b,0.3985069990158081,0.0518960207700729,-0.0204877853393554,-0.0276812966912984,0.1088754683732986,-0.13391697406768802
Zbtb32,0.0649493262171745,-0.8018118143081665,-0.460776686668396,-0.4078390300273895,-0.3737522661685943,-0.8709867596626282
Fndc3a,0.2844576835632324,-0.5092630386352539,-0.9227466583251952,-0.0348810739815235,-0.0752517431974411,-0.1902578771114349
Tmem163,0.1934074014425277,-0.2853856086730957,-0.1280992925167083,-0.0299512334167957,0.0472793392837047,-0.6741766929626465
Tab2,0.180745854973793,-0.1799506992101669,-0.0410677306354045,-0.3199283480644226,-0.0769867524504661,-0.5349448919296265
Ifng,0.4342839419841766,-0.1255564391613006,-0.0574543699622154,-0.1570539623498916,-0.0783056616783142,-0.6226498484611511
Crim1,0.0,-0.7408701181411743,0.0,-0.0904298201203346,0.4022528231143951,2.162801742553711
Tent5a,0.1338796317577362,-0.2647504806518554,0.3673339188098907,-0.2326856255531311,-0.40263378620147705,0.6544910073280334
