"","gene_name","log2FC1","log2FC2","Highlight"
"1","Adhfe1",-1.02418033886647,0.813486424419182,"No"
"2","Paqr8",2.21666029300391,-0.879402794983937,"Yes"
"3","Efhc1",-1.57424024930195,-1.44951836079237,"Yes"
"4","Tram2",1.22730472916215,-0.921973359043414,"No"
"5","Dst",1.74409851648365,2.6412846695909,"Yes"
"6","Plekhb2",0.95752263874686,-0.402562751336728,"No"
"7","Zap70",-2.19388993784743,-0.536392795981613,"No"
"8","2010300C02Rik",-1.62422995468904,-1.62705894479289,"No"
"9","Rev1",0.931511318080923,0.608959895890875,"No"
"10","Aff3",1.92032637113741,-0.725033429706956,"Yes"
"11","Rpl31",-0.962509634093915,0.628958313968221,"No"
"12","Il1rl2",-1.27123103425778,0.968023684048747,"No"
"13","Il18r1",3.78815067321845,1.79510850279338,"Yes"
"14","Slc39a10",1.35695448030847,1.17983486669101,"Yes"
"15","Hspe1",0.422705807065985,-0.918981969226111,"No"
"16","Nabp1",1.82698106534488,0.725998747912914,"Yes"
"17","Stat4",2.51379689102151,-0.578050052079948,"Yes"
"18","Nemp2",3.27795619126575,-0.649954808560722,"No"
"19","Inpp1",1.68048917877725,-0.62087582234774,"No"
"20","Hspd1",-0.809830612384484,0.845995978379464,"No"
"21","Rftn2",-1.19835311949008,-1.21168357095626,"No"
"22","Boll",-1.54637768562023,-0.77248037376065,"No"
"23","Fzd7",4.48533005330081,2.53589602705906,"No"
"24","Ica1l",-1.48691307381142,-2.58746006449806,"No"
"25","Icos",2.31365091693989,1.14846575349965,"Yes"
"26","Eef1b2",-1.26073441509043,0.578346435446053,"No"
"27","Klf7",1.99461179129855,1.3311040172432,"Yes"
"28","Ccnyl1",0.736243075159497,0.611580684226027,"No"
"29","Pikfyve",1.62271057741623,0.813321607697908,"No"
"30","Ikzf2",2.40659047782676,-1.62727220900769,"Yes"
"31","Rpl37a",-1.33173137395721,0.512867370570755,"No"
"32","Pnkd",-0.732501223959983,-1.0470828651391,"No"
"33","Wnt10a",1.4259839021397,-2.14095760836014,"No"
"34","Chpf",-1.89924159383555,0.799854384889264,"No"
"35","Ap1s3",1.08945084145668,-0.491726612316727,"No"
"36","Serpine2",1.73143377025737,-0.764374456032138,"No"
"37","Sp140",1.53382451419725,-0.630803138257502,"No"
"38","Sp100",2.33595535742003,-1.02691839184575,"No"
"39","Ncl",-1.43854446543051,0.950183464217463,"No"
"40","Spp2",-5.32607233943236,-3.51839230988773,"No"
"41","Glrp1",-1.69133748224508,1.0259696413692,"No"
"42","Ramp1",2.25043818965503,-1.00827877554614,"No"
"43","Ube2f",-0.531686597119268,0.336154734797208,"No"
"44","Per2",-2.05878059367149,1.00528586847827,"No"
"45","Ndufa10",-0.584124959376746,0.337538236631113,"No"
"46","Thap4",-0.360045683027786,0.291510910922435,"No"
"47","D1Ertd622e",-0.486477415341294,0.60482645862792,"No"
"48","Phlpp1",1.07727066199849,-0.725843308693209,"Yes"
"49","Bcl2",2.52590579189778,0.92358954462588,"Yes"
"50","Nifk",-1.58075533713459,0.592841409380443,"No"
"51","Ralb",0.888458019352476,0.622938654534962,"No"
"52","Marco",-5.45171217408486,-3.67743892723168,"No"
"53","Ddx18",-1.35246427835889,0.515803295887162,"No"
"54","Tmem163",2.57463053754145,2.97647120979789,"Yes"
"55","Zranb3",3.93685070847668,-0.383098574770809,"No"
"56","Ikbke",-1.66242263446653,-1.22506042263411,"No"
"57","Ctse",0.970832636747551,-0.580107904499728,"Yes"
"58","Rab29",0.855392796897129,-0.685984893004473,"Yes"
"59","Elk4",-0.553283374509186,-0.465522711977224,"No"
"60","Dstyk",-0.887905574736269,-0.759666036298665,"No"
"61","Rbbp5",0.473477275573117,0.461274381015479,"No"
"62","Lax1",0.902818948031026,-1.51952001899429,"No"
