"","gene_name"
"1","Il18r1"
"2","Pikfyve"
"3","Ralb"
"4","Rbbp5"
"5","Rgs1"
"6","Lamc1"
"7","Rabgap1l"
"8","Selp"
"9","Cd48"
"10","Fbxo28"
"11","Ptpn14"
"12","Batf3"
"13","Tab2"
"14","Themis"
"15","Rtn4ip1"
"16","Prdm1"
"17","Mcu"
"18","Bcr"
"19","Lss"
"20","Cfap54"
"21","Tmcc3"
"22","Plxnc1"
"23","Cradd"
"24","Ifng"
"25","Osm"
"26","Xbp1"
"27","Spred2"
"28","Actr2"
"29","Fam71b"
"30","Vdac1"
"31","Epn2"
"32","Adora2b"
"33","Coro6"
"34","Myo18a"
"35","Cltc"
"36","Atp6v0a1"
"37","Arsg"
"38","Fam20a"
"39","Tbc1d16"
"40","Pik3cg"
"41","Atxn7l1"
"42","Papln"
"43","Galc"
"44","Vrk1"
"45","Edaradd"
"46","E2f3"
"47","Dusp22"
"48","Nfil3"
"49","Ctla2a"
"50","F2rl2"
"51","Fhit"
"52","Kcnk5"
"53","Gzmb"
"54","Fndc3a"
"55","Slc25a30"
"56","Vwa8"
"57","Il7r"
"58","Spef2"
"59","Otulin"
"60","Fam49b"
"61","Ptk2"
"62","Gxylt1"
"63","Galnt6"
"64","Etv5"
"65","Pcyt1a"
"66","Lrch3"
"67","B4galt4"
"68","Ift57"
"69","Crybg3"
"70","Erg"
"71","Fgd2"
"72","Treml2"
"73","Crim1"
"74","Rhoq"
"75","Crem"
"76","Ttc39c"
"77","Diaph1"
"78","Tnfaip8"
"79","Zfp608"
"80","Aldh7a1"
"81","Nedd4l"
"82","Lipg"
"83","Setbp1"
"84","Pcx"
"85","Gnaq"
"86","Vim"
"87","Ggta1"
"88","Nek6"
"89","Gtdc1"
"90","Neb"
"91","Gpd2"
"92","Cytip"
"93","Cdca7"
"94","Ptprj"
"95","Trp53i11"
"96","Prnp"
"97","Slc24a3"
"98","Tgm2"
"99","Pde7a"
"100","Phc3"
"101","Atp11b"
"102","Golim4"
"103","Notch2"
"104","Cd2"
"105","Rwdd3"
"106","Elovl6"
"107","Dnajb14"
"108","Rap1gds1"
"109","Chd7"
"110","Coro2a"
"111","Ndc1"
"112","Slc2a1"
"113","Rnf19b"
"114","Tnfrsf8"
"115","Tnfrsf9"
"116","Espn"
"117","Fam133b"
"118","Rbpj"
"119","Tgfbr3"
"120","P2rx7"
"121","Hip1"
"122","Rnf216"
"123","Cnot4"
"124","Zc3hav1l"
"125","Znrf2"
"126","Gprin3"
"127","Tnip3"
"128","Il12rb2"
"129","Gabarapl1"
"130","Rasgrp4"
"131","Chsy1"
"132","Slco3a1"
"133","Mrvi1"
"134","Rexo5"
"135","Mosmo"
"136","B4galnt4"
"137","Ppp1r3b"
"138","St3gal2"
"139","Rdx"
"140","Arid3b"
"141","Tent5a"
"142","Dipk2a"
"143","Ryk"
"144","Tmem108"
"145","Hemk1"
"146","Ccr4"
"147","Ccr5"
"148","Cysltr1"
"149","Prdx4"
