type,Il2ra_ref_promoted,Il2ra_d6_promoted,Il2ra_24h_promoted,Il2ra_48h_promoted,Brg1_promoted,Ccnt1_promoted,runx3_D5EEC_promoted,runx3_D5SLEC_promoted,runx3_D8EEC_promoted,runx3_D8SLEC_promoted,runx3_D8MPEC_promoted,Blimp1_ref_promoted,Blimp1_ref_promoted2,Tbet_ref_promoted,Hobit_ref_promoted,Tcf7_ref_promoted,Tcf7_ref_promoted2,Tox_ref_promoted,Tox_ref_promoted2,Klf2_ref_promoted,Chd7_1_Chd7_D5_promoted,Chd7_2_Chd7_D5_promoted,Chd7_3_Chd7_D5_promoted,Chd7_Naive_promoted,Chd7_DP_promoted,Chd7_48h_promoted,Chd7_EE_promoted,Chd7_MP_promoted,Chd7_TE_promoted
Il2ra_ref_promoted,1.0,0.1953781512605042,0.11142857142857143,0.1103202846975089,0.13725490196078433,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.3370967741935484,0.09375,0.22771213748657357,0.128,0.046511627906976744,0.03515625,0.11414565826330532,0.08123249299719888,0.0,0.0,0.0,0.0,0.16019818331957061,0.14506172839506173,0.08361774744027303,0.0900735294117647,0.0676818950930626,0.12995245641838352
Il2ra_d6_promoted,0.1953781512605042,1.0,0.1657142857142857,0.1693950177935943,0.3407185628742515,0.22105263157894736,0.0,0.0,0.0,0.0,0.0,0.23225806451612904,0.075,0.17293233082706766,0.088,0.046511627906976744,0.01171875,0.22567287784679088,0.26973684210526316,0.0,0.0,0.0,0.0,0.1568951279933939,0.10493827160493827,0.2781569965870307,0.12867647058823528,0.077834179357022,0.12836767036450078
Il2ra_24h_promoted,0.11142857142857143,0.1657142857142857,1.0,0.7142857142857143,0.15142857142857144,0.06857142857142857,0.0,0.0,0.0,0.0,0.0,0.05142857142857143,0.025,0.07428571428571429,0.016,0.023255813953488372,0.01953125,0.12285714285714286,0.15142857142857144,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.022857142857142857,0.022857142857142857,0.05142857142857143,0.04857142857142857
Il2ra_48h_promoted,0.1103202846975089,0.1693950177935943,0.7142857142857143,1.0,0.1494661921708185,0.11052631578947368,0.0,0.0,0.0,0.0,0.0,0.09032258064516129,0.09375,0.07518796992481203,0.088,0.11627906976744186,0.09765625,0.21209964412811388,0.15800711743772242,0.0,0.0,0.0,0.0,0.09661436829066887,0.12037037037037036,0.10409556313993173,0.0900735294117647,0.12013536379018612,0.08874801901743265
Brg1_promoted,0.13725490196078433,0.3407185628742515,0.15142857142857144,0.1494661921708185,1.0,0.35964912280701755,0.0,0.0,0.0,0.0,0.0,0.22903225806451613,0.1,0.1611170784103115,0.152,0.11627906976744186,0.0859375,0.1592814371257485,0.20059880239520958,0.0,0.0,0.0,0.0,0.08422791081750619,0.1419753086419753,0.19112627986348124,0.15441176470588236,0.09983079526226735,0.1537242472266244
Ccnt1_promoted,0.15789473684210525,0.22105263157894736,0.06857142857142857,0.11052631578947368,0.35964912280701755,1.0,0.0,0.0,0.0,0.0,0.0,0.14210526315789473,0.08125,0.1631578947368421,0.104,0.0,0.015625,0.07719298245614035,0.13508771929824562,0.0,0.0,0.0,0.0,0.06842105263157895,0.04912280701754386,0.04736842105263158,0.04044117647058824,0.017543859649122806,0.05263157894736842
runx3_D5EEC_promoted,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3825088339222615,0.14664310954063603,0.27400468384074944,0.32332155477031804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D5SLEC_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.3825088339222615,1.0,0.14369345396487493,0.3255269320843091,0.14757160647571607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8EEC_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.14664310954063603,0.14369345396487493,1.0,0.38875878220140514,0.19613947696139478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runx3_D8SLEC_promoted,0.0,0.0,0.0,0.0,0.0,0.0,0.27400468384074944,0.3255269320843091,0.38875878220140514,1.0,0.5035128805620609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
