MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		negative regulation of type I interferon-mediated signaling pathway			IMP	MGI:3828307 	J:142338 	
MGI:1917562	Cactin	cactin, spliceosome C complex subunit	10		negative regulation of type I interferon-mediated signaling pathway			ISO	Q8WUQ7 	J:164563 	
MGI:109531	Cdc37	cell division cycle 37	9		regulation of type I interferon-mediated signaling pathway			ISO	Q16543 	J:107465 	
MGI:1298230	Cnot7	CCR4-NOT transcription complex, subunit 7	8		negative regulation of type I interferon-mediated signaling pathway			ISO	Q9UIV1 	J:164563 	
MGI:1925022	Dcst1	DC-STAMP domain containing 1	3		negative regulation of type I interferon-mediated signaling pathway			ISO	Q5T197 	J:164563 	
MGI:109324	Fadd	Fas (TNFRSF6)-associated via death domain	7		positive regulation of type I interferon-mediated signaling pathway			ISO	Q13158 	J:164563 	
MGI:5804832	Gm45717	predicted gene 45717	7		type I interferon signaling pathway			IBA	PTN000360680 	J:265628 	
MGI:96248	Hsp84-2	heat shock protein, 2	2		regulation of type I interferon-mediated signaling pathway			ISO	P08238 	J:107465 	
MGI:1915963	Ifitm1	interferon induced transmembrane protein 1	7		type I interferon signaling pathway			IBA	PTN000360680 	J:265628 	
MGI:1933382	Ifitm2	interferon induced transmembrane protein 2	7		type I interferon signaling pathway			IBA	PTN000360680 	J:265628 	
MGI:1913391	Ifitm3	interferon induced transmembrane protein 3	7		type I interferon signaling pathway			IBA	PTN000360680 	J:265628 	
MGI:1913391	Ifitm3	interferon induced transmembrane protein 3	7		type I interferon signaling pathway			IDA		J:157631 	
MGI:2686976	Ifitm6	interferon induced transmembrane protein 6	7		type I interferon signaling pathway			IBA	PTN000360680 	J:265628 	
MGI:1921732	Ifitm7	interferon induced transmembrane protein 7	16		type I interferon signaling pathway			IBA	PTN000360680 	J:265628 	
MGI:107668	Ifna1	interferon alpha 1	4		type I interferon signaling pathway			IDA		J:213232 	
MGI:107658	Ifnar1	interferon (alpha and beta) receptor 1	16		type I interferon signaling pathway			IDA		J:208239 	
MGI:107658	Ifnar1	interferon (alpha and beta) receptor 1	16		type I interferon signaling pathway			IMP		J:235021 J:228118 	
MGI:107658	Ifnar1	interferon (alpha and beta) receptor 1	16		type I interferon signaling pathway			ISO	P17181 	J:164563 	
MGI:1098243	Ifnar2	interferon (alpha and beta) receptor 2	16		type I interferon signaling pathway			IBA	PTN000466380 	J:265628 	
MGI:1098243	Ifnar2	interferon (alpha and beta) receptor 2	16		type I interferon signaling pathway			ISO	P48551 	J:164563 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		type I interferon signaling pathway			IMP		J:235021 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		type I interferon signaling pathway			ISO	P01574 	J:164563 	
MGI:1929612	Ikbke	inhibitor of kappaB kinase epsilon	1		positive regulation of type I interferon-mediated signaling pathway			IMP		J:235021 	
MGI:107420	Irak1	interleukin-1 receptor-associated kinase 1	X		type I interferon signaling pathway			ISO	P51617 	J:164563 	
MGI:1859179	Irf3	interferon regulatory factor 3	7		positive regulation of type I interferon-mediated signaling pathway			IMP		J:123411 	
MGI:1859179	Irf3	interferon regulatory factor 3	7		type I interferon signaling pathway			IMP		J:235021 	
MGI:1859212	Irf7	interferon regulatory factor 7	7		positive regulation of type I interferon-mediated signaling pathway			IMP		J:123411 	
MGI:1859212	Irf7	interferon regulatory factor 7	7		type I interferon signaling pathway			IMP		J:235021 	
MGI:1855694	Isg15	ISG15 ubiquitin-like modifier	4		negative regulation of type I interferon-mediated signaling pathway			ISO	P05161 	J:164563 	
MGI:1914320	Lsm14a	LSM14A mRNA processing body assembly factor	7		positive regulation of type I interferon-mediated signaling pathway			IDA		J:186390 	
MGI:2444773	Mavs	mitochondrial antiviral signaling protein	2		positive regulation of type I interferon-mediated signaling pathway			ISO	Q7Z434 	J:164563 	
MGI:1927165	Mettl3	methyltransferase like 3	14		negative regulation of type I interferon-mediated signaling pathway			ISO	Q86U44 	J:164563 	
MGI:97005	Mmp12	matrix metallopeptidase 12	9		negative regulation of type I interferon-mediated signaling pathway			IMP		J:213232 	
MGI:97005	Mmp12	matrix metallopeptidase 12	9		positive regulation of type I interferon-mediated signaling pathway			IMP		J:213232 	
MGI:1915600	Mul1	mitochondrial ubiquitin ligase activator of NFKB 1	4		negative regulation of type I interferon-mediated signaling pathway			ISO	Q969V5 	J:164563 	
MGI:108005	Myd88	myeloid differentiation primary response gene 88	9		type I interferon signaling pathway			ISO	Q99836 	J:164563 	
MGI:3612191	Nlrc5	NLR family, CARD domain containing 5	8		negative regulation of type I interferon-mediated signaling pathway			IBA	PTN002789281 	J:265628 	
MGI:3612191	Nlrc5	NLR family, CARD domain containing 5	8		negative regulation of type I interferon-mediated signaling pathway			IDA		J:160362 	
MGI:3612191	Nlrc5	NLR family, CARD domain containing 5	8		negative regulation of type I interferon-mediated signaling pathway			ISO	Q86WI3 	J:164563 	
