0,1,10,2,3,4,5,6,7,8,9
Ccr2,Hmgb2,Hmgb2,Zeb2,Sell,Hmgb2,Hmgb2,Pa2g4,Slamf6,Lag3,Sell
Btg1,Hmmr,Hnrnpab,Il18rap,Tcf7,Mcm3,Cd48,Hnrnpab,Tcf7,Lgals3,Ccr7
Cd52,Aurkb,Ssrp1,Cx3cr1,Lef1,Ybx1,Lgals3,Hells,Cd9,Cd52,Tcf7
Cd3d,Ezh2,Ybx1,Klrg1,Foxp1,Hnrnpab,Fkbp2,Nap1l1,Ighm,Ly6a,Satb1
Cxcr6,Dek,Ezh2,Btg1,Btg1,Mcm5,Sub1,Prmt1,Hif1a,Cd3g,Lef1
Hopx,Mxd3,Mcm5,Ptprc,Ccr7,Dek,Actb,Ybx1,Ctla4,Sub1,Btg1
Sp100,Snrpd1,Snrpd1,Klrd1,Il7r,Mcm6,Ly6a,Uhrf1,Ly6e,Il18r1,Klf2
Id2,Cbx3,Hdgf,Cd8b1,Satb1,Snrpd1,Ybx1,Mcm3,Tnfsf8,Cd3d,Jun
Il18r1,Hnrnpab,Hmmr,Itgb1,Ighm,Mcm7,Edf1,Mcm5,Crtam,Cd3e,Fos
Cd8b1,Fkbp2,Snrpb,Junb,Il6st,Uhrf1,Il2rb,Phb2,Batf,Cd160,Jund
Cd28,Med30,Mcm3,Klrc1,Chd3,Nap1l1,Cbx3,Polr2f,Tox,Itga4,Il7r
Ptprc,Cd48,Mcm7,Klf2,Ssbp2,Mcm2,Snrpd1,Hdgf,Itgb1,Ly6e,Foxp1
Junb,Sub1,Dnmt1,Sp100,Ccr9,Mcm4,Itgb7,Tfdp1,Ly6a,Pdcd1,Tsc22d3
Klrd1,Dnmt1,Rbbp7,Spn,Il6ra,Atad2,Bsg,Rbbp7,Nr4a2,Foxn3,Ddx5
Selplg,Ctcf,Fkbp2,Cd52,Bcl11b,Cbx3,Hdgf,Snrpd1,Icos,Irf8,Cd69
Cd53,Brd8,Aurkb,Itga4,Scml4,Hells,Hnrnpab,Mcm7,Id3,Tox,Klf6
Cd2,Cbx5,Mcm6,Itgal,Zbtb20,Dnmt1,Hmgb3,Hnrnpd,Cd27,Havcr2,Junb
Itgax,Rbbp4,Supt16,Itgb2,Treml2,Ezh2,Mcm3,Ssrp1,Ikzf2,Ifngr1,Chd2
Dennd4a,Rbbp7,Cd48,Rora,Id3,Hat1,Med30,Mcm4,Nfkbiz,Il2rb,Il4ra
Rora,Hdgf,Dek,Zfp36l2,Klf13,Ssrp1,Zbtb32,Mcm2,Cxcr3,Cxcr6,Elf1
Cd3g,Foxm1,Rpa3,Selplg,Foxo1,Dpy30,Nap1l1,Dpy30,Pou2f2,Id2,Smad7
Tnfaip3,Nap1l1,Mcm4,Klrc2,Stat1,Lgals3,Dek,Ezh2,Lag3,Cd27,Stat1
Cxcr3,Ssrp1,Smarca5,Hopx,Klf3,Rad51,Polr3k,Smarca5,Nrp1,Sirt2,Il6ra
Zfp36l2,Kmt5a,Il2rb,Klf3,Itgae,Hnrnpd,Pttg1,Hat1,Cd160,Il18rap,Ssbp2
Ccr5,Hmgb3,Cbx5,Ccr2,S1pr1,Cenpk,Polr2k,Snrpb,Rel,Cd2,Zfp36l1
Btg2,Ube2i,Bsg,Ets1,Pura,Rpa3,Hmmr,Mcm6,Trps1,Slamf7,Cd53
Itga4,Actb,Dpy30,Btg2,Zfp292,Nsd2,Taf12,Parp1,Aff3,Itgal,Chd3
