P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Sell,Sell,Pa2g4,Hmgb2,Hmgb2,Hmgb2,Hmgb2,Slamf6,Lag3,Ccr2,Zeb2
Tcf7,Ccr7,Hnrnpab,Hmmr,Hnrnpab,Mcm3,Lgals3,Tcf7,Lgals3,Btg1,Il18rap
Lef1,Tcf7,Hells,Aurkb,Ssrp1,Ybx1,Fkbp2,Cd9,Ly6a,Cxcr6,Cx3cr1
Foxp1,Satb1,Nap1l1,Ezh2,Ybx1,Hnrnpab,Hmgb3,Ighm,Il18r1,Hopx,Klrg1
Btg1,Lef1,Prmt1,Dek,Ezh2,Mcm5,Zbtb32,Hif1a,Cd160,Id2,Btg1
Ccr7,Btg1,Ybx1,Mxd3,Mcm5,Dek,Hmmr,Ctla4,Pdcd1,Il18r1,Klrd1
Il7r,Klf2,Uhrf1,Snrpd1,Snrpd1,Mcm6,Ggt1,Tnfsf8,Foxn3,Cd28,Itgb1
Satb1,Jun,Mcm3,Cbx3,Hmmr,Snrpd1,Hells,Crtam,Irf8,Junb,Junb
Ighm,Fos,Mcm5,Hnrnpab,Mcm3,Mcm7,Tnfrsf9,Batf,Tox,Klrd1,Klrc1
Il6st,Il7r,Phb2,Fkbp2,Mcm7,Uhrf1,Tnfrsf13c,Tox,Havcr2,Itgax,Klf2
Chd3,Foxp1,Polr2f,Med30,Dnmt1,Nap1l1,Orc1,Itgb1,Cxcr6,Dennd4a,Sp100
Ssbp2,Tsc22d3,Hdgf,Dnmt1,Rbbp7,Mcm2,Creb3l1,Nr4a2,Sirt2,Rora,Spn
Ccr9,Cd69,Tfdp1,Ctcf,Fkbp2,Mcm4,Cd24a,Icos,Maf,Tnfaip3,Itgal
Il6ra,Klf6,Rbbp7,Brd8,Aurkb,Atad2,Cd244a,Id3,Nfatc1,Cxcr3,Itgb2
Bcl11b,Chd2,Snrpd1,Cbx5,Mcm6,Cbx3,Ifitm1,Ikzf2,Cd44,Ccr5,Rora
Scml4,Il4ra,Mcm7,Foxm1,Supt16,Hells,,Pou2f2,Il1rl1,Klrk1,Zfp36l2
Zbtb20,Smad7,Ssrp1,Kmt5a,Rpa3,Dnmt1,,Lag3,Il10ra,Il18rap,Klrc2
Treml2,Stat1,Mcm4,Hmgb3,Mcm4,Ezh2,,Nrp1,Zbtb38,Runx2,Klf3
Id3,Il6ra,Mcm2,Rpa3,Cbx5,Hat1,,Cd160,Alcam,Pbxip1,Ccr2
Foxo1,Ssbp2,Dpy30,Espl1,Pa2g4,Ssrp1,,Rel,Tulp4,Fasl,Klrk1
Stat1,Zfp36l1,Ezh2,Trip13,Rad51,Dpy30,,Trps1,Klrb1c,Itga1,Fasl
Klf3,Chd3,Smarca5,Rad51,Lgals3,Lgals3,,Aff3,Tnfrsf13b,Igkc,Klrb1c
