gene_name,P2_Arm,P3_Arm,P4_Arm,P5_Arm,P6_Arm,P7_Arm,P8_Arm,P9_Arm,P10_Arm,P2_Cl13,P3_Cl13,P4_Cl13,P5_Cl13,P6_Cl13,P7_Cl13,P8_Cl13,P9_Cl13,P10_Cl13
Mrpl15,0.18593554,0.13002592,0.15458913,0.17234828,0.18533567,0.10807173,0.07096526,0.045218114,0.040330995,0.15257184,0.13852178,0.18865019,0.13461688,0.14031495,0.10498469,0.08200786,0.0898815,0.05939454
Mybl1,0.06498968,0.05130508,0.046287913,0.07282918,0.051858403,0.016640633,0.009837741,0.011830003,0.008908014,0.031874392,0.11316987,0.051279314,0.07816971,0.019361204,0.02187418,0.022005506,0.01741676,0.018425897
Vcpip1,0.30291957,0.39888266,0.3664645,0.32728273,0.4359292,0.31856778,0.4130301,0.29309013,0.32545525,0.32147732,0.3901872,0.39698803,0.39023632,0.43688527,0.40503567,0.2576094,0.4165357,0.37655076
Cops5,0.37177822,0.27610493,0.36294824,0.28364125,0.2983308,0.22309165,0.19450715,0.15284164,0.14351036,0.3478252,0.22401038,0.37163246,0.28666386,0.2772213,0.20121063,0.1774418,0.19245914,0.17422369
Arfgef1,0.7227389,0.6576799,0.78317577,0.6679472,0.7975338,1.1034474,0.931508,1.0930092,1.1511892,0.84056544,0.68730634,0.64393866,0.6337078,0.7280765,0.96366644,1.0659662,0.9652204,0.8718384
Ncoa2,3.3788288,3.4449384,3.3619032,3.5303597,3.2859285,3.5389664,4.2731643,4.1936407,4.625916,3.3575306,3.9905322,3.945299,4.075419,3.9902556,3.6092043,4.027713,4.1940513,4.140481
Tram1,0.8708707,0.8612979,0.9106027,0.86808664,1.0706184,0.57563746,0.75377786,0.53405386,0.60914236,0.70790076,0.77882767,0.88917387,0.77991045,0.92794853,0.6553005,0.58120286,0.7314335,0.50279534
Lactb2,0.15883031,0.2339874,0.21476325,0.15975785,0.20519881,0.18634258,0.3259942,0.21441,0.3303525,0.22949436,0.28660923,0.2244456,0.19269577,0.1841302,0.23580322,0.32988593,0.18952523,0.48797172
Rpl7,0.03133393,0.013778271,0.022115959,0.016835649,0.025814475,0.022405185,0.04185268,0.026360804,0.029556865,0.025462763,0.019535748,0.028004289,0.015215689,0.022557365,0.021857182,0.01299832,0.008565389,0.0
Ube2w,0.371925,0.29014477,0.29994294,0.2739751,0.34339982,0.40146872,0.37595326,0.42048064,0.3937521,0.39326307,0.39014435,0.36645812,0.35379693,0.37712124,0.43869138,0.63473624,0.3579894,0.4107662
