0,1,10,2,3,4,5,6,7,8,9
Ccr2,Hmgb2,Hmgb2,Zeb2,Sell,Hmgb2,Hmgb2,Pa2g4,Slamf6,Lag3,Sell
Btg1,Hmmr,Hnrnpab,Il18rap,Tcf7,Mcm3,Lgals3,Hnrnpab,Tcf7,Lgals3,Ccr7
Cxcr6,Aurkb,Ssrp1,Cx3cr1,Lef1,Ybx1,Fkbp2,Hells,Cd9,Ly6a,Tcf7
Hopx,Ezh2,Ybx1,Klrg1,Foxp1,Hnrnpab,Hmgb3,Nap1l1,Ighm,Il18r1,Satb1
Id2,Dek,Ezh2,Btg1,Btg1,Mcm5,Zbtb32,Prmt1,Hif1a,Cd160,Lef1
Il18r1,Mxd3,Mcm5,Klrd1,Ccr7,Dek,Hmmr,Ybx1,Ctla4,Pdcd1,Btg1
Cd28,Snrpd1,Snrpd1,Itgb1,Il7r,Mcm6,Ggt1,Uhrf1,Tnfsf8,Foxn3,Klf2
Junb,Cbx3,Hmmr,Junb,Satb1,Snrpd1,Hells,Mcm3,Crtam,Irf8,Jun
Klrd1,Hnrnpab,Mcm3,Klrc1,Ighm,Mcm7,Tnfrsf9,Mcm5,Batf,Tox,Fos
Itgax,Fkbp2,Mcm7,Klf2,Il6st,Uhrf1,Tnfrsf13c,Phb2,Tox,Havcr2,Il7r
Dennd4a,Med30,Dnmt1,Sp100,Chd3,Nap1l1,Orc1,Polr2f,Itgb1,Cxcr6,Foxp1
Rora,Dnmt1,Rbbp7,Spn,Ssbp2,Mcm2,Creb3l1,Hdgf,Nr4a2,Sirt2,Tsc22d3
Tnfaip3,Ctcf,Fkbp2,Itgal,Ccr9,Mcm4,Cd24a,Tfdp1,Icos,Maf,Cd69
Cxcr3,Brd8,Aurkb,Itgb2,Il6ra,Atad2,Cd244a,Rbbp7,Id3,Nfatc1,Klf6
Ccr5,Cbx5,Mcm6,Rora,Bcl11b,Cbx3,Ifitm1,Snrpd1,Ikzf2,Cd44,Chd2
Klrk1,Foxm1,Supt16,Zfp36l2,Scml4,Hells,,Mcm7,Pou2f2,Il1rl1,Il4ra
Il18rap,Kmt5a,Rpa3,Klrc2,Zbtb20,Dnmt1,,Ssrp1,Lag3,Il10ra,Smad7
Runx2,Hmgb3,Mcm4,Klf3,Treml2,Ezh2,,Mcm4,Nrp1,Zbtb38,Stat1
Pbxip1,Rpa3,Cbx5,Ccr2,Id3,Hat1,,Mcm2,Cd160,Alcam,Il6ra
Fasl,Espl1,Pa2g4,Klrk1,Foxo1,Ssrp1,,Dpy30,Rel,Tulp4,Ssbp2
Itga1,Trip13,Rad51,Fasl,Stat1,Dpy30,,Ezh2,Trps1,Klrb1c,Zfp36l1
Igkc,Rad51,Lgals3,Klrb1c,Klf3,Lgals3,,Smarca5,Aff3,Tnfrsf13b,Chd3
Cd86,Lgals3,Tfdp1,Mxd4,Itgae,Rad51,,Hat1,Pecam1,Cd80,Treml2
Arntl,Nfyb,Smarcc1,Tbx21,Pura,Cenpk,,Mcm6,Tgif1,Vax2,Zbtb20
Zfhx2,Mcm5,Trip13,Fcgr2b,Ikbkb,Rpa3,,Parp1,Pdcd1,Setbp1,Cxcr4
Pou6f1,Mcm7,Hat1,Kdm7a,Ifngr2,Nsd2,,Rad51,Nfat5,Entpd1,Fosb
Tnfrsf25,Cenpk,Uhrf1,Rara,Tcf12,Chaf1b,,Ruvbl1,Il1rl1,Mlxip,Hexim1
Lilrb4a,Rbl1,Hmgb3,Itgam,Pecam1,Fkbp2,,Dnajc2,Eif2ak2,Sema7a,Zeb1
Btbd11,Nsd2,Mxd3,Arntl,Il4ra,Baz1b,,Supt16,Tnfrsf25,Adam8,Myc
Fcgr2b,Brip1,Chaf1b,Nfic,Thra,Tcf19,,Suz12,Btla,Cd38,Scml4
,Sap30,Chaf1a,Pogk,Zeb1,Chaf1a,,Smarcc1,Tox2,Hivep3,Zbtb10
,E2f8,Cenpk,Phf1,Kmt2c,Cbx5,,Chaf1a,Tnfrsf4,Itga1,Tnfsf8
,E2f2,Hells,Zfhx2,Smarca2,Tfdp1,,Polr2h,Cd200,Cd86,Cebpb
,Myef2,Foxm1,Nr1d2,Hdac4,E2f1,,Rpa3,Cxcr4,Lilrb4a,Pcgf5
,Fhl2,Espl1,,Chd6,E2f8,,Cbx5,Ccr6,Klra3,Maff
,Suv39h1,Ggt1,,Zkscan3,Rfc1,,Hmgb2,Cd72,Stat2,Fosl2
,Bard1,Bard1,,Pcgf5,Suz12,,Gtf3a,Cd83,,Cd55
,Ttf2,Mybl2,,Aff3,Mybl2,,Polr3k,Plxnc1,,Nt5e
,Kntc1,E2f8,,Sox4,Wdhd1,,Mybbp1a,Ar,,Izumo1r
,Rbm15,Tnfrsf9,,Tlr1,Brca1,,Dnmt1,Klf4,,Jmy
