,N-P0,A-P1,A-P2,C-P2,A-P3,C-P3,A-P4,C-P4,A-P5,C-P5,A-P6,C-P6,A-P7,C-P7,C-P8,A-P9,A-P10
Tarbp2,0.09992703795433044,0.11386648565530777,0.250222772359848,0.2691410183906555,0.2319115847349167,0.24255360662937164,0.21450048685073853,0.24078269302845,0.21579523384571075,0.18086598813533783,0.19666323065757751,0.2409985214471817,0.2002962827682495,0.17303168773651123,0.12853752076625824,0.12785018980503082,0.10532637685537338
Yeats4,0.41804203391075134,0.40702465176582336,0.7025370001792908,0.7085199952125549,0.7097442150115967,0.7513909935951233,0.7275829911231995,0.7348158359527588,0.6408251523971558,0.6533326506614685,0.727636992931366,0.7119805812835693,0.5831142663955688,0.667041540145874,0.49188175797462463,0.4254109263420105,0.37841928005218506
Srrm1,0.7476186752319336,0.8856791257858276,1.2435623407363892,1.2710325717926025,1.1096396446228027,1.1594620943069458,1.1816885471343994,1.191773772239685,1.105309247970581,1.1225295066833496,1.0038931369781494,1.0586163997650146,0.9385358691215515,0.9965722560882568,0.9387156963348389,0.9478917717933655,0.8875369429588318
Fkbp5,0.148971289396286,0.09231021255254745,0.6812450885772705,0.8101621270179749,0.4147360324859619,0.5756274461746216,0.6556781530380249,0.6940298080444336,0.611670732498169,0.7184455394744873,0.5021379590034485,0.5314191579818726,0.37502482533454895,0.3866063058376312,0.650993287563324,0.2285681813955307,0.19886347651481628
Cd81,0.015954958274960518,0.007332400884479284,0.040669605135917664,0.05685041472315788,0.01449189055711031,0.01895999349653721,0.028847889974713326,0.042558927088975906,0.013812106102705002,0.01105523481965065,0.015192665159702301,0.007117238361388445,0.016636759042739868,0.04402972385287285,0.010504503734409809,0.00021639588521793485,0.0036636723671108484
Mcm5,0.10760771483182907,0.1035599559545517,1.1560550928115845,1.1549880504608154,0.9114002585411072,0.8269224762916565,1.071211338043213,1.0772583484649658,1.23582923412323,1.2535113096237183,0.8436625599861145,0.7462521195411682,0.39599594473838806,0.3585969805717468,0.45703181624412537,0.14962776005268097,0.08924543112516403
Nfkbiz,0.2668295204639435,0.5360701084136963,0.5294130444526672,0.6294035911560059,0.6320476531982422,0.9670238494873047,0.697839617729187,0.9493021368980408,0.6027770042419434,0.9283108115196228,0.6174808144569397,0.9333872199058533,0.8986471891403198,1.0967705249786377,0.9060667753219604,0.8706945180892944,0.6832578182220459
Men1,0.10386694967746735,0.07682744413614273,0.1620381623506546,0.1215348169207573,0.10540610551834106,0.11582698673009872,0.14969505369663239,0.09907058626413345,0.11353036761283875,0.09950342029333115,0.1021677702665329,0.09432147443294525,0.05201607197523117,0.08038411289453506,0.08911213278770447,0.0670219138264656,0.07282812148332596
Hsf4,0.006493476219475269,0.0022002437617629766,0.027868008241057396,0.022870458662509918,0.03981100395321846,0.042780570685863495,0.029481247067451477,0.04503744840621948,0.04046196863055229,0.034031130373477936,0.03936896100640297,0.03645048290491104,0.025600360706448555,0.01677362062036991,0.029871145263314247,0.026362711563706398,0.01520935632288456
Actb,4.182748317718506,3.913754463195801,4.73757791519165,4.698487281799316,5.247854232788086,5.023281574249268,5.0556745529174805,5.045387268066406,5.185314178466797,5.070005893707275,5.209016799926758,5.179296016693115,4.791287422180176,4.692703723907471,4.8629560470581055,4.898004055023193,4.814008712768555
Pdcd1,0.008419876918196678,0.010239566676318645,0.250237375497818,0.6305097341537476,0.14838853478431702,0.5283588171005249,0.22771698236465454,0.6392547488212585,0.21232523024082184,0.5827401280403137,0.1730649173259735,0.4826362431049347,0.20175571739673615,0.5248540639877319,0.6303867697715759,0.0694723054766655,0.04357164725661278
Trim28,0.24256464838981628,0.1992923617362976,0.5463224649429321,0.5851136445999146,0.42183002829551697,0.3909238576889038,0.43774640560150146,0.3501642644405365,0.4241720139980316,0.38582098484039307,0.3166353106498718,0.2669829726219177,0.2395750731229782,0.26231643557548523,0.20693692564964294,0.14924666285514832,0.15925517678260803
Ttf2,0.04300912469625473,0.05875805765390396,0.17396937310695648,0.24266131222248077,0.24787388741970062,0.28886526823043823,0.17103956639766693,0.20536091923713684,0.17229580879211426,0.1490267813205719,0.10885095596313477,0.06311489641666412,0.1035819873213768,0.08085572719573975,0.10401574522256851,0.07159028202295303,0.05945868045091629
Bola1,0.20400437712669373,0.11291569471359253,0.31339144706726074,0.3288527727127075,0.2284497767686844,0.19280768930912018,0.2506878077983856,0.21924304962158203,0.256963849067688,0.22870709002017975,0.22462546825408936,0.13004060089588165,0.17715585231781006,0.15780538320541382,0.14510555565357208,0.1133529394865036,0.10140703618526459
Patz1,0.14846596121788025,0.11177080124616623,0.16750922799110413,0.16393029689788818,0.1046476736664772,0.08567649126052856,0.1241384968161583,0.11901583522558212,0.13159874081611633,0.11796920746564865,0.10350079089403152,0.09186088293790817,0.10021018981933594,0.12324519455432892,0.10008618235588074,0.08958514034748077,0.0822044312953949
Zfp825,0.06837780773639679,0.044418975710868835,0.049523960798978806,0.0768757238984108,0.07957307994365692,0.10553033649921417,0.07175448536872864,0.08667237311601639,0.04433169215917587,0.054056040942668915,0.06895849108695984,0.07316995412111282,0.015974877402186394,0.047809191048145294,0.07782785594463348,0.04836897552013397,0.07120683044195175
Klf10,0.030503740534186363,0.05936138331890106,0.14336369931697845,0.0917038843035698,0.12052813917398453,0.14235514402389526,0.1291406899690628,0.11121946573257446,0.15718834102153778,0.11712554097175598,0.12268995493650436,0.11022453755140305,0.06507221609354019,0.10222852975130081,0.15531711280345917,0.09047477692365646,0.09046027064323425
Rnf2,0.11648362129926682,0.16768959164619446,0.14742638170719147,0.2096800059080124,0.12828390300273895,0.21967443823814392,0.15567772090435028,0.2745300233364105,0.16242578625679016,0.19059891998767853,0.11274092644453049,0.2282170206308365,0.19941115379333496,0.21354418992996216,0.16218164563179016,0.13497227430343628,0.13202114403247833
Zdhhc7,0.08296898752450943,0.04926581680774689,0.14054571092128754,0.15899045765399933,0.14156340062618256,0.14546652138233185,0.16104239225387573,0.13663800060749054,0.12409938871860504,0.10133066028356552,0.17366428673267365,0.16829276084899902,0.1647794246673584,0.1356932818889618,0.12416186928749084,0.09472368657588959,0.08053819090127945
Foxp1,1.4520368576049805,1.3958791494369507,0.36746451258659363,0.3159477412700653,0.5289930701255798,0.4953615367412567,0.4855237603187561,0.5105125904083252,0.36968478560447693,0.46240678429603577,0.4197070896625519,0.4612591862678528,0.7673587203025818,0.6208426356315613,0.5450880527496338,0.8370466232299805,0.84205162525177
Gtf2e2,0.10331550985574722,0.1076921671628952,0.4048212468624115,0.4524896442890167,0.30013710260391235,0.33103495836257935,0.35172009468078613,0.42949968576431274,0.2870756685733795,0.32946473360061646,0.29214999079704285,0.27103838324546814,0.23317976295948029,0.2604830861091614,0.16405707597732544,0.14765618741512299,0.13373473286628723
Taf11,0.2134399712085724,0.185818150639534,0.45952290296554565,0.4040377140045166,0.3844112157821655,0.3693157434463501,0.43021005392074585,0.4312930107116699,0.33769720792770386,0.33265259861946106,0.3681808412075043,0.3061301112174988,0.29690393805503845,0.3149450123310089,0.2641882300376892,0.2383667677640915,0.25174272060394287
Btbd11,0.08860940486192703,0.10339902341365814,0.021473649889230728,0.014591928571462631,0.028125910088419914,0.009121430106461048,0.023496804758906364,0.0039873067289590836,0.022700084373354912,0.015685956925153732,0.02011411264538765,0.0,0.058312978595495224,0.03268282860517502,0.02326967380940914,0.08722846955060959,0.04744714871048927
Ddx5,2.4062061309814453,2.7434768676757812,2.207557201385498,2.215315818786621,2.2255542278289795,2.298706293106079,2.2126314640045166,2.293353796005249,2.028552770614624,2.1153676509857178,2.116678476333618,2.2435760498046875,2.431711196899414,2.3089375495910645,2.180131435394287,2.5551505088806152,2.537036657333374
