ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,1.0000,0.8176,0.6469,0.0512,0.0000,0.4103,0.1848,0.0878,0.0123,0.1020,0.5062,0.4141,0.0982,0.1407,0.2687,0.0138,0.1546,0.6587,0.6531,0.6767,0.6750,0.6445,0.6767,0.6567,0.6738,0.5309,0.5797,0.5633,0.6942,0.6456,0.6474,0.6602,0.6214,0.0565,0.2444,0.2186,0.0264,0.5642,0.6699,0.6865,0.6120,0.6232,0.6293,0.3103,0.1401,0.1067,0.6872,0.6821,0.3906,0.0169,0.4670,0.0184,0.0938,0.4044,0.0199,0.4109,0.4622,0.4084,0.0359,0.6198,0.3305,0.2344,0.0783,0.2165,0.0168,0.0227,0.0076,0.2610,0.0031,0.6576,0.6501,0.6922,0.2122,0.6518,0.2843,0.2013,0.1207,0.1786,0.6544,0.1847,0.1529,0.1020
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.8176,1.0000,0.5908,0.0531,0.0000,0.4014,0.1984,0.0962,0.0136,0.0985,0.4896,0.4017,0.0960,0.1320,0.2546,0.0153,0.1504,0.5969,0.5912,0.6236,0.6250,0.5955,0.6168,0.6056,0.6212,0.5225,0.5724,0.5550,0.6374,0.5993,0.5850,0.6085,0.5818,0.0526,0.2306,0.2114,0.0176,0.5599,0.6162,0.6294,0.5871,0.5757,0.5825,0.3019,0.1271,0.0959,0.6473,0.6383,0.3926,0.0170,0.4406,0.0204,0.1051,0.3851,0.0169,0.3938,0.4428,0.4019,0.0380,0.5689,0.3102,0.2363,0.0865,0.2138,0.0204,0.0234,0.0085,0.2530,0.0034,0.5954,0.5902,0.6411,0.1867,0.5887,0.2712,0.2026,0.1240,0.1763,0.5908,0.1916,0.1576,0.1037
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.6469,0.5908,1.0000,0.0612,0.0044,0.4279,0.1580,0.1345,0.0111,0.1231,0.5808,0.4325,0.1178,0.1701,0.3432,0.0111,0.1723,0.9128,0.9235,0.8624,0.8642,0.9114,0.8676,0.8981,0.8749,0.4563,0.5949,0.5498,0.8840,0.7712,0.8794,0.8028,0.7368,0.1320,0.3423,0.3226,0.0518,0.4936,0.8407,0.8342,0.6051,0.9239,0.9206,0.3906,0.2125,0.1746,0.8070,0.8156,0.3859,0.0122,0.5200,0.0166,0.1098,0.3969,0.0177,0.4679,0.5553,0.4703,0.0442,0.8777,0.4244,0.3056,0.0802,0.2661,0.0155,0.0288,0.0100,0.3287,0.0022,0.9073,0.8365,0.7140,0.2868,0.8719,0.2829,0.2420,0.1339,0.2050,0.8704,0.2316,0.1459,0.0819
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0512,0.0531,0.0612,1.0000,0.0139,0.0571,0.0758,0.2866,0.0395,0.1264,0.0748,0.0667,0.1310,0.1611,0.1305,0.0533,0.1706,0.0578,0.0571,0.0676,0.0605,0.0585,0.0592,0.0577,0.0677,0.0453,0.0562,0.0519,0.0529,0.0754,0.0681,0.0753,0.0817,0.0856,0.0947,0.1022,0.0348,0.0543,0.0717,0.0670,0.0637,0.0643,0.0592,0.1135,0.0947,0.1121,0.0702,0.0650,0.0793,0.0260,0.1146,0.0641,0.1656,0.0958,0.0241,0.1160,0.0990,0.1290,0.2500,0.0679,0.1451,0.1484,0.0882,0.1500,0.0123,0.1325,0.0548,0.1547,0.0145,0.0551,0.0724,0.0654,0.0751,0.0649,0.0737,0.1324,0.1786,0.2603,0.0677,0.2024,0.1160,0.1008
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0000,0.0000,0.0044,0.0139,1.0000,0.0025,0.0000,0.0137,0.0000,0.0000,0.0018,0.0024,0.0000,0.0055,0.0054,0.0000,0.0055,0.0043,0.0043,0.0022,0.0033,0.0033,0.0022,0.0033,0.0022,0.0000,0.0000,0.0018,0.0034,0.0036,0.0030,0.0022,0.0037,0.0145,0.0057,0.0060,0.0000,0.0000,0.0022,0.0023,0.0016,0.0034,0.0058,0.0025,0.0135,0.0165,0.0025,0.0012,0.0056,0.0000,0.0020,0.0000,0.0089,0.0026,0.0000,0.0000,0.0017,0.0022,0.0000,0.0053,0.0066,0.0031,0.0000,0.0036,0.0000,0.0000,0.0000,0.0057,0.0000,0.0043,0.0043,0.0013,0.0098,0.0041,0.0000,0.0077,0.0150,0.0047,0.0041,0.0042,0.0000,0.0000
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.4103,0.4014,0.4279,0.0571,0.0025,1.0000,0.3400,0.1255,0.0201,0.1345,0.4207,0.4593,0.1239,0.1770,0.2667,0.0201,0.1526,0.4116,0.4117,0.4134,0.4234,0.4220,0.4142,0.4290,0.4133,0.2961,0.3369,0.3357,0.4401,0.3932,0.3940,0.4002,0.3981,0.0973,0.2301,0.2181,0.0396,0.3885,0.4146,0.4281,0.4095,0.4252,0.4317,0.2876,0.1514,0.1275,0.4272,0.4329,0.4132,0.0227,0.4416,0.0224,0.1128,0.3633,0.0173,0.2977,0.3164,0.3502,0.0380,0.4131,0.2752,0.2593,0.0820,0.2218,0.0225,0.0293,0.0125,0.2437,0.0051,0.4104,0.3983,0.4191,0.1908,0.3966,0.2058,0.1985,0.1290,0.1824,0.4002,0.1776,0.1756,0.1087
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1848,0.1984,0.1580,0.0758,0.0000,0.3400,1.0000,0.0951,0.0400,0.0833,0.1876,0.2109,0.0723,0.1142,0.1184,0.0130,0.1134,0.1507,0.1519,0.1528,0.1580,0.1557,0.1533,0.1566,0.1518,0.1343,0.1476,0.1445,0.1590,0.1537,0.1451,0.1553,0.1583,0.0646,0.1179,0.1174,0.0370,0.1786,0.1542,0.1599,0.1669,0.1574,0.1601,0.1279,0.0702,0.0833,0.1693,0.1667,0.2200,0.0263,0.2306,0.0390,0.0952,0.2335,0.0253,0.1380,0.1331,0.1712,0.0447,0.1520,0.1220,0.1208,0.0870,0.1047,0.0258,0.0427,0.0132,0.1276,0.0068,0.1513,0.1495,0.1656,0.0978,0.1477,0.1016,0.1044,0.0742,0.0997,0.1490,0.0920,0.1772,0.1347
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.0878,0.0962,0.1345,0.2866,0.0137,0.1255,0.0951,1.0000,0.0336,0.2546,0.1422,0.1467,0.2441,0.2955,0.2764,0.0199,0.2529,0.1294,0.1257,0.1370,0.1293,0.1312,0.1266,0.1294,0.1398,0.0919,0.1308,0.1053,0.1221,0.1527,0.1431,0.1570,0.1644,0.1730,0.1889,0.2000,0.0374,0.0943,0.1507,0.1430,0.1276,0.1424,0.1356,0.2436,0.1780,0.1875,0.1319,0.1375,0.1399,0.0199,0.2086,0.0327,0.2613,0.1451,0.0323,0.2387,0.2187,0.2270,0.1783,0.1426,0.2654,0.2941,0.0773,0.3043,0.0129,0.1267,0.0411,0.3397,0.0069,0.1250,0.1498,0.1297,0.1732,0.1410,0.0933,0.3514,0.2133,0.3448,0.1411,0.3404,0.1215,0.0905
2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.0123,0.0136,0.0111,0.0395,0.0000,0.0201,0.0400,0.0336,1.0000,0.0373,0.0123,0.0120,0.0231,0.0503,0.0190,0.0476,0.0270,0.0106,0.0096,0.0099,0.0089,0.0099,0.0087,0.0099,0.0097,0.0021,0.0081,0.0088,0.0092,0.0108,0.0110,0.0124,0.0124,0.0210,0.0141,0.0179,0.0164,0.0100,0.0090,0.0081,0.0080,0.0112,0.0104,0.0202,0.0087,0.0106,0.0087,0.0087,0.0196,0.4667,0.0197,0.4444,0.0625,0.0210,0.0000,0.0204,0.0170,0.0152,0.0392,0.0117,0.0175,0.0154,0.0111,0.0249,0.0000,0.1212,0.1765,0.0256,0.1818,0.0097,0.0106,0.0118,0.0032,0.0102,0.0183,0.0229,0.0292,0.0330,0.0113,0.0293,0.0432,0.0241
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.1020,0.0985,0.1231,0.1264,0.0000,0.1345,0.0833,0.2546,0.0373,1.0000,0.1789,0.2245,0.8382,0.5174,0.3288,0.0296,0.2792,0.1243,0.1265,0.1269,0.1340,0.1296,0.1348,0.1328,0.1310,0.1067,0.1218,0.1097,0.1254,0.1363,0.1259,0.1350,0.1404,0.1239,0.1470,0.1504,0.0529,0.1125,0.1365,0.1336,0.1339,0.1271,0.1237,0.1922,0.1222,0.1365,0.1261,0.1359,0.1341,0.0296,0.1569,0.0362,0.2292,0.1371,0.0432,0.2000,0.1818,0.1538,0.0897,0.1279,0.2155,0.2451,0.1005,0.2617,0.0000,0.0769,0.0379,0.2513,0.0078,0.1246,0.1351,0.1321,0.1368,0.1303,0.0942,0.2460,0.1570,0.2263,0.1269,0.2604,0.1342,0.1038
