ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,1.0000,0.8743,0.7089,0.0711,0.0039,0.4303,0.1611,0.1294,0.0121,0.1389,0.5735,0.4632,0.1336,0.1788,0.3403,0.0181,0.2401,0.7287,0.7239,0.7658,0.7492,0.7250,0.7606,0.7353,0.7647,0.5782,0.6489,0.5964,0.7488,0.7176,0.7143,0.7376,0.7080,0.0766,0.2983,0.2778,0.0444,0.6498,0.7539,0.7629,0.7065,0.7145,0.7112,0.4396,0.1776,0.1405,0.7423,0.7485,0.4670,0.0125,0.5469,0.0207,0.1586,0.4719,0.0163,0.4369,0.5083,0.5277,0.0613,0.6349,0.4188,0.2977,0.0608,0.2468,0.0185,0.0350,0.0121,0.3252,0.0057,0.7327,0.7134,0.7051,0.1946,0.7345,0.2751,0.2363,0.2453,0.2621,0.7083,0.3245,0.2765,0.1792
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.8743,1.0000,0.6702,0.0696,0.0038,0.4314,0.1665,0.1294,0.0128,0.1397,0.5577,0.4552,0.1342,0.1804,0.3380,0.0181,0.2398,0.6886,0.6838,0.7303,0.7147,0.6869,0.7202,0.6982,0.7271,0.5715,0.6407,0.5915,0.7134,0.6881,0.6759,0.7099,0.6846,0.0749,0.2890,0.2682,0.0424,0.6449,0.7174,0.7262,0.6951,0.6764,0.6739,0.4382,0.1704,0.1355,0.7195,0.7158,0.4719,0.0128,0.5420,0.0219,0.1579,0.4750,0.0162,0.4292,0.4940,0.5213,0.0649,0.5998,0.4117,0.2942,0.0628,0.2455,0.0188,0.0371,0.0128,0.3272,0.0057,0.6924,0.6826,0.6895,0.1865,0.6948,0.2773,0.2363,0.2502,0.2624,0.6680,0.3303,0.2788,0.1817
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.7089,0.6702,1.0000,0.0649,0.0052,0.4278,0.1480,0.1241,0.0121,0.1279,0.5912,0.4480,0.1250,0.1708,0.3451,0.0165,0.2298,0.9060,0.9152,0.8387,0.8509,0.8812,0.8470,0.8736,0.8341,0.5074,0.6055,0.5511,0.8459,0.8188,0.8824,0.8186,0.7871,0.1471,0.3988,0.3814,0.0850,0.6045,0.8428,0.8271,0.6846,0.8895,0.8950,0.4633,0.2641,0.2159,0.7525,0.7968,0.4599,0.0113,0.5356,0.0171,0.1429,0.4533,0.0160,0.4303,0.5318,0.5065,0.0532,0.8268,0.4478,0.2969,0.0508,0.2447,0.0160,0.0327,0.0110,0.3336,0.0047,0.8947,0.8269,0.6725,0.2894,0.8610,0.2563,0.2341,0.2165,0.2406,0.8706,0.3021,0.2449,0.1578
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0711,0.0696,0.0649,1.0000,0.0000,0.0745,0.0602,0.3043,0.0104,0.1646,0.0769,0.0852,0.1624,0.1506,0.1257,0.0265,0.1396,0.0634,0.0633,0.0680,0.0656,0.0642,0.0659,0.0653,0.0682,0.0663,0.0710,0.0742,0.0637,0.0683,0.0636,0.0708,0.0726,0.0658,0.0858,0.0837,0.0607,0.0720,0.0672,0.0679,0.0728,0.0662,0.0671,0.1102,0.0873,0.0784,0.0691,0.0715,0.0994,0.0177,0.1064,0.0690,0.1627,0.0995,0.0198,0.1230,0.1022,0.1143,0.2451,0.0604,0.1199,0.1380,0.0492,0.1431,0.0298,0.0783,0.0325,0.1463,0.0077,0.0606,0.0667,0.0701,0.0665,0.0628,0.0739,0.1562,0.1722,0.2094,0.0629,0.1544,0.1029,0.1282
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0039,0.0038,0.0052,0.0000,1.0000,0.0055,0.0052,0.0080,0.0135,0.0097,0.0043,0.0052,0.0080,0.0087,0.0086,0.0220,0.0044,0.0041,0.0044,0.0035,0.0038,0.0032,0.0040,0.0032,0.0039,0.0040,0.0038,0.0037,0.0037,0.0032,0.0039,0.0035,0.0037,0.0139,0.0079,0.0088,0.0056,0.0038,0.0036,0.0037,0.0044,0.0047,0.0048,0.0028,0.0118,0.0132,0.0038,0.0036,0.0056,0.0000,0.0034,0.0000,0.0071,0.0045,0.0000,0.0053,0.0065,0.0041,0.0090,0.0073,0.0061,0.0058,0.0000,0.0061,0.0000,0.0131,0.0147,0.0089,0.0000,0.0045,0.0036,0.0041,0.0087,0.0040,0.0020,0.0096,0.0084,0.0064,0.0039,0.0060,0.0053,0.0049
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.4303,0.4314,0.4278,0.0745,0.0055,1.0000,0.3153,0.1280,0.0122,0.1397,0.4863,0.4933,0.1326,0.1748,0.2871,0.0188,0.2323,0.4345,0.4335,0.4437,0.4483,0.4444,0.4430,0.4483,0.4477,0.3536,0.3940,0.3687,0.4645,0.4189,0.4119,0.4273,0.4154,0.1011,0.2835,0.2599,0.0570,0.4550,0.4414,0.4548,0.4596,0.4433,0.4459,0.3307,0.2025,0.1647,0.4556,0.4503,0.4493,0.0098,0.4662,0.0200,0.1536,0.3897,0.0213,0.3246,0.3543,0.4135,0.0647,0.3975,0.3153,0.2572,0.0651,0.2186,0.0200,0.0406,0.0147,0.2850,0.0043,0.4414,0.4184,0.4248,0.1842,0.4213,0.2297,0.2209,0.2041,0.2300,0.4092,0.2543,0.2578,0.1990
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1611,0.1665,0.1480,0.0602,0.0052,0.3153,1.0000,0.1003,0.0242,0.1092,0.1998,0.2268,0.1036,0.1310,0.1447,0.0133,0.1425,0.1480,0.1491,0.1566,0.1561,0.1528,0.1555,0.1536,0.1581,0.1466,0.1609,0.1581,0.1601,0.1519,0.1410,0.1525,0.1522,0.0491,0.1170,0.1119,0.0257,0.1779,0.1573,0.1618,0.1730,0.1531,0.1542,0.1452,0.0887,0.0738,0.1697,0.1657,0.2258,0.0226,0.2129,0.0304,0.0981,0.1997,0.0201,0.1628,0.1607,0.1995,0.0738,0.1356,0.1503,0.1392,0.1016,0.1357,0.0338,0.0500,0.0174,0.1531,0.0072,0.1501,0.1475,0.1565,0.0776,0.1459,0.1315,0.1307,0.1256,0.1376,0.1409,0.1373,0.1782,0.1858
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.1294,0.1294,0.1241,0.3043,0.0080,0.1280,0.1003,1.0000,0.0156,0.2618,0.1413,0.1467,0.2497,0.2704,0.2503,0.0346,0.2368,0.1232,0.1236,0.1265,0.1232,0.1224,0.1239,0.1221,0.1274,0.1303,0.1299,0.1310,0.1241,0.1312,0.1219,0.1348,0.1373,0.0921,0.1520,0.1533,0.0719,0.1336,0.1295,0.1312,0.1364,0.1265,0.1286,0.1948,0.1529,0.1352,0.1295,0.1329,0.1694,0.0198,0.1787,0.0591,0.2488,0.1713,0.0447,0.2330,0.2047,0.1930,0.1858,0.1161,0.2329,0.2614,0.0679,0.2668,0.0286,0.1236,0.0321,0.3027,0.0041,0.1221,0.1310,0.1298,0.1271,0.1249,0.1022,0.3521,0.2561,0.3197,0.1216,0.2733,0.1682,0.1603
2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.0121,0.0128,0.0121,0.0104,0.0135,0.0122,0.0242,0.0156,1.0000,0.0152,0.0100,0.0092,0.0116,0.0646,0.0135,0.1111,0.0108,0.0088,0.0091,0.0070,0.0073,0.0083,0.0075,0.0078,0.0083,0.0050,0.0054,0.0069,0.0076,0.0088,0.0088,0.0088,0.0092,0.0227,0.0144,0.0163,0.0134,0.0067,0.0083,0.0079,0.0084,0.0098,0.0099,0.0088,0.0143,0.0140,0.0072,0.0082,0.0192,0.5172,0.0194,0.3095,0.0446,0.0101,0.0000,0.0230,0.0183,0.0117,0.0298,0.0110,0.0111,0.0107,0.0040,0.0111,0.0000,0.0955,0.1316,0.0155,0.2857,0.0096,0.0097,0.0085,0.0165,0.0081,0.0131,0.0158,0.0129,0.0106,0.0091,0.0093,0.0179,0.0176
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.1389,0.1397,0.1279,0.1646,0.0097,0.1397,0.1092,0.2618,0.0152,1.0000,0.1857,0.2318,0.7974,0.5353,0.3501,0.0375,0.3184,0.1288,0.1286,0.1351,0.1341,0.1328,0.1360,0.1319,0.1364,0.1372,0.1363,0.1238,0.1285,0.1385,0.1258,0.1368,0.1432,0.0780,0.1288,0.1311,0.0580,0.1427,0.1333,0.1353,0.1429,0.1309,0.1317,0.1882,0.1161,0.1010,0.1402,0.1422,0.1613,0.0153,0.1602,0.0473,0.1977,0.1772,0.0298,0.2227,0.1977,0.1747,0.1118,0.1187,0.2118,0.2498,0.0663,0.2565,0.0278,0.0883,0.0153,0.2324,0.0040,0.1250,0.1342,0.1358,0.1050,0.1317,0.0952,0.2476,0.2194,0.2513,0.1249,0.2563,0.1876,0.1726
