,ChIP
0,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
1,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4
2,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
3,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
4,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
5,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
6,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO
7,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
8,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
9,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
10,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
11,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
12,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
13,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
14,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
15,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
16,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
17,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
18,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
19,2017_PNAS_Li___H3K4me3-noIL2-CD4
20,2017_PNAS_Li___H3K4me3_IL2-CD4
21,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
22,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
23,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
24,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
25,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
26,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
27,2017_PNAS_Li___H3K27Ac-noIL2-CD4
28,2017_PNAS_Li___H3K27Ac_IL2-CD4
29,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
30,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
31,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
32,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
33,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
34,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
35,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
36,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN
37,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
38,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
39,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8
40,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
41,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
42,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
43,2021_GoldrathLab_Brd4___BRD4_NAV-CD8
44,2021_GoldrathLab_Brd4___BRD4_MP-CD8
45,2021_GoldrathLab_Brd4___BRD4_TE-CD8
46,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory
47,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN
48,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
49,2017_PNAS_Li___STAT3_noIL21-CD4
50,2016_SCIENCE_Mackay___Hobit_invitro-CD8
51,2017_PNAS_Li___STAT5B_noIL2-CD8
52,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO
53,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
54,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
55,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8
56,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
57,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
58,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
59,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
60,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO
61,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO
62,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE
63,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP
64,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8
65,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT
66,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO
67,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8
68,2017_PNAS_Li___STAT3_IL21-CD4
69,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8
70,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8
71,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8
72,2017_PNAS_Li___STAT5B_IL2-CD4
73,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
74,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV
75,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
76,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8
77,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO
78,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT
79,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
80,2017_PNAS_Li___STAT5B_IL2-CD8
81,2017_PNAS_Li___STAT5B_IL2-WT-CD4
82,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4
83,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
84,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
