,ChIP
0,2016_SCIENCE_Mackay___Hobit_invitro-CD8
1,2017_PNAS_Li___STAT5B_noIL2-CD8
2,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO
3,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
4,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8
5,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO
6,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO
7,2017_PNAS_Li___STAT3_noIL21-CD4
8,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
9,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
10,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
11,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8
12,2017_PNAS_Li___STAT5B_IL2-CD8
13,2017_PNAS_Li___STAT5B_IL2-WT-CD4
14,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4
15,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
16,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV
17,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
18,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8
19,2017_PNAS_Li___STAT3_IL21-CD4
20,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
21,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8
22,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8
23,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8
24,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN
25,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
26,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
27,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
28,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
29,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO
30,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT
31,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
32,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
33,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
34,2017_PNAS_Li___H3K27Ac-noIL2-CD4
35,2017_PNAS_Li___H3K27Ac_IL2-CD4
36,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
37,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
38,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
39,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
40,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
41,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
42,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
43,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
44,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
45,2017_PNAS_Li___H3K4me3-noIL2-CD4
46,2017_PNAS_Li___H3K4me3_IL2-CD4
47,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
48,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
49,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
50,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
51,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
52,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
53,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
54,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
55,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8
56,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
57,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
58,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE
59,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP
60,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8
61,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT
62,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO
63,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
64,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
65,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN
66,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
67,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
68,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
69,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
70,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory
71,2021_GoldrathLab_Brd4___BRD4_TE-CD8
72,2021_GoldrathLab_Brd4___BRD4_NAV-CD8
73,2021_GoldrathLab_Brd4___BRD4_MP-CD8
74,2017_PNAS_Li___STAT5B_IL2-CD4
75,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO
76,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
77,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
78,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
79,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
80,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4
81,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
82,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
83,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
84,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
