,ChIP
0,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8
1,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
2,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
3,2017_PNAS_Li___H3K27Ac-noIL2-CD4
4,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
5,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
6,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
7,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
8,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
9,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
10,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
11,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
12,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
13,2017_PNAS_Li___H3K27Ac_IL2-CD4
14,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
15,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
16,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
17,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
18,2017_PNAS_Li___H3K4me3-noIL2-CD4
19,2017_PNAS_Li___H3K4me3_IL2-CD4
20,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
21,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
22,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
23,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
24,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
25,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
26,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
27,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN
28,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
29,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
30,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
31,2021_GoldrathLab_Brd4___BRD4_TE-CD8
32,2021_GoldrathLab_Brd4___BRD4_NAV-CD8
33,2021_GoldrathLab_Brd4___BRD4_MP-CD8
34,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory
35,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
36,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
37,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
38,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
39,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
40,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
41,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
42,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4
43,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
44,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
45,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO
46,2017_PNAS_Li___STAT5B_IL2-CD4
47,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
48,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO
49,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO
50,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
51,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
52,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
53,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8
54,2016_SCIENCE_Mackay___Hobit_invitro-CD8
55,2017_PNAS_Li___STAT5B_noIL2-CD8
56,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO
57,2017_PNAS_Li___STAT3_noIL21-CD4
58,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
59,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
60,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
61,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN
62,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
63,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE
64,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP
65,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8
66,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT
67,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO
68,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
69,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV
70,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
71,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8
72,2017_PNAS_Li___STAT5B_IL2-CD8
73,2017_PNAS_Li___STAT5B_IL2-WT-CD4
74,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4
75,2017_PNAS_Li___STAT3_IL21-CD4
76,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8
77,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8
78,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8
79,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8
80,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
81,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
82,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO
83,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT
84,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
