,ChIP
0,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
1,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN
2,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT
3,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO
4,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
5,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
6,2016_SCIENCE_Mackay___Hobit_invitro-CD8
7,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO
8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8
9,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO
10,2017_PNAS_Li___STAT3_noIL21-CD4
11,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
12,2017_PNAS_Li___STAT5B_noIL2-CD8
13,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
14,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
15,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
16,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
17,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
18,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8
19,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8
20,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT
21,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO
22,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO
23,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
24,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
25,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
26,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
27,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
28,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
29,2017_PNAS_Li___H3K4me3_IL2-CD4
30,2017_PNAS_Li___H3K4me3-noIL2-CD4
31,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
32,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
33,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
34,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
35,2017_PNAS_Li___H3K27Ac-noIL2-CD4
36,2017_PNAS_Li___H3K27Ac_IL2-CD4
37,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
38,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
39,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
40,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
41,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
42,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
