,ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
0,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,1.0000,0.8825,0.7249,0.1049,0.0023,0.4259,0.1759,0.1306,0.0092,0.1503,0.5920,0.4658,0.1475,0.1738,0.3394,0.0160,0.2122,0.7404,0.7422,0.7589,0.7522,0.7260,0.7513,0.7332,0.7643,0.6491,0.7112,0.6565,0.7622,0.7295,0.7311,0.7368,0.6826,0.0626,0.3039,0.2731,0.0266,0.6021,0.7404,0.7532,0.6839,0.7202,0.7193,0.4883,0.1774,0.1350,0.7538,0.7505,0.4935,0.0046,0.5403,0.0206,0.1375,0.5127,0.0183,0.4711,0.5309,0.5226,0.0935,0.7048,0.3745,0.2664,0.1320,0.2674,0.0520,0.0316,0.0068,0.3354,0.0023,0.7461,0.7224,0.7780,0.1884,0.7394,0.3039,0.2474,0.2472,0.2860,0.7327,0.3520,0.2106,0.1471
1,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.8825,1.0000,0.6910,0.1028,0.0024,0.4409,0.1827,0.1477,0.0097,0.1583,0.5711,0.4731,0.1579,0.1882,0.3389,0.0193,0.2257,0.7033,0.7051,0.7273,0.7171,0.6947,0.7194,0.7077,0.7263,0.6236,0.6892,0.6263,0.7301,0.6977,0.6953,0.7115,0.6715,0.0611,0.3049,0.2677,0.0185,0.6044,0.7150,0.7367,0.6851,0.6892,0.6878,0.4960,0.1811,0.1319,0.7268,0.7336,0.5022,0.0048,0.5499,0.0193,0.1369,0.5054,0.0144,0.4722,0.5278,0.5192,0.0986,0.6770,0.3837,0.2796,0.1259,0.2642,0.0499,0.0333,0.0072,0.3517,0.0024,0.6998,0.6974,0.7390,0.1801,0.7031,0.2991,0.2572,0.2605,0.3124,0.6937,0.3755,0.2135,0.1469
2,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.7249,0.6910,1.0000,0.0993,0.0018,0.4452,0.1558,0.1416,0.0071,0.1558,0.6073,0.4614,0.1596,0.1873,0.3730,0.0160,0.2381,0.9346,0.9430,0.8997,0.8950,0.9307,0.8969,0.9168,0.8993,0.5252,0.7113,0.6376,0.9083,0.8530,0.9218,0.8645,0.8111,0.1142,0.3884,0.3490,0.0444,0.5270,0.8868,0.8737,0.6615,0.9294,0.9284,0.5266,0.2439,0.1993,0.8241,0.8611,0.4478,0.0036,0.5781,0.0178,0.1312,0.4668,0.0160,0.4811,0.5746,0.5571,0.0922,0.9116,0.4340,0.2899,0.1188,0.2799,0.0480,0.0356,0.0071,0.3646,0.0018,0.9312,0.8733,0.7274,0.2619,0.9164,0.2943,0.2500,0.2191,0.2842,0.9182,0.3625,0.1918,0.1266
3,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.1049,0.1028,0.0993,1.0000,0.0000,0.0859,0.0786,0.3853,0.0161,0.1890,0.1263,0.1145,0.2160,0.2143,0.1949,0.0462,0.1976,0.0970,0.0988,0.1002,0.0991,0.0987,0.0965,0.0982,0.1009,0.1029,0.1101,0.1033,0.1007,0.1039,0.0993,0.1065,0.1150,0.1379,0.1383,0.1292,0.0750,0.0867,0.1061,0.1037,0.1111,0.1014,0.1004,0.1548,0.1189,0.1338,0.1054,0.0983,0.1533,0.0167,0.1629,0.0781,0.2035,0.1385,0.0462,0.1576,0.1460,0.1706,0.4074,0.1028,0.1868,0.2050,0.0932,0.1780,0.0353,0.1594,0.0159,0.2034,0.0169,0.0915,0.1048,0.1058,0.1368,0.0971,0.1122,0.1899,0.2288,0.2921,0.0966,0.2377,0.1575,0.1712
4,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0023,0.0024,0.0018,0.0000,1.0000,0.0039,0.0000,0.0108,0.0000,0.0000,0.0028,0.0037,0.0000,0.0180,0.0090,0.1000,0.0070,0.0018,0.0018,0.0036,0.0018,0.0036,0.0018,0.0018,0.0036,0.0032,0.0023,0.0000,0.0018,0.0037,0.0034,0.0036,0.0039,0.0000,0.0043,0.0047,0.0000,0.0031,0.0036,0.0037,0.0049,0.0018,0.0018,0.0030,0.0000,0.0000,0.0020,0.0020,0.0039,0.0000,0.0029,0.0000,0.0260,0.0036,0.0000,0.0066,0.0056,0.0059,0.0000,0.0036,0.0075,0.0110,0.0000,0.0120,0.0000,0.0000,0.0000,0.0089,0.0000,0.0018,0.0036,0.0022,0.0000,0.0034,0.0000,0.0130,0.0077,0.0058,0.0034,0.0092,0.0090,0.0139
5,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.4259,0.4409,0.4452,0.0859,0.0039,1.0000,0.2974,0.1331,0.0038,0.1595,0.4656,0.4901,0.1628,0.1909,0.2938,0.0270,0.2322,0.4488,0.4505,0.4440,0.4624,0.4542,0.4572,0.4608,0.4472,0.3419,0.3868,0.4009,0.4607,0.4497,0.4255,0.4329,0.4393,0.0963,0.3171,0.2849,0.0480,0.4422,0.4466,0.4542,0.4522,0.4409,0.4537,0.3565,0.2273,0.1750,0.4528,0.4545,0.4561,0.0000,0.4578,0.0269,0.1597,0.3896,0.0231,0.3577,0.3860,0.3796,0.0833,0.4488,0.2985,0.2436,0.1237,0.2741,0.0672,0.0412,0.0038,0.2922,0.0000,0.4452,0.4336,0.4343,0.2000,0.4295,0.2384,0.2196,0.2100,0.2853,0.4298,0.2986,0.2315,0.1673
6,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1759,0.1827,0.1558,0.0786,0.0000,0.2974,1.0000,0.0952,0.0000,0.1018,0.2021,0.2339,0.1012,0.1278,0.1496,0.0306,0.1592,0.1593,0.1590,0.1634,0.1639,0.1580,0.1630,0.1603,0.1625,0.1429,0.1608,0.1601,0.1612,0.1651,0.1549,0.1598,0.1635,0.0855,0.1423,0.1472,0.0439,0.1890,0.1592,0.1691,0.1808,0.1519,0.1564,0.1317,0.1163,0.1223,0.1640,0.1641,0.2246,0.0000,0.2022,0.0200,0.1118,0.1974,0.0306,0.1837,0.1572,0.1776,0.1221,0.1593,0.1406,0.1230,0.1250,0.1416,0.0901,0.0762,0.0104,0.1321,0.0000,0.1599,0.1552,0.1720,0.1267,0.1573,0.1498,0.1182,0.1276,0.1586,0.1565,0.1487,0.1744,0.1479
7,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.1306,0.1477,0.1416,0.3853,0.0108,0.1331,0.0952,1.0000,0.0105,0.2603,0.1710,0.1742,0.3028,0.3444,0.2910,0.0521,0.2595,0.1411,0.1409,0.1510,0.1449,0.1416,0.1400,0.1457,0.1521,0.1240,0.1659,0.1460,0.1486,0.1630,0.1549,0.1661,0.1793,0.1702,0.2346,0.2308,0.1019,0.1361,0.1634,0.1605,0.1752,0.1540,0.1501,0.2168,0.2000,0.1854,0.1504,0.1486,0.1871,0.0108,0.2291,0.0625,0.3203,0.1783,0.0202,0.2476,0.2268,0.2350,0.2895,0.1552,0.2842,0.3237,0.1096,0.2965,0.0431,0.1771,0.0430,0.3432,0.0109,0.1376,0.1613,0.1645,0.2087,0.1533,0.0966,0.3898,0.3000,0.3557,0.1525,0.3205,0.1813,0.1319
8,2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.0092,0.0097,0.0071,0.0161,0.0000,0.0038,0.0000,0.0105,1.0000,0.0105,0.0083,0.0036,0.0104,0.0177,0.0089,0.0833,0.0000,0.0071,0.0071,0.0036,0.0055,0.0072,0.0055,0.0073,0.0054,0.0063,0.0069,0.0079,0.0074,0.0075,0.0067,0.0072,0.0078,0.0132,0.0130,0.0000,0.0000,0.0063,0.0072,0.0074,0.0048,0.0071,0.0074,0.0030,0.0066,0.0000,0.0040,0.0039,0.0077,0.5000,0.0086,0.0769,0.0385,0.0036,0.0000,0.0099,0.0056,0.0029,0.0000,0.0071,0.0075,0.0054,0.0000,0.0119,0.0000,0.0417,0.0000,0.0178,0.2500,0.0071,0.0071,0.0044,0.0126,0.0068,0.0000,0.0128,0.0076,0.0057,0.0068,0.0045,0.0088,0.0135
9,2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.1503,0.1583,0.1558,0.1890,0.0000,0.1595,0.1018,0.2603,0.0105,1.0000,0.2249,0.2817,0.8317,0.5736,0.3938,0.0521,0.3626,0.1552,0.1549,0.1613,0.1639,0.1601,0.1673,0.1624,0.1646,0.1461,0.1711,0.1432,0.1569,0.1608,0.1549,0.1619,0.1657,0.1074,0.2113,0.2209,0.0531,0.1393,0.1634,0.1627,0.1671,0.1622,0.1585,0.2063,0.2060,0.1921,0.1572,0.1641,0.1672,0.0108,0.1860,0.0515,0.2336,0.2052,0.0306,0.2320,0.2201,0.1808,0.1484,0.1593,0.2439,0.2511,0.0946,0.2524,0.0254,0.1300,0.0104,0.2335,0.0109,0.1537,0.1613,0.1571,0.1636,0.1573,0.1250,0.2424,0.2701,0.2956,0.1545,0.2875,0.1882,0.1812
