ChIP,ChIP gene #,2021_GoldrathLab_Brd4___BRD4_TE-CD8,2021_GoldrathLab_Brd4___BRD4_NAV-CD8,2021_GoldrathLab_Brd4___BRD4_MP-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2021_GoldrathLab_Brd4___BRD4_TE-CD8,8410,1.0000,0.6964,0.7244,0.6254,0.6013,0.7125,0.0948,0.0008,0.3268,0.1145,0.1378,0.0084,0.1433,0.5427,0.3943,0.1404,0.1754,0.3381,0.0085,0.2498,0.7017,0.7024,0.7102,0.6953,0.6953,0.7049,0.6934,0.7143,0.5234,0.6119,0.5561,0.7148,0.6792,0.6909,0.7014,0.6691,0.0917,0.2893,0.2816,0.0459,0.5557,0.7395,0.7421,0.6584,0.7081,0.7096,0.4751,0.1794,0.1423,0.7248,0.7437,0.4436,0.0101,0.5829,0.0236,0.1526,0.4615,0.0169,0.4618,0.5197,0.5666,0.0778,0.6842,0.4351,0.3152,0.0655,0.2721,0.0144,0.0371,0.0093,0.3404,0.0042,0.6917,0.6875,0.6207,0.2039,0.6941,0.2810,0.2231,0.2386,0.2691,0.6911,0.3164,0.2203,0.1425
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,7333,0.6964,1.0000,0.6909,0.5688,0.5480,0.5844,0.0948,0.0000,0.3243,0.1232,0.1367,0.0094,0.1548,0.5123,0.4071,0.1477,0.1852,0.3434,0.0116,0.2548,0.5812,0.5805,0.5911,0.5791,0.5781,0.5843,0.5712,0.5981,0.4963,0.5353,0.5138,0.5889,0.5625,0.5546,0.5664,0.5486,0.0787,0.2696,0.2606,0.0482,0.5671,0.5845,0.6028,0.5997,0.5769,0.5748,0.4092,0.1689,0.1442,0.5987,0.6082,0.4396,0.0115,0.5098,0.0282,0.1658,0.4926,0.0157,0.4476,0.4910,0.5065,0.0820,0.5585,0.4050,0.3084,0.0712,0.2738,0.0157,0.0363,0.0094,0.3279,0.0032,0.5736,0.5553,0.5434,0.1956,0.5636,0.2619,0.2351,0.2641,0.2728,0.5601,0.3035,0.2468,0.1696
2021_GoldrathLab_Brd4___BRD4_MP-CD8,7086,0.7244,0.6909,1.0000,0.5427,0.5390,0.5754,0.1085,0.0021,0.3306,0.1332,0.1535,0.0114,0.1565,0.5031,0.4019,0.1530,0.1925,0.3497,0.0083,0.2690,0.5724,0.5727,0.5879,0.5702,0.5692,0.5753,0.5654,0.5938,0.4739,0.5343,0.5035,0.5817,0.5695,0.5592,0.5845,0.5643,0.0870,0.2724,0.2700,0.0456,0.5140,0.6028,0.6219,0.6033,0.5780,0.5768,0.4435,0.1694,0.1427,0.6054,0.6169,0.4536,0.0124,0.5648,0.0269,0.1709,0.4835,0.0187,0.4728,0.5087,0.5604,0.0956,0.5567,0.4409,0.3259,0.0704,0.2867,0.0166,0.0434,0.0104,0.3663,0.0042,0.5648,0.5710,0.5424,0.1896,0.5655,0.2559,0.2505,0.2777,0.2963,0.5638,0.3349,0.2319,0.1653
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,0.6254,0.5688,0.5427,1.0000,0.8668,0.6915,0.0699,0.0009,0.3205,0.1106,0.1026,0.0102,0.1264,0.5182,0.3734,0.1198,0.1593,0.2941,0.0077,0.2098,0.7041,0.7027,0.7291,0.7148,0.6935,0.7213,0.6979,0.7334,0.5651,0.6281,0.5824,0.7207,0.6880,0.6901,0.6985,0.6660,0.0725,0.2545,0.2403,0.0368,0.5556,0.7145,0.7121,0.6207,0.6876,0.6836,0.4277,0.1492,0.1148,0.7015,0.7183,0.3786,0.0128,0.4715,0.0238,0.1451,0.4126,0.0162,0.3978,0.4512,0.4607,0.0639,0.6638,0.3702,0.2615,0.0597,0.2307,0.0110,0.0295,0.0077,0.2825,0.0043,0.7132,0.6825,0.6721,0.1818,0.6965,0.2756,0.1878,0.2208,0.2179,0.6974,0.2759,0.2127,0.1329
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.6013,0.5480,0.5390,0.8668,1.0000,0.6549,0.0717,0.0018,0.3123,0.1115,0.1078,0.0117,0.1319,0.4921,0.3691,0.1268,0.1604,0.3007,0.0090,0.2201,0.6667,0.6642,0.6937,0.6765,0.6536,0.6800,0.6600,0.6943,0.5388,0.6019,0.5654,0.6815,0.6611,0.6562,0.6728,0.6578,0.0690,0.2545,0.2417,0.0360,0.5352,0.6758,0.6814,0.6038,0.6540,0.6489,0.4317,0.1526,0.1212,0.6609,0.6685,0.3767,0.0134,0.4537,0.0241,0.1495,0.4062,0.0170,0.4051,0.4580,0.4437,0.0663,0.6266,0.3836,0.2729,0.0628,0.2348,0.0116,0.0329,0.0072,0.2937,0.0045,0.6721,0.6563,0.6491,0.1773,0.6651,0.2680,0.1960,0.2173,0.2165,0.6601,0.2841,0.2151,0.1358
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.7125,0.5844,0.5754,0.6915,0.6549,1.0000,0.0709,0.0013,0.3220,0.0996,0.1111,0.0090,0.1234,0.5803,0.3907,0.1203,0.1559,0.3143,0.0084,0.2213,0.9240,0.9315,0.8665,0.8786,0.9134,0.8863,0.9057,0.8594,0.5106,0.6351,0.5653,0.8811,0.8203,0.9001,0.8330,0.7695,0.1142,0.3321,0.3183,0.0586,0.5144,0.8627,0.8458,0.6307,0.9068,0.9151,0.4792,0.2096,0.1599,0.7724,0.8299,0.3863,0.0116,0.5019,0.0213,0.1395,0.4101,0.0149,0.4127,0.5047,0.4861,0.0580,0.8704,0.4247,0.2784,0.0554,0.2342,0.0116,0.0303,0.0084,0.3128,0.0032,0.9139,0.8387,0.6750,0.2457,0.8914,0.2730,0.2011,0.1949,0.2154,0.8943,0.2741,0.1885,0.1123
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0948,0.0948,0.1085,0.0699,0.0717,0.0709,1.0000,0.0000,0.0646,0.0299,0.3657,0.0079,0.1901,0.0878,0.0953,0.1907,0.1725,0.1504,0.0244,0.1638,0.0670,0.0687,0.0692,0.0669,0.0676,0.0679,0.0670,0.0701,0.0718,0.0804,0.0798,0.0680,0.0715,0.0670,0.0746,0.0797,0.0824,0.0982,0.0915,0.0777,0.0683,0.0709,0.0733,0.0852,0.0701,0.0720,0.1183,0.1144,0.1150,0.0703,0.0750,0.1118,0.0077,0.1274,0.0889,0.1818,0.1133,0.0226,0.1255,0.1136,0.1318,0.3529,0.0713,0.1313,0.1505,0.0632,0.1613,0.0233,0.0946,0.0161,0.1602,0.0085,0.0634,0.0714,0.0760,0.0934,0.0663,0.0705,0.1957,0.1949,0.2561,0.0667,0.1799,0.0957,0.1294
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0008,0.0000,0.0021,0.0009,0.0018,0.0013,0.0000,1.0000,0.0000,0.0000,0.0054,0.0000,0.0000,0.0021,0.0000,0.0000,0.0039,0.0019,0.0000,0.0000,0.0013,0.0013,0.0019,0.0013,0.0019,0.0013,0.0013,0.0020,0.0011,0.0009,0.0010,0.0013,0.0020,0.0018,0.0020,0.0015,0.0000,0.0000,0.0019,0.0000,0.0000,0.0020,0.0020,0.0018,0.0014,0.0014,0.0000,0.0000,0.0000,0.0015,0.0000,0.0016,0.0000,0.0000,0.0000,0.0044,0.0000,0.0000,0.0029,0.0023,0.0025,0.0000,0.0019,0.0028,0.0043,0.0000,0.0051,0.0000,0.0000,0.0000,0.0058,0.0000,0.0013,0.0019,0.0017,0.0024,0.0018,0.0000,0.0090,0.0000,0.0000,0.0018,0.0022,0.0000,0.0000
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.3268,0.3243,0.3306,0.3205,0.3123,0.3220,0.0646,0.0000,1.0000,0.2876,0.0911,0.0135,0.1106,0.3615,0.3853,0.1101,0.1517,0.2366,0.0057,0.1904,0.3181,0.3199,0.3192,0.3224,0.3241,0.3159,0.3239,0.3193,0.2648,0.2821,0.2710,0.3318,0.3109,0.3027,0.3143,0.2963,0.1055,0.2382,0.2429,0.0667,0.3317,0.3188,0.3242,0.3328,0.3253,0.3261,0.2688,0.1851,0.1543,0.3229,0.3242,0.3621,0.0153,0.3384,0.0380,0.1477,0.2994,0.0171,0.2456,0.2466,0.3048,0.0502,0.3220,0.2299,0.2096,0.0599,0.1879,0.0153,0.0427,0.0115,0.2204,0.0039,0.3246,0.3094,0.3238,0.1839,0.3066,0.2018,0.1766,0.1446,0.1730,0.3057,0.2234,0.2012,0.1391
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1145,0.1232,0.1332,0.1106,0.1115,0.0996,0.0299,0.0000,0.2876,1.0000,0.0518,0.0291,0.0645,0.1366,0.1618,0.0691,0.0916,0.0960,0.0057,0.0996,0.1010,0.1009,0.1029,0.1026,0.1019,0.1010,0.1014,0.1043,0.0952,0.0967,0.0990,0.1042,0.1049,0.0967,0.1010,0.0969,0.0634,0.0891,0.0895,0.0403,0.1189,0.1023,0.1058,0.1160,0.1012,0.1010,0.1014,0.0695,0.0754,0.1073,0.1055,0.1714,0.0343,0.1437,0.0535,0.0899,0.1488,0.0164,0.0987,0.1028,0.1189,0.0447,0.1030,0.1020,0.0898,0.0769,0.0949,0.0225,0.0443,0.0115,0.0950,0.0060,0.1021,0.1001,0.1078,0.0725,0.0984,0.0894,0.0759,0.0874,0.0919,0.0975,0.0984,0.1493,0.1575
