,ChIP
0,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
1,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
2,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
3,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
4,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
5,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
6,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
7,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
8,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
9,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
10,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
11,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
12,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
13,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
14,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
15,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
16,2017_PNAS_Li___H3K4me3-noIL2-CD4
17,2017_PNAS_Li___H3K4me3_IL2-CD4
18,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
19,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
20,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
21,2017_PNAS_Li___H3K27Ac-noIL2-CD4
22,2017_PNAS_Li___H3K27Ac_IL2-CD4
23,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
24,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
25,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
26,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
27,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
28,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
29,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
30,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4
31,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO
32,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
33,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
