,ChIP
0,sc_P7_arm_up
1,sc_P7_cl13_up
2,sc_d8_arm_up
3,sc_P3_arm_up
4,d5_KLRG1lo_Runx3_repressed
5,sc_P3_cl13_up
6,sc_P5_cl13_up
7,sc_P6_cl13_up
8,nascent_Il2_repressed
9,ChIP
10,d5_KLRG1lo_all
11,d5_KLRG1hi_all
12,sc_all
13,nascent_all
14,nascent_48h_up
15,sc_P2_cl13_up
16,nascent_Il2_promoted
17,sc_P4_arm_up
18,sc_P9_arm_up
19,sc_d5_arm_up
20,sc_P2_arm_up
21,nascent_48h_dn
22,d5_KLRG1hi_Runx3_repressed
23,d5_KLRG1lo_Runx3_promoted
24,sc_P9_cl13_up
25,sc_d8_cl13_up
26,d5_KLRG1hi_Runx3_promoted
27,sc_P4_cl13_up
28,sc_d5_cl13_up
29,sc_P6_arm_up
30,sc_P5_arm_up
