ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,1,0.8147,0.5049,0.0549,0.0057,0.361,0.1498,0.0992,0.021,0.117,0.4702,0.3831,0.113,0.1574,0.2645,0.0193,0.1867,0.5341,0.5255,0.6113,0.5801,0.542,0.5939,0.5587,0.6075,0.5076,0.5624,0.522,0.5984,0.5251,0.4887,0.5631,0.517,0.0582,0.1912,0.1755,0.0334,0.5405,0.6072,0.6279,0.5911,0.5327,0.5261,0.3123,0.1182,0.095,0.6381,0.632,0.3748,0.0194,0.4417,0.0254,0.1229,0.3815,0.0125,0.3476,0.3896,0.4134,0.0422,0.3729,0.2951,0.22,0.0501,0.1933,0.0163,0.0316,0.0144,0.2446,0.0098,0.5465,0.5081,0.5945,0.1372,0.5354,0.2525,0.1822,0.1682,0.1814,0.4843,0.2254,0.1925,0.1209
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.8147,1,0.4675,0.0552,0.0049,0.3587,0.1554,0.1021,0.0242,0.1195,0.4515,0.3755,0.1152,0.1626,0.2612,0.0197,0.1908,0.4929,0.4845,0.5651,0.537,0.5,0.5464,0.517,0.5611,0.4927,0.5408,0.5055,0.5549,0.4921,0.4489,0.5275,0.4919,0.0548,0.182,0.1677,0.0306,0.5309,0.5631,0.5849,0.5744,0.4953,0.4889,0.3089,0.1113,0.0907,0.6024,0.5901,0.3753,0.0222,0.434,0.0278,0.126,0.377,0.013,0.342,0.3766,0.4058,0.0449,0.344,0.288,0.2188,0.0533,0.1923,0.0172,0.0346,0.0154,0.2455,0.0106,0.5024,0.4722,0.5645,0.1283,0.4911,0.2507,0.1867,0.1689,0.1815,0.4442,0.229,0.1983,0.1247
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.5049,0.4675,1,0.0495,0.0067,0.3354,0.109,0.0957,0.0174,0.1047,0.4858,0.3538,0.1018,0.1473,0.2865,0.0146,0.1706,0.8317,0.8479,0.6997,0.7421,0.8053,0.724,0.7814,0.7057,0.3647,0.4663,0.4192,0.7357,0.6841,0.7773,0.6678,0.6494,0.2282,0.4049,0.3922,0.1429,0.4068,0.6945,0.6736,0.4963,0.8162,0.8266,0.3619,0.3093,0.2681,0.606,0.6407,0.3273,0.0149,0.4005,0.0177,0.1093,0.3251,0.0112,0.3436,0.4338,0.3677,0.0314,0.6492,0.3528,0.2372,0.0419,0.1966,0.0158,0.0266,0.0108,0.266,0.0058,0.8302,0.6898,0.5289,0.3327,0.733,0.2081,0.1842,0.1349,0.1658,0.7605,0.1991,0.1443,0.0855
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0549,0.0552,0.0495,1,0.0088,0.0587,0.0548,0.2815,0.027,0.1455,0.067,0.0731,0.1427,0.1392,0.1018,0.0302,0.1261,0.0482,0.0475,0.0567,0.0535,0.0504,0.0538,0.051,0.0568,0.047,0.0505,0.0516,0.0478,0.0578,0.0502,0.0625,0.064,0.043,0.0579,0.0566,0.0432,0.0549,0.0572,0.0575,0.0627,0.0505,0.05,0.0923,0.0526,0.0488,0.0561,0.0586,0.0836,0.0195,0.1006,0.0613,0.1454,0.0897,0.0224,0.1022,0.0853,0.1151,0.2287,0.0403,0.1009,0.1121,0.0455,0.1169,0.0159,0.0874,0.03,0.1192,0.0134,0.0457,0.0555,0.0544,0.0446,0.0521,0.0647,0.129,0.1507,0.2006,0.0486,0.152,0.0886,0.1034
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0057,0.0049,0.0067,0.0088,1,0.0059,0.0055,0.0098,0.029,0.0077,0.0053,0.0051,0.0068,0.0114,0.0097,0.0157,0.0081,0.0055,0.0054,0.0045,0.0048,0.0044,0.0048,0.0043,0.0047,0.0032,0.0036,0.0036,0.0041,0.004,0.0047,0.0042,0.0045,0.0108,0.0073,0.008,0.0043,0.0037,0.0042,0.0044,0.0044,0.0061,0.0055,0.0025,0.0099,0.0106,0.0039,0.004,0.0099,0.0161,0.0069,0.0211,0.0115,0.005,0.0025,0.0079,0.0081,0.0046,0.0117,0.0107,0.0077,0.0078,0.0033,0.0083,0,0.0172,0.0131,0.0107,0.0136,0.0047,0.0045,0.0032,0.0078,0.0051,0.0052,0.012,0.0091,0.009,0.0052,0.0064,0.0072,0.0075
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.361,0.3587,0.3354,0.0587,0.0059,1,0.2941,0.0964,0.018,0.11,0.4069,0.4133,0.1061,0.1392,0.2171,0.0189,0.17,0.3442,0.3429,0.3676,0.3749,0.3581,0.3606,0.3663,0.3683,0.2878,0.3195,0.3068,0.3979,0.3255,0.3055,0.3398,0.3237,0.1067,0.2033,0.1925,0.0701,0.3716,0.3706,0.3871,0.3949,0.3594,0.3627,0.2593,0.1563,0.1388,0.3851,0.3814,0.3577,0.0158,0.3795,0.0211,0.1194,0.3098,0.0144,0.2479,0.2712,0.3238,0.0415,0.2503,0.2303,0.1928,0.0492,0.1718,0.0198,0.0324,0.0134,0.2113,0.0069,0.3567,0.3139,0.3445,0.1499,0.3257,0.189,0.1712,0.1326,0.1603,0.3015,0.1833,0.1919,0.1311
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1498,0.1554,0.109,0.0548,0.0055,0.2941,1,0.0717,0.0346,0.0793,0.1661,0.1925,0.0756,0.0949,0.1042,0.0216,0.1082,0.1126,0.1116,0.1295,0.125,0.1167,0.1252,0.1202,0.1293,0.1324,0.1405,0.1358,0.1331,0.1138,0.0984,0.12,0.1152,0.0323,0.0708,0.0684,0.0188,0.1697,0.1311,0.139,0.1608,0.1182,0.1188,0.1082,0.0489,0.045,0.1492,0.1432,0.1959,0.0298,0.1915,0.0354,0.0893,0.1779,0.0159,0.123,0.1193,0.1678,0.0563,0.0798,0.1042,0.1002,0.0674,0.0965,0.0275,0.0435,0.0195,0.1101,0.0126,0.1159,0.1074,0.1333,0.0489,0.1104,0.1075,0.0977,0.09,0.1003,0.0981,0.1044,0.1627,0.1427
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.0992,0.1021,0.0957,0.2815,0.0098,0.0964,0.0717,1,0.0229,0.224,0.1174,0.1299,0.2194,0.246,0.2162,0.0245,0.2063,0.0952,0.0941,0.1094,0.1026,0.0983,0.1058,0.0994,0.1105,0.0906,0.0988,0.0967,0.0929,0.1134,0.1009,0.1229,0.1245,0.071,0.1088,0.1081,0.0661,0.0998,0.1136,0.1115,0.1166,0.0987,0.0986,0.1716,0.1035,0.0903,0.1072,0.1141,0.1355,0.0185,0.1676,0.046,0.2053,0.1413,0.034,0.214,0.1848,0.1858,0.1508,0.0774,0.2048,0.2345,0.0523,0.243,0.0176,0.1124,0.0312,0.2665,0.0047,0.0926,0.1146,0.1053,0.0867,0.1084,0.0904,0.3065,0.208,0.2944,0.0976,0.2573,0.1262,0.1084
2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.021,0.0242,0.0174,0.027,0.029,0.018,0.0346,0.0229,1,0.0242,0.0153,0.0143,0.021,0.0964,0.0174,0.1183,0.0244,0.0108,0.0109,0.0095,0.0099,0.0108,0.0102,0.0102,0.0101,0.008,0.0097,0.0096,0.0098,0.0101,0.0101,0.01,0.0106,0.0197,0.0149,0.0181,0.0119,0.0094,0.0101,0.0094,0.0101,0.0126,0.0111,0.0106,0.0147,0.0159,0.0093,0.0107,0.0355,0.4883,0.0366,0.3301,0.0829,0.0165,0.0108,0.0365,0.0282,0.0154,0.0439,0.0137,0.0146,0.0165,0.0062,0.0222,0.0037,0.1451,0.1937,0.0234,0.2797,0.0122,0.0112,0.0113,0.0177,0.0107,0.0277,0.0283,0.0145,0.016,0.0108,0.0129,0.0323,0.0231
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.117,0.1195,0.1047,0.1455,0.0077,0.11,0.0793,0.224,0.0242,1,0.1763,0.233,0.8028,0.465,0.3156,0.0274,0.2739,0.1065,0.106,0.1226,0.1253,0.1148,0.1281,0.1172,0.1273,0.1064,0.113,0.1046,0.1062,0.1209,0.1041,0.1228,0.1267,0.0597,0.0935,0.0935,0.0476,0.1209,0.1201,0.1202,0.1314,0.1088,0.1083,0.1611,0.0814,0.072,0.1218,0.1273,0.1365,0.0202,0.1469,0.0413,0.1688,0.1493,0.0244,0.2019,0.1799,0.157,0.0811,0.0822,0.1837,0.2139,0.049,0.2209,0.0152,0.0829,0.0213,0.2054,0.0072,0.1032,0.1191,0.1184,0.0738,0.1175,0.094,0.2212,0.1724,0.2202,0.104,0.2273,0.1387,0.1253
