ChIP,ChIP gene #,2021_GoldrathLab_Brd4___BRD4_TE-CD8,2021_GoldrathLab_Brd4___BRD4_NAV-CD8,2021_GoldrathLab_Brd4___BRD4_MP-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2021_GoldrathLab_Brd4___BRD4_TE-CD8,8410,1.0000,0.7116,0.7713,0.6346,0.6142,0.6558,0.1298,0.0023,0.3196,0.1285,0.2278,0.0116,0.1903,0.4860,0.3970,0.1883,0.2573,0.4357,0.0244,0.3308,0.6518,0.6500,0.7239,0.6749,0.6463,0.6879,0.6514,0.7243,0.5111,0.6218,0.5490,0.6765,0.6672,0.6612,0.7195,0.6931,0.0913,0.3006,0.2760,0.0466,0.5757,0.7577,0.7631,0.6963,0.6728,0.6625,0.5423,0.1842,0.1490,0.7599,0.7625,0.4623,0.0128,0.6179,0.0209,0.2283,0.5005,0.0209,0.5470,0.5778,0.6233,0.1077,0.5835,0.5112,0.4177,0.0486,0.3532,0.0210,0.0437,0.0129,0.4714,0.0035,0.6405,0.6608,0.6346,0.1891,0.6656,0.1978,0.3558,0.3493,0.3929,0.6451,0.4455,0.3126,0.2158
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,7333,0.7116,1.0000,0.7051,0.5976,0.5823,0.5847,0.1280,0.0026,0.3208,0.1338,0.2210,0.0143,0.2159,0.4872,0.4259,0.2045,0.2682,0.4289,0.0287,0.3329,0.5834,0.5819,0.6334,0.6115,0.5963,0.6177,0.5998,0.6439,0.5159,0.5474,0.5158,0.6056,0.6058,0.5841,0.6229,0.6168,0.0899,0.3128,0.2923,0.0529,0.6221,0.6452,0.6688,0.6578,0.5949,0.5887,0.5041,0.2080,0.1660,0.6409,0.6673,0.4876,0.0144,0.5534,0.0235,0.2290,0.5503,0.0208,0.5186,0.5370,0.5569,0.1065,0.5300,0.4888,0.3903,0.0573,0.3495,0.0236,0.0517,0.0078,0.4207,0.0039,0.5823,0.5799,0.5770,0.1856,0.5867,0.1941,0.3403,0.3753,0.3789,0.5737,0.4273,0.3424,0.2500
2021_GoldrathLab_Brd4___BRD4_MP-CD8,7086,0.7713,0.7051,1.0000,0.5865,0.5742,0.5835,0.1343,0.0027,0.3357,0.1387,0.2378,0.0132,0.2097,0.4786,0.4147,0.2013,0.2717,0.4418,0.0278,0.3470,0.5797,0.5744,0.6310,0.6007,0.5831,0.6002,0.5865,0.6356,0.5086,0.5637,0.5204,0.6072,0.5964,0.5780,0.6289,0.6171,0.0969,0.3022,0.2793,0.0499,0.5817,0.6682,0.6774,0.6692,0.6032,0.5928,0.5275,0.1979,0.1642,0.6701,0.6746,0.4660,0.0159,0.5897,0.0238,0.2457,0.5259,0.0224,0.5538,0.5674,0.6220,0.1198,0.5205,0.5135,0.4160,0.0526,0.3737,0.0253,0.0524,0.0120,0.4787,0.0040,0.5682,0.5787,0.5833,0.1876,0.5793,0.1850,0.3675,0.3806,0.4076,0.5653,0.4615,0.3337,0.2342
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,0.6346,0.5976,0.5865,1.0000,0.8354,0.6247,0.1061,0.0036,0.3088,0.1112,0.2027,0.0205,0.1864,0.4615,0.3871,0.1803,0.2564,0.4068,0.0251,0.3067,0.6299,0.6282,0.6735,0.6458,0.6115,0.6630,0.6271,0.6731,0.5509,0.6050,0.5576,0.6504,0.6399,0.6269,0.6604,0.6334,0.0795,0.2901,0.2665,0.0422,0.5597,0.6702,0.6790,0.6445,0.6344,0.6255,0.4782,0.1865,0.1584,0.6576,0.6812,0.4266,0.0144,0.4932,0.0265,0.2309,0.4515,0.0191,0.4903,0.5105,0.5121,0.0888,0.5592,0.4623,0.3805,0.0439,0.3292,0.0192,0.0488,0.0108,0.4096,0.0048,0.6234,0.6164,0.6577,0.1838,0.6323,0.1832,0.3233,0.3242,0.3373,0.6188,0.3919,0.2997,0.2040
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.6142,0.5823,0.5742,0.8354,1.0000,0.5864,0.1071,0.0051,0.2983,0.1099,0.1934,0.0205,0.1805,0.4492,0.3855,0.1713,0.2523,0.3988,0.0254,0.2945,0.5839,0.5861,0.6335,0.6104,0.5705,0.6193,0.5855,0.6337,0.5329,0.5728,0.5488,0.6188,0.6128,0.5882,0.6259,0.6114,0.0714,0.2856,0.2601,0.0410,0.5409,0.6349,0.6502,0.6269,0.5953,0.5865,0.4784,0.1851,0.1511,0.6296,0.6401,0.4345,0.0166,0.5038,0.0295,0.2256,0.4573,0.0164,0.4747,0.4921,0.4925,0.0916,0.5275,0.4497,0.3703,0.0506,0.3213,0.0218,0.0465,0.0102,0.4020,0.0051,0.5789,0.5880,0.6272,0.1746,0.5896,0.1856,0.3124,0.3373,0.3383,0.5767,0.4029,0.3066,0.2121
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.6558,0.5847,0.5835,0.6247,0.5864,1.0000,0.0926,0.0041,0.3104,0.0953,0.1854,0.0147,0.1592,0.4920,0.3630,0.1558,0.2313,0.4263,0.0229,0.2804,0.9065,0.9157,0.8252,0.8248,0.8613,0.8252,0.8500,0.8002,0.4430,0.5596,0.4904,0.7951,0.8025,0.8796,0.7883,0.7867,0.1923,0.4451,0.4341,0.1067,0.4884,0.8125,0.7726,0.6065,0.8772,0.8850,0.5335,0.3081,0.2638,0.6693,0.7315,0.3894,0.0122,0.4707,0.0196,0.2057,0.4011,0.0196,0.5337,0.6006,0.4742,0.0752,0.8233,0.5708,0.4132,0.0366,0.3482,0.0147,0.0407,0.0098,0.4719,0.0033,0.8777,0.8182,0.5994,0.3218,0.8657,0.1703,0.3395,0.2609,0.3147,0.8714,0.3757,0.2603,0.1646
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.1298,0.1280,0.1343,0.1061,0.1071,0.0926,1.0000,0.0000,0.1116,0.1204,0.3470,0.0294,0.1868,0.1250,0.1365,0.1801,0.1676,0.1559,0.0205,0.1711,0.0926,0.0922,0.1007,0.0973,0.0957,0.0969,0.0963,0.1008,0.1014,0.0974,0.1007,0.0923,0.1022,0.0950,0.1082,0.1071,0.0954,0.1120,0.0985,0.0667,0.1020,0.1012,0.1036,0.1077,0.0983,0.0972,0.1475,0.0998,0.1014,0.0980,0.1088,0.1556,0.0379,0.1685,0.0896,0.1840,0.1573,0.0207,0.1478,0.1392,0.1761,0.2909,0.0949,0.1406,0.1548,0.0359,0.1630,0.0217,0.0736,0.0153,0.1677,0.0163,0.0875,0.1002,0.1125,0.0921,0.0941,0.0990,0.1811,0.2080,0.2488,0.0938,0.1809,0.1447,0.1769
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0023,0.0026,0.0027,0.0036,0.0051,0.0041,0.0000,1.0000,0.0050,0.0161,0.0082,0.0435,0.0048,0.0063,0.0086,0.0049,0.0098,0.0087,0.0000,0.0054,0.0033,0.0032,0.0036,0.0036,0.0035,0.0026,0.0035,0.0037,0.0035,0.0041,0.0047,0.0039,0.0027,0.0031,0.0018,0.0037,0.0115,0.0083,0.0084,0.0145,0.0031,0.0019,0.0019,0.0025,0.0035,0.0036,0.0043,0.0095,0.0140,0.0023,0.0021,0.0059,0.0000,0.0049,0.0714,0.0037,0.0038,0.0323,0.0070,0.0061,0.0033,0.0211,0.0040,0.0066,0.0072,0.0000,0.0086,0.0000,0.0172,0.0625,0.0078,0.0000,0.0034,0.0041,0.0036,0.0087,0.0040,0.0000,0.0088,0.0060,0.0100,0.0039,0.0041,0.0030,0.0096
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.3196,0.3208,0.3357,0.3088,0.2983,0.3104,0.1116,0.0050,1.0000,0.2822,0.1753,0.0196,0.1516,0.4079,0.3833,0.1393,0.1962,0.2686,0.0266,0.2290,0.3104,0.3079,0.3177,0.3287,0.3348,0.3216,0.3357,0.3215,0.2776,0.3035,0.3021,0.3523,0.3051,0.3004,0.3110,0.3061,0.1332,0.2735,0.2422,0.0813,0.3351,0.3235,0.3365,0.3326,0.3244,0.3281,0.3043,0.2271,0.2083,0.3233,0.3222,0.3493,0.0147,0.3660,0.0218,0.2036,0.3048,0.0192,0.2827,0.2988,0.3193,0.0867,0.3098,0.2875,0.2699,0.0515,0.2265,0.0246,0.0513,0.0149,0.2889,0.0025,0.3207,0.2998,0.3172,0.1804,0.3040,0.1667,0.2555,0.2090,0.2707,0.2995,0.2419,0.2578,0.1992
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1285,0.1338,0.1387,0.1112,0.1099,0.0953,0.1204,0.0161,0.2822,1.0000,0.1074,0.0526,0.1134,0.1542,0.1707,0.1031,0.1273,0.1099,0.0347,0.1408,0.0953,0.0939,0.1046,0.1022,0.1034,0.1036,0.1041,0.1068,0.1120,0.1282,0.1088,0.1103,0.0964,0.0941,0.1042,0.1041,0.0499,0.0789,0.0689,0.0199,0.1300,0.1094,0.1143,0.1184,0.1003,0.1001,0.1161,0.0714,0.0742,0.1165,0.1134,0.1664,0.0458,0.1704,0.0210,0.1092,0.1490,0.0278,0.1184,0.1163,0.1411,0.1094,0.0958,0.1119,0.1223,0.0679,0.1207,0.0444,0.0355,0.0310,0.1162,0.0081,0.0976,0.0957,0.1191,0.0661,0.0941,0.0990,0.1277,0.1185,0.1373,0.0947,0.1117,0.1535,0.1769
