,ChIP
0,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
1,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
2,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
3,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN
4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
5,2021_GoldrathLab_Brd4___BRD4_NAV-CD8
6,2021_GoldrathLab_Brd4___BRD4_MP-CD8
7,2021_GoldrathLab_Brd4___BRD4_TE-CD8
8,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory
9,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8
10,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
11,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
12,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
13,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
14,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
15,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
16,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
17,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
18,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
19,2017_PNAS_Li___H3K4me3-noIL2-CD4
20,2017_PNAS_Li___H3K4me3_IL2-CD4
21,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
22,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
23,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
24,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
25,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
26,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
27,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
28,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
29,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
30,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
31,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
