,ChIP
0,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO
1,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO
2,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT
3,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8
4,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8
5,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
6,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
7,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN
8,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
9,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO
10,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO
11,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
12,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
13,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
14,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8
15,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
16,2016_SCIENCE_Mackay___Hobit_invitro-CD8
17,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO
18,2017_PNAS_Li___STAT5B_noIL2-CD8
19,2017_PNAS_Li___STAT3_noIL21-CD4
20,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
21,2017_PNAS_Li___H3K4me3-noIL2-CD4
22,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
23,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
24,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
25,2017_PNAS_Li___H3K4me3_IL2-CD4
26,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
27,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
28,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
29,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
30,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
31,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
32,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
33,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
34,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
35,2017_PNAS_Li___H3K27Ac_IL2-CD4
36,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory
37,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
38,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
39,2017_PNAS_Li___H3K27Ac-noIL2-CD4
40,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
41,2021_GoldrathLab_Brd4___BRD4_TE-CD8
42,2021_GoldrathLab_Brd4___BRD4_MP-CD8
43,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
44,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
45,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
46,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
47,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
48,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
49,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
50,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO
51,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
52,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
53,2021_GoldrathLab_Brd4___BRD4_NAV-CD8
54,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
55,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
56,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
57,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
58,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
59,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8
60,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
61,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
62,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8
63,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
64,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
65,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8
66,2017_PNAS_Li___STAT5B_IL2-CD4
67,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8
68,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8
69,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
70,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV
71,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN
72,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT
73,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
74,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4
75,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
76,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
77,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
78,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE
79,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP
80,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
81,2017_PNAS_Li___STAT5B_IL2-WT-CD4
82,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4
83,2017_PNAS_Li___STAT5B_IL2-CD8
84,2017_PNAS_Li___STAT3_IL21-CD4
