ChIP,ChIP gene #,2021_GoldrathLab_Brd4___BRD4_TE-CD8,2021_GoldrathLab_Brd4___BRD4_NAV-CD8,2021_GoldrathLab_Brd4___BRD4_MP-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2021_GoldrathLab_Brd4___BRD4_TE-CD8,8410,1.0000,0.7031,0.7457,0.6229,0.5998,0.6578,0.0818,0.0058,0.4368,0.1982,0.1387,0.0122,0.1402,0.5491,0.4501,0.1353,0.1692,0.3360,0.0148,0.2308,0.6609,0.6602,0.6759,0.6639,0.6527,0.6583,0.6585,0.6723,0.5026,0.6059,0.5326,0.6688,0.6438,0.6522,0.6741,0.6418,0.1007,0.3003,0.2826,0.0481,0.5719,0.7124,0.7187,0.6460,0.6628,0.6633,0.4183,0.2001,0.1686,0.7150,0.7111,0.4637,0.0083,0.6184,0.0148,0.1355,0.5083,0.0206,0.4692,0.5404,0.5981,0.0729,0.6362,0.4065,0.2718,0.1047,0.2600,0.0494,0.0321,0.0077,0.3141,0.0019,0.6483,0.6539,0.6162,0.2327,0.6665,0.3037,0.2119,0.2293,0.2645,0.6463,0.3224,0.2140,0.1508
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,7333,0.7031,1.0000,0.6912,0.5959,0.5781,0.5786,0.0763,0.0060,0.4378,0.2033,0.1202,0.0126,0.1474,0.5242,0.4584,0.1418,0.1720,0.3286,0.0186,0.2371,0.5821,0.5801,0.5913,0.5871,0.5742,0.5815,0.5764,0.5924,0.4939,0.5308,0.5055,0.5902,0.5722,0.5606,0.5842,0.5641,0.0841,0.2972,0.2721,0.0471,0.6047,0.6057,0.6287,0.6094,0.5727,0.5709,0.3856,0.2024,0.1653,0.6172,0.6190,0.4825,0.0089,0.5451,0.0163,0.1420,0.5382,0.0246,0.4587,0.5110,0.5166,0.0700,0.5594,0.3886,0.2694,0.1111,0.2528,0.0556,0.0294,0.0052,0.2979,0.0015,0.5747,0.5731,0.5702,0.2132,0.5790,0.2849,0.2038,0.2563,0.2672,0.5639,0.3062,0.2445,0.1801
2021_GoldrathLab_Brd4___BRD4_MP-CD8,7086,0.7457,0.6912,1.0000,0.5677,0.5510,0.5635,0.0925,0.0069,0.4182,0.2154,0.1497,0.0136,0.1513,0.5208,0.4514,0.1472,0.1821,0.3448,0.0144,0.2376,0.5642,0.5602,0.5823,0.5760,0.5571,0.5670,0.5619,0.5798,0.4707,0.5335,0.4905,0.5722,0.5622,0.5490,0.5840,0.5745,0.0907,0.2896,0.2708,0.0488,0.5624,0.6095,0.6240,0.6094,0.5687,0.5684,0.4071,0.1915,0.1603,0.6249,0.6301,0.4790,0.0099,0.5944,0.0182,0.1567,0.5111,0.0244,0.4717,0.5224,0.5732,0.0837,0.5434,0.4095,0.2918,0.1177,0.2849,0.0592,0.0379,0.0084,0.3360,0.0015,0.5514,0.5615,0.5534,0.2126,0.5663,0.2767,0.2327,0.2544,0.2860,0.5495,0.3375,0.2344,0.1700
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,0.6229,0.5959,0.5677,1.0000,0.8592,0.6500,0.0637,0.0039,0.4431,0.1975,0.1018,0.0161,0.1247,0.5508,0.4356,0.1205,0.1550,0.2965,0.0162,0.2011,0.6716,0.6612,0.6917,0.6795,0.6610,0.6835,0.6662,0.6887,0.5603,0.6017,0.5591,0.6895,0.6564,0.6511,0.6760,0.6421,0.0720,0.2748,0.2592,0.0376,0.5757,0.6879,0.7016,0.6256,0.6503,0.6521,0.3938,0.1754,0.1374,0.6934,0.7037,0.4508,0.0123,0.5074,0.0168,0.1332,0.4716,0.0187,0.4157,0.4767,0.4831,0.0547,0.6371,0.3551,0.2298,0.0829,0.2139,0.0330,0.0256,0.0090,0.2737,0.0026,0.6714,0.6631,0.7092,0.1974,0.6705,0.2822,0.1962,0.1975,0.2278,0.6514,0.2839,0.2118,0.1434
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.5998,0.5781,0.5510,0.8592,1.0000,0.6156,0.0630,0.0035,0.4412,0.1963,0.1077,0.0166,0.1306,0.5363,0.4293,0.1276,0.1590,0.2911,0.0159,0.2061,0.6305,0.6219,0.6532,0.6435,0.6224,0.6417,0.6287,0.6481,0.5478,0.5844,0.5518,0.6542,0.6217,0.6072,0.6401,0.6166,0.0667,0.2712,0.2542,0.0321,0.5753,0.6548,0.6708,0.6187,0.6187,0.6173,0.3955,0.1747,0.1355,0.6634,0.6698,0.4544,0.0131,0.4986,0.0180,0.1382,0.4550,0.0172,0.4112,0.4618,0.4734,0.0577,0.5988,0.3529,0.2348,0.0870,0.2136,0.0345,0.0280,0.0097,0.2779,0.0028,0.6281,0.6225,0.6856,0.1899,0.6258,0.2735,0.2002,0.2042,0.2329,0.6087,0.2863,0.2178,0.1469
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.6578,0.5786,0.5635,0.6500,0.6156,1.0000,0.0603,0.0041,0.4458,0.1604,0.1084,0.0142,0.1260,0.6142,0.4604,0.1224,0.1570,0.3335,0.0128,0.2096,0.9168,0.9266,0.8611,0.8799,0.9209,0.8729,0.9100,0.8687,0.4627,0.5822,0.5350,0.8759,0.8026,0.8984,0.8145,0.7577,0.1550,0.4071,0.3892,0.0850,0.5038,0.8348,0.8178,0.6029,0.9245,0.9201,0.4452,0.2883,0.2365,0.7483,0.7862,0.4203,0.0101,0.5212,0.0147,0.1240,0.4400,0.0165,0.4274,0.5250,0.4859,0.0499,0.8838,0.4029,0.2550,0.0786,0.2288,0.0376,0.0266,0.0083,0.3044,0.0018,0.9154,0.8424,0.6812,0.3112,0.8889,0.2718,0.2053,0.1774,0.2218,0.8968,0.2761,0.1841,0.1221
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0818,0.0763,0.0925,0.0637,0.0630,0.0603,1.0000,0.0130,0.0549,0.0607,0.2965,0.0292,0.1536,0.0756,0.0708,0.1600,0.1488,0.1247,0.0294,0.1403,0.0578,0.0595,0.0623,0.0622,0.0588,0.0604,0.0594,0.0624,0.0588,0.0606,0.0640,0.0572,0.0684,0.0614,0.0705,0.0752,0.0876,0.0919,0.0900,0.0791,0.0607,0.0647,0.0639,0.0715,0.0595,0.0583,0.1018,0.0938,0.0976,0.0603,0.0617,0.0940,0.0183,0.1052,0.0727,0.1522,0.0977,0.0281,0.1086,0.0958,0.1133,0.3050,0.0626,0.1242,0.1390,0.0547,0.1264,0.0175,0.1070,0.0186,0.1419,0.0136,0.0556,0.0666,0.0650,0.0834,0.0613,0.0743,0.1263,0.1578,0.2172,0.0606,0.1583,0.0992,0.1253
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0058,0.0060,0.0069,0.0039,0.0035,0.0041,0.0130,1.0000,0.0069,0.0081,0.0147,0.0000,0.0098,0.0042,0.0047,0.0101,0.0077,0.0087,0.0250,0.0040,0.0041,0.0041,0.0042,0.0038,0.0041,0.0037,0.0037,0.0042,0.0045,0.0043,0.0031,0.0044,0.0045,0.0043,0.0044,0.0048,0.0027,0.0051,0.0054,0.0000,0.0034,0.0044,0.0046,0.0063,0.0034,0.0039,0.0028,0.0073,0.0072,0.0046,0.0039,0.0084,0.0000,0.0058,0.0000,0.0175,0.0060,0.0000,0.0078,0.0063,0.0079,0.0160,0.0049,0.0095,0.0098,0.0000,0.0055,0.0000,0.0139,0.0000,0.0082,0.0000,0.0041,0.0051,0.0042,0.0066,0.0040,0.0049,0.0081,0.0200,0.0133,0.0047,0.0078,0.0120,0.0036
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.4368,0.4378,0.4182,0.4431,0.4412,0.4458,0.0549,0.0069,1.0000,0.3173,0.0936,0.0137,0.1249,0.4729,0.4702,0.1228,0.1452,0.2561,0.0176,0.1947,0.4479,0.4455,0.4520,0.4523,0.4443,0.4450,0.4494,0.4515,0.3287,0.3663,0.3586,0.4656,0.4278,0.4254,0.4381,0.4308,0.1002,0.2774,0.2624,0.0608,0.4402,0.4529,0.4695,0.4604,0.4521,0.4548,0.3205,0.2087,0.1827,0.4573,0.4658,0.4475,0.0118,0.4498,0.0166,0.1299,0.3913,0.0205,0.2950,0.3447,0.3815,0.0564,0.4388,0.2899,0.2140,0.0808,0.2083,0.0448,0.0259,0.0088,0.2407,0.0020,0.4453,0.4341,0.4515,0.2123,0.4352,0.2007,0.1715,0.1717,0.2104,0.4270,0.2413,0.2194,0.1568
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1982,0.2033,0.2154,0.1975,0.1963,0.1604,0.0607,0.0081,0.3173,1.0000,0.0680,0.0261,0.0855,0.2054,0.2302,0.0777,0.0944,0.1301,0.0155,0.1153,0.1615,0.1600,0.1649,0.1637,0.1584,0.1620,0.1597,0.1651,0.1606,0.1714,0.1625,0.1665,0.1650,0.1535,0.1663,0.1679,0.0583,0.1267,0.1245,0.0333,0.2059,0.1669,0.1763,0.1997,0.1621,0.1639,0.1362,0.0954,0.0868,0.1860,0.1822,0.2380,0.0213,0.2203,0.0260,0.0957,0.2073,0.0127,0.1572,0.1611,0.1952,0.0742,0.1574,0.1479,0.1317,0.1010,0.1259,0.0491,0.0443,0.0133,0.1336,0.0027,0.1604,0.1606,0.1845,0.1097,0.1581,0.1294,0.1025,0.1030,0.1276,0.1543,0.1198,0.1611,0.1372
