ChIP,ChIP gene #,2021_GoldrathLab_Brd4___BRD4_TE-CD8,2021_GoldrathLab_Brd4___BRD4_NAV-CD8,2021_GoldrathLab_Brd4___BRD4_MP-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2021_GoldrathLab_Brd4___BRD4_TE-CD8,8410,1.0000,0.7671,0.8076,0.6679,0.6583,0.7346,0.0766,0.0043,0.5201,0.2463,0.1568,0.0116,0.1577,0.6034,0.5038,0.1578,0.2124,0.3948,0.0181,0.2392,0.7292,0.7289,0.7492,0.7409,0.7255,0.7414,0.7262,0.7545,0.5628,0.6614,0.5973,0.7290,0.6808,0.7252,0.7223,0.6947,0.0983,0.3041,0.2811,0.0375,0.6582,0.7682,0.7686,0.7183,0.7299,0.7288,0.3633,0.1689,0.1401,0.7825,0.7825,0.5137,0.0116,0.6421,0.0152,0.1529,0.4881,0.0268,0.5170,0.5945,0.5945,0.0473,0.7160,0.4653,0.3443,0.0728,0.3032,0.0217,0.0406,0.0123,0.3724,0.0044,0.7216,0.7261,0.7120,0.2268,0.7409,0.2889,0.2873,0.1947,0.2297,0.7262,0.2835,0.2251,0.1355
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,7333,0.7671,1.0000,0.7577,0.6519,0.6329,0.6642,0.0732,0.0048,0.5054,0.2479,0.1479,0.0121,0.1516,0.5704,0.4956,0.1534,0.1985,0.3745,0.0194,0.2319,0.6658,0.6636,0.6791,0.6657,0.6593,0.6700,0.6607,0.6788,0.5535,0.6099,0.5692,0.6775,0.6258,0.6505,0.6557,0.6252,0.0853,0.2933,0.2664,0.0376,0.6727,0.6813,0.6883,0.6922,0.6520,0.6474,0.3287,0.1667,0.1386,0.6969,0.6911,0.5207,0.0121,0.5972,0.0145,0.1445,0.5011,0.0282,0.4747,0.5385,0.5404,0.0459,0.6484,0.4135,0.3111,0.0767,0.2775,0.0258,0.0418,0.0113,0.3494,0.0040,0.6637,0.6529,0.6673,0.2158,0.6647,0.2816,0.2735,0.2115,0.2262,0.6500,0.2616,0.2343,0.1451
2021_GoldrathLab_Brd4___BRD4_MP-CD8,7086,0.8076,0.7577,1.0000,0.6438,0.6302,0.6744,0.0835,0.0047,0.5131,0.2583,0.1679,0.0125,0.1599,0.5888,0.4914,0.1618,0.2217,0.4046,0.0180,0.2422,0.6739,0.6681,0.7007,0.6871,0.6639,0.6886,0.6654,0.6994,0.5406,0.6169,0.5686,0.6802,0.6529,0.6718,0.6924,0.6595,0.0959,0.2949,0.2694,0.0388,0.6445,0.7139,0.7135,0.6994,0.6717,0.6625,0.3639,0.1693,0.1316,0.7221,0.7171,0.5253,0.0117,0.6376,0.0164,0.1592,0.5018,0.0265,0.5129,0.5834,0.5971,0.0510,0.6620,0.4700,0.3496,0.0793,0.3119,0.0266,0.0429,0.0133,0.3890,0.0047,0.6674,0.6761,0.6712,0.2157,0.6846,0.2651,0.2959,0.2014,0.2433,0.6715,0.2941,0.2375,0.1442
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,0.6679,0.6519,0.6438,1.0000,0.8550,0.7069,0.0591,0.0045,0.5072,0.2325,0.1188,0.0104,0.1326,0.5849,0.5036,0.1367,0.1838,0.3536,0.0194,0.2215,0.7198,0.7119,0.7405,0.7284,0.7121,0.7376,0.7185,0.7361,0.6021,0.6712,0.6163,0.7450,0.6999,0.7141,0.7263,0.6893,0.0608,0.2705,0.2534,0.0334,0.6805,0.7404,0.7465,0.7280,0.6914,0.6918,0.3250,0.1511,0.1152,0.7521,0.7449,0.5054,0.0119,0.5425,0.0126,0.1300,0.4683,0.0222,0.4533,0.5265,0.4853,0.0385,0.6918,0.4004,0.2912,0.0654,0.2518,0.0230,0.0310,0.0097,0.3210,0.0045,0.7178,0.7155,0.7491,0.1994,0.7211,0.2704,0.2487,0.1668,0.1990,0.7196,0.2424,0.2180,0.1343
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.6583,0.6329,0.6302,0.8550,1.0000,0.6698,0.0610,0.0047,0.5101,0.2423,0.1222,0.0111,0.1368,0.5723,0.5013,0.1403,0.1846,0.3537,0.0190,0.2241,0.6795,0.6745,0.7037,0.6901,0.6741,0.6992,0.6831,0.7005,0.6054,0.6568,0.6167,0.7075,0.6704,0.6736,0.6974,0.6625,0.0604,0.2667,0.2506,0.0276,0.6853,0.7092,0.7158,0.7117,0.6596,0.6606,0.3205,0.1481,0.1121,0.7339,0.7143,0.5158,0.0111,0.5447,0.0134,0.1349,0.4606,0.0220,0.4447,0.5137,0.4865,0.0408,0.6575,0.3932,0.2907,0.0685,0.2479,0.0244,0.0344,0.0111,0.3207,0.0048,0.6756,0.6818,0.7255,0.1881,0.6801,0.2643,0.2481,0.1694,0.1971,0.6779,0.2487,0.2270,0.1396
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.7346,0.6642,0.6744,0.7069,0.6698,1.0000,0.0603,0.0057,0.5372,0.2124,0.1361,0.0109,0.1498,0.6600,0.5289,0.1493,0.2100,0.4105,0.0160,0.2320,0.9400,0.9495,0.8973,0.9183,0.9456,0.9059,0.9341,0.9033,0.5300,0.6634,0.6090,0.9117,0.7922,0.9115,0.8223,0.7686,0.1435,0.3690,0.3601,0.0662,0.6193,0.8903,0.8818,0.7265,0.9447,0.9392,0.3674,0.2307,0.1935,0.8497,0.8527,0.4915,0.0109,0.5755,0.0131,0.1381,0.4481,0.0240,0.5014,0.6108,0.5090,0.0360,0.9159,0.4728,0.3346,0.0586,0.2842,0.0194,0.0343,0.0109,0.3644,0.0034,0.9361,0.8605,0.7913,0.2831,0.9020,0.2642,0.2753,0.1635,0.2055,0.9069,0.2520,0.2001,0.1163
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0766,0.0732,0.0835,0.0591,0.0610,0.0603,1.0000,0.0080,0.0740,0.0707,0.2724,0.0308,0.1637,0.0796,0.0751,0.1607,0.1590,0.1161,0.0677,0.1387,0.0579,0.0574,0.0618,0.0579,0.0577,0.0595,0.0580,0.0613,0.0588,0.0589,0.0602,0.0585,0.0675,0.0614,0.0693,0.0734,0.0554,0.0819,0.0897,0.0220,0.0582,0.0622,0.0618,0.0650,0.0621,0.0595,0.1184,0.0760,0.0785,0.0636,0.0619,0.0839,0.0310,0.0985,0.0781,0.1536,0.1005,0.0612,0.1061,0.0885,0.1122,0.2431,0.0609,0.1149,0.1329,0.0509,0.1369,0.0200,0.1282,0.0556,0.1219,0.0345,0.0575,0.0658,0.0664,0.0810,0.0625,0.0721,0.1290,0.1629,0.2136,0.0616,0.1720,0.1111,0.1254
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0043,0.0048,0.0047,0.0045,0.0047,0.0057,0.0080,1.0000,0.0061,0.0051,0.0038,0.0000,0.0000,0.0057,0.0051,0.0000,0.0025,0.0013,0.0000,0.0046,0.0050,0.0050,0.0040,0.0046,0.0045,0.0040,0.0046,0.0040,0.0050,0.0055,0.0053,0.0053,0.0045,0.0048,0.0042,0.0052,0.0036,0.0043,0.0029,0.0000,0.0051,0.0052,0.0048,0.0043,0.0047,0.0054,0.0014,0.0045,0.0053,0.0044,0.0044,0.0089,0.0000,0.0056,0.0000,0.0076,0.0061,0.0000,0.0063,0.0068,0.0053,0.0267,0.0061,0.0077,0.0047,0.0000,0.0036,0.0000,0.0000,0.0000,0.0071,0.0000,0.0056,0.0052,0.0051,0.0055,0.0049,0.0061,0.0096,0.0130,0.0051,0.0054,0.0021,0.0055,0.0045
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.5201,0.5054,0.5131,0.5072,0.5101,0.5372,0.0740,0.0061,1.0000,0.3692,0.1347,0.0122,0.1455,0.5274,0.5203,0.1467,0.1986,0.3377,0.0162,0.2253,0.5342,0.5329,0.5368,0.5413,0.5380,0.5351,0.5434,0.5354,0.3942,0.4635,0.4380,0.5517,0.5125,0.5190,0.5194,0.5149,0.1089,0.3054,0.2798,0.0459,0.5176,0.5383,0.5446,0.5396,0.5368,0.5381,0.3031,0.1914,0.1670,0.5473,0.5462,0.5121,0.0143,0.5198,0.0142,0.1475,0.4132,0.0221,0.3842,0.4450,0.4333,0.0359,0.5297,0.3653,0.2898,0.0677,0.2486,0.0263,0.0401,0.0122,0.3137,0.0051,0.5312,0.5277,0.5302,0.2208,0.5240,0.2113,0.2593,0.1528,0.1825,0.5208,0.2485,0.2166,0.1418
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.2463,0.2479,0.2583,0.2325,0.2423,0.2124,0.0707,0.0051,0.3692,1.0000,0.1090,0.0175,0.1032,0.2529,0.2651,0.1033,0.1297,0.1874,0.0172,0.1481,0.2098,0.2096,0.2139,0.2129,0.2096,0.2122,0.2107,0.2144,0.1966,0.2159,0.1994,0.2164,0.2166,0.2052,0.2197,0.2214,0.0722,0.1794,0.1581,0.0328,0.2524,0.2181,0.2211,0.2391,0.2122,0.2106,0.1787,0.1135,0.1106,0.2264,0.2221,0.2916,0.0202,0.2815,0.0250,0.1408,0.2650,0.0215,0.2060,0.2136,0.2588,0.0513,0.2087,0.1965,0.1761,0.1089,0.1688,0.0442,0.0566,0.0176,0.1825,0.0103,0.2086,0.2172,0.2222,0.1320,0.2111,0.1274,0.1609,0.1118,0.1270,0.2078,0.1579,0.1929,0.1531
