,ChIP
0,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
1,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
2,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
3,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
5,2017_PNAS_Li___H3K27Ac-noIL2-CD4
6,2017_PNAS_Li___H3K27Ac_IL2-CD4
7,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
8,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
9,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
10,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
11,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
12,2017_PNAS_Li___H3K4me3-noIL2-CD4
13,2017_PNAS_Li___H3K4me3_IL2-CD4
14,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
15,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
16,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
17,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
18,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
19,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
20,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
21,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8
22,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
23,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
24,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
25,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
26,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
27,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN
28,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
29,2021_GoldrathLab_Brd4___BRD4_NAV-CD8
30,2021_GoldrathLab_Brd4___BRD4_MP-CD8
31,2021_GoldrathLab_Brd4___BRD4_TE-CD8
32,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory
33,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
34,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
35,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
36,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
37,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
38,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4
39,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
40,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
41,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
42,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
43,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO
44,2017_PNAS_Li___STAT5B_IL2-CD4
45,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
46,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
47,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
48,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO
49,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT
50,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
51,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
52,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
53,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
54,2017_PNAS_Li___STAT3_noIL21-CD4
55,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
56,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8
57,2016_SCIENCE_Mackay___Hobit_invitro-CD8
58,2017_PNAS_Li___STAT5B_noIL2-CD8
59,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO
60,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO
61,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO
62,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
63,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
64,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8
65,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
66,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV
67,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
68,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8
69,2017_PNAS_Li___STAT5B_IL2-CD8
70,2017_PNAS_Li___STAT5B_IL2-WT-CD4
71,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4
72,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
73,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
74,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8
