,ChIP
0,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
1,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
2,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
3,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
4,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
5,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
6,2017_PNAS_Li___H3K4me3-noIL2-CD4
7,2017_PNAS_Li___H3K4me3_IL2-CD4
8,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
9,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
10,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
11,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
12,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
13,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
14,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
15,2017_PNAS_Li___H3K27Ac-noIL2-CD4
16,2017_PNAS_Li___H3K27Ac_IL2-CD4
17,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
18,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
19,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
20,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
21,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
22,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
23,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
24,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
25,2021_GoldrathLab_Brd4___BRD4_NAV-CD8
26,2021_GoldrathLab_Brd4___BRD4_MP-CD8
27,2021_GoldrathLab_Brd4___BRD4_TE-CD8
28,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory
29,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8
30,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
31,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
32,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
33,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
