ChIP,ChIP gene #,2021_GoldrathLab_Brd4___BRD4_TE-CD8,2021_GoldrathLab_Brd4___BRD4_NAV-CD8,2021_GoldrathLab_Brd4___BRD4_MP-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2021_GoldrathLab_Brd4___BRD4_TE-CD8,8410,1.0000,0.6170,0.6140,0.3808,0.3455,0.5389,0.0738,0.0079,0.3239,0.1206,0.1426,0.0063,0.1078,0.4314,0.3236,0.1078,0.1341,0.2865,0.0110,0.1901,0.5252,0.5258,0.5513,0.5378,0.5297,0.5281,0.5306,0.5558,0.3539,0.4417,0.3873,0.5258,0.5106,0.5324,0.5536,0.5216,0.1177,0.2698,0.2523,0.0648,0.4355,0.5900,0.5876,0.5105,0.5395,0.5406,0.3141,0.2010,0.1633,0.6049,0.5843,0.3625,0.0063,0.5021,0.0094,0.1024,0.3947,0.0174,0.3779,0.4274,0.4781,0.0647,0.5135,0.3520,0.2441,0.0511,0.2098,0.0253,0.0282,0.0079,0.2918,0.0016,0.5201,0.5415,0.4502,0.2206,0.5419,0.2263,0.1983,0.1942,0.2090,0.5266,0.2536,0.1537,0.1032
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,7333,0.6170,1.0000,0.5901,0.3875,0.3599,0.4661,0.0658,0.0075,0.3159,0.1283,0.1339,0.0112,0.1152,0.4035,0.3267,0.1230,0.1494,0.2836,0.0169,0.2003,0.4604,0.4554,0.4694,0.4654,0.4545,0.4590,0.4610,0.4771,0.3413,0.3699,0.3569,0.4543,0.4566,0.4450,0.4577,0.4456,0.0952,0.2753,0.2561,0.0525,0.4607,0.4868,0.5061,0.4927,0.4565,0.4563,0.3017,0.2141,0.1752,0.4924,0.4812,0.3796,0.0112,0.4290,0.0131,0.1204,0.4410,0.0149,0.3670,0.3888,0.3985,0.0630,0.4370,0.3394,0.2359,0.0528,0.2108,0.0281,0.0335,0.0075,0.2954,0.0019,0.4586,0.4586,0.4080,0.2066,0.4606,0.2256,0.2075,0.2294,0.2140,0.4473,0.2607,0.1957,0.1243
2021_GoldrathLab_Brd4___BRD4_MP-CD8,7086,0.6140,0.5901,1.0000,0.3676,0.3494,0.4287,0.0840,0.0080,0.2947,0.1287,0.1642,0.0119,0.1109,0.3599,0.2945,0.1129,0.1507,0.2899,0.0158,0.1955,0.4161,0.4162,0.4417,0.4321,0.4161,0.4253,0.4219,0.4489,0.2963,0.3528,0.3220,0.4155,0.4202,0.4211,0.4515,0.4403,0.1116,0.2673,0.2458,0.0626,0.4206,0.4724,0.4762,0.4770,0.4157,0.4109,0.2989,0.1986,0.1618,0.4893,0.4730,0.3744,0.0118,0.4789,0.0138,0.1287,0.3981,0.0157,0.3851,0.3997,0.4425,0.0769,0.4087,0.3571,0.2591,0.0618,0.2357,0.0338,0.0414,0.0079,0.3150,0.0020,0.4151,0.4430,0.3699,0.2112,0.4371,0.2079,0.2216,0.2253,0.2382,0.4182,0.2734,0.1970,0.1202
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,0.3808,0.3875,0.3676,1.0000,0.7028,0.4778,0.0441,0.0018,0.2918,0.0938,0.1032,0.0124,0.0928,0.3569,0.2848,0.1000,0.1290,0.2359,0.0177,0.1753,0.4799,0.4750,0.4981,0.4943,0.4836,0.5009,0.4921,0.5033,0.4288,0.4118,0.4286,0.5005,0.4623,0.4735,0.4763,0.4520,0.0783,0.2453,0.2162,0.0481,0.4031,0.4876,0.4961,0.4341,0.4809,0.4797,0.2923,0.1725,0.1411,0.4813,0.5066,0.2833,0.0177,0.3298,0.0178,0.1140,0.3106,0.0052,0.2865,0.3142,0.2910,0.0484,0.4624,0.2721,0.1774,0.0321,0.1572,0.0069,0.0280,0.0089,0.2156,0.0036,0.4891,0.4764,0.4971,0.1922,0.4824,0.1822,0.1490,0.1618,0.1453,0.4801,0.1952,0.1560,0.0838
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.3455,0.3599,0.3494,0.7028,1.0000,0.4004,0.0476,0.0000,0.2912,0.0989,0.1117,0.0168,0.0957,0.3246,0.2632,0.1061,0.1330,0.2315,0.0167,0.1649,0.4009,0.4022,0.4244,0.4200,0.3993,0.4188,0.4087,0.4272,0.3870,0.3734,0.3653,0.4222,0.4131,0.3993,0.4286,0.4138,0.0652,0.2234,0.1982,0.0404,0.3988,0.4152,0.4300,0.4157,0.4037,0.4013,0.3031,0.1573,0.1274,0.4247,0.4393,0.2919,0.0167,0.3309,0.0210,0.1160,0.3078,0.0082,0.2815,0.3054,0.2847,0.0570,0.3924,0.2661,0.1852,0.0275,0.1687,0.0061,0.0394,0.0084,0.2355,0.0042,0.4047,0.4130,0.4510,0.1602,0.4119,0.1830,0.1672,0.1883,0.1596,0.4059,0.2120,0.1708,0.0874
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.5389,0.4661,0.4287,0.4778,0.4004,1.0000,0.0446,0.0037,0.3598,0.0921,0.1016,0.0093,0.0916,0.5155,0.3544,0.0916,0.1247,0.2842,0.0103,0.1688,0.9227,0.9320,0.8335,0.8453,0.9055,0.8550,0.8927,0.8330,0.3613,0.4406,0.4368,0.8681,0.7348,0.8790,0.7293,0.6570,0.1722,0.4195,0.3945,0.0829,0.3810,0.8114,0.7898,0.4933,0.9248,0.9124,0.3472,0.3016,0.2555,0.6355,0.6910,0.2982,0.0112,0.3778,0.0093,0.0964,0.3123,0.0131,0.3306,0.4418,0.3500,0.0362,0.8602,0.3514,0.2142,0.0390,0.1805,0.0159,0.0224,0.0056,0.2596,0.0019,0.9109,0.7726,0.5559,0.3315,0.8702,0.2124,0.1711,0.1361,0.1531,0.8709,0.1918,0.1284,0.0764
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0738,0.0658,0.0840,0.0441,0.0476,0.0446,1.0000,0.0175,0.0483,0.0759,0.3158,0.0000,0.1096,0.0455,0.0573,0.1172,0.1236,0.0950,0.0154,0.1308,0.0408,0.0401,0.0453,0.0429,0.0390,0.0405,0.0408,0.0460,0.0304,0.0382,0.0428,0.0396,0.0535,0.0455,0.0556,0.0626,0.0690,0.0669,0.0738,0.0662,0.0515,0.0512,0.0489,0.0610,0.0425,0.0425,0.0808,0.0579,0.0741,0.0499,0.0476,0.0838,0.0000,0.1040,0.0323,0.1224,0.0807,0.0469,0.0938,0.0785,0.1172,0.2933,0.0449,0.1030,0.1174,0.0745,0.1186,0.0000,0.0533,0.0000,0.1265,0.0000,0.0387,0.0518,0.0510,0.0577,0.0455,0.0509,0.1293,0.1421,0.2021,0.0444,0.1619,0.0773,0.0866
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0079,0.0075,0.0080,0.0018,0.0000,0.0037,0.0175,1.0000,0.0025,0.0093,0.0242,0.0000,0.0000,0.0051,0.0024,0.0000,0.0066,0.0118,0.0000,0.0000,0.0037,0.0037,0.0048,0.0039,0.0047,0.0038,0.0038,0.0049,0.0000,0.0019,0.0020,0.0020,0.0043,0.0043,0.0043,0.0049,0.0000,0.0000,0.0022,0.0000,0.0000,0.0050,0.0052,0.0085,0.0029,0.0040,0.0048,0.0000,0.0000,0.0054,0.0050,0.0059,0.0000,0.0067,0.0000,0.0174,0.0055,0.0000,0.0077,0.0074,0.0096,0.0000,0.0045,0.0070,0.0076,0.0000,0.0047,0.0000,0.0333,0.0000,0.0096,0.0000,0.0028,0.0040,0.0014,0.0000,0.0045,0.0000,0.0142,0.0190,0.0166,0.0044,0.0127,0.0068,0.0000
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.3239,0.3159,0.2947,0.2918,0.2912,0.3598,0.0483,0.0025,1.0000,0.2372,0.0960,0.0147,0.1106,0.4267,0.3983,0.1130,0.1089,0.2144,0.0171,0.1562,0.3511,0.3521,0.3525,0.3737,0.3573,0.3444,0.3622,0.3543,0.2171,0.2215,0.2428,0.3725,0.3274,0.3367,0.3221,0.3061,0.1412,0.2890,0.2802,0.0784,0.2923,0.3563,0.3635,0.3378,0.3632,0.3654,0.2413,0.2471,0.2076,0.3222,0.3433,0.3108,0.0122,0.3286,0.0147,0.0911,0.2966,0.0146,0.2314,0.2648,0.2726,0.0518,0.3566,0.2568,0.1836,0.0368,0.1651,0.0169,0.0214,0.0049,0.2078,0.0025,0.3579,0.3442,0.3021,0.2191,0.3422,0.1597,0.1461,0.1202,0.1345,0.3423,0.1624,0.1620,0.1116
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1206,0.1283,0.1287,0.0938,0.0989,0.0921,0.0759,0.0093,0.2372,1.0000,0.0766,0.0367,0.0653,0.1324,0.1509,0.0816,0.0730,0.0833,0.0000,0.0896,0.0892,0.0897,0.0913,0.0928,0.0884,0.0895,0.0892,0.0929,0.0826,0.0876,0.0795,0.0934,0.0907,0.0875,0.0903,0.0918,0.0567,0.1024,0.1069,0.0484,0.1111,0.0992,0.0975,0.1122,0.0907,0.0908,0.0637,0.0892,0.0642,0.1012,0.1018,0.1649,0.0360,0.1437,0.0270,0.0644,0.1481,0.0354,0.1054,0.1033,0.1288,0.0730,0.0898,0.1106,0.0801,0.0342,0.0828,0.0254,0.0000,0.0092,0.0979,0.0000,0.0889,0.0961,0.0870,0.0675,0.0920,0.0728,0.0796,0.0702,0.1016,0.0899,0.0836,0.1086,0.1394
