ChIP,ChIP gene #,2021_GoldrathLab_Brd4___BRD4_TE-CD8,2021_GoldrathLab_Brd4___BRD4_NAV-CD8,2021_GoldrathLab_Brd4___BRD4_MP-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2021_GoldrathLab_Brd4___BRD4_TE-CD8,8410,1.0000,0.7265,0.8096,0.7229,0.7022,0.7497,0.1646,0.0041,0.4260,0.1653,0.3046,0.0135,0.2909,0.6093,0.5075,0.2848,0.3440,0.5382,0.0259,0.4061,0.7445,0.7432,0.7723,0.7505,0.7347,0.7655,0.7313,0.7675,0.5543,0.6954,0.6119,0.7409,0.7389,0.7351,0.7700,0.7620,0.1228,0.4026,0.3629,0.0704,0.6229,0.8088,0.8076,0.7617,0.7473,0.7436,0.6109,0.2667,0.2079,0.7860,0.7884,0.5732,0.0136,0.6955,0.0434,0.2877,0.5609,0.0257,0.6230,0.6757,0.6863,0.1252,0.7053,0.5946,0.5080,0.0853,0.4164,0.0245,0.0882,0.0177,0.5405,0.0041,0.7328,0.7490,0.6929,0.2302,0.7485,0.2510,0.4219,0.3648,0.4213,0.7290,0.5115,0.3303,0.2261
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,7333,0.7265,1.0000,0.7353,0.6840,0.6642,0.6586,0.1659,0.0047,0.4179,0.1737,0.2952,0.0138,0.3236,0.6239,0.5245,0.3074,0.3691,0.5432,0.0279,0.4022,0.6597,0.6493,0.6853,0.6800,0.6624,0.6781,0.6574,0.6914,0.5545,0.6215,0.5828,0.6655,0.6681,0.6424,0.6602,0.6605,0.1116,0.3883,0.3477,0.0782,0.6653,0.6718,0.6890,0.6860,0.6488,0.6369,0.5685,0.2649,0.2087,0.6794,0.6765,0.5728,0.0139,0.6199,0.0478,0.3009,0.6162,0.0293,0.5765,0.6393,0.6043,0.1252,0.6297,0.5721,0.4849,0.0904,0.4057,0.0280,0.0854,0.0154,0.5117,0.0016,0.6465,0.6600,0.6439,0.2221,0.6557,0.2548,0.4096,0.3934,0.4227,0.6463,0.5041,0.3646,0.2631
2021_GoldrathLab_Brd4___BRD4_MP-CD8,7086,0.8096,0.7353,1.0000,0.6760,0.6646,0.6695,0.1787,0.0046,0.4266,0.1865,0.3202,0.0167,0.3048,0.5923,0.5080,0.2964,0.3610,0.5447,0.0258,0.4169,0.6775,0.6653,0.6985,0.6838,0.6681,0.6947,0.6649,0.6934,0.5312,0.6537,0.5819,0.6715,0.6702,0.6562,0.6931,0.6900,0.1221,0.4015,0.3575,0.0753,0.6075,0.7210,0.7341,0.7119,0.6652,0.6620,0.5754,0.2690,0.2070,0.7240,0.7113,0.5741,0.0167,0.6838,0.0486,0.3105,0.5735,0.0272,0.6208,0.6560,0.6787,0.1400,0.6404,0.5928,0.5066,0.0937,0.4317,0.0274,0.0953,0.0182,0.5515,0.0030,0.6592,0.6691,0.6406,0.2249,0.6680,0.2576,0.4280,0.3906,0.4397,0.6569,0.5061,0.3444,0.2470
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,0.7229,0.6840,0.6760,1.0000,0.8747,0.7355,0.1371,0.0042,0.4134,0.1596,0.2555,0.0195,0.2788,0.5872,0.4808,0.2691,0.3290,0.5066,0.0222,0.3687,0.7341,0.7309,0.7654,0.7436,0.7222,0.7511,0.7261,0.7566,0.5932,0.6742,0.6291,0.7472,0.7281,0.7196,0.7311,0.7284,0.0999,0.3733,0.3464,0.0677,0.6261,0.7619,0.7638,0.7258,0.7253,0.7217,0.5785,0.2420,0.1913,0.7457,0.7610,0.5305,0.0195,0.5780,0.0459,0.2790,0.5337,0.0277,0.5752,0.6177,0.5814,0.1157,0.6931,0.5512,0.4600,0.0783,0.3828,0.0208,0.0828,0.0181,0.4868,0.0042,0.7425,0.7240,0.7314,0.2102,0.7327,0.2417,0.3810,0.3458,0.3866,0.7205,0.4711,0.3324,0.2297
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.7022,0.6642,0.6646,0.8747,1.0000,0.7117,0.1373,0.0043,0.4089,0.1671,0.2610,0.0188,0.2731,0.5694,0.4649,0.2649,0.3176,0.4969,0.0231,0.3687,0.7123,0.7108,0.7368,0.7232,0.7018,0.7250,0.7039,0.7319,0.5819,0.6667,0.6167,0.7317,0.7059,0.6968,0.7180,0.7115,0.0933,0.3718,0.3365,0.0672,0.6197,0.7312,0.7463,0.7023,0.7029,0.6976,0.5776,0.2406,0.1885,0.7267,0.7218,0.5364,0.0188,0.5810,0.0461,0.2784,0.5437,0.0288,0.5570,0.6044,0.5725,0.1200,0.6698,0.5390,0.4531,0.0797,0.3779,0.0231,0.0843,0.0188,0.4841,0.0043,0.7146,0.6969,0.7043,0.2065,0.7059,0.2521,0.3724,0.3434,0.3871,0.6907,0.4774,0.3315,0.2312
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.7497,0.6586,0.6695,0.7355,0.7117,1.0000,0.1348,0.0043,0.4000,0.1403,0.2558,0.0172,0.2641,0.6347,0.4984,0.2548,0.3203,0.5329,0.0204,0.3819,0.9421,0.9358,0.8776,0.9002,0.9156,0.8963,0.9177,0.8636,0.5058,0.6414,0.5877,0.8705,0.8811,0.9198,0.8707,0.8714,0.1592,0.4795,0.4476,0.0910,0.5593,0.8754,0.8481,0.7016,0.9311,0.9345,0.6628,0.3354,0.2503,0.7296,0.8457,0.5248,0.0161,0.5784,0.0387,0.2751,0.5227,0.0247,0.5992,0.6829,0.5713,0.0986,0.8721,0.6281,0.4911,0.0718,0.3996,0.0193,0.0707,0.0161,0.5204,0.0032,0.9176,0.8889,0.7174,0.3053,0.9151,0.2246,0.3907,0.3066,0.3604,0.9234,0.4605,0.2874,0.1899
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.1646,0.1659,0.1787,0.1371,0.1373,0.1348,1.0000,0.0000,0.1369,0.0820,0.3741,0.0282,0.2257,0.1713,0.1644,0.2248,0.2368,0.1893,0.0274,0.2176,0.1349,0.1339,0.1403,0.1370,0.1369,0.1370,0.1354,0.1365,0.1234,0.1405,0.1398,0.1323,0.1386,0.1322,0.1397,0.1438,0.1498,0.1836,0.1647,0.1474,0.1392,0.1356,0.1390,0.1476,0.1343,0.1383,0.1751,0.1790,0.1879,0.1350,0.1387,0.1820,0.0357,0.2109,0.1216,0.2421,0.1761,0.0265,0.1891,0.1707,0.2074,0.2874,0.1376,0.1869,0.2004,0.0815,0.2220,0.0276,0.1243,0.0357,0.2123,0.0076,0.1320,0.1384,0.1455,0.1676,0.1326,0.1544,0.2257,0.2485,0.2963,0.1284,0.2162,0.1609,0.1756
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0041,0.0047,0.0046,0.0042,0.0043,0.0043,0.0000,1.0000,0.0078,0.0147,0.0079,0.0000,0.0038,0.0064,0.0084,0.0040,0.0063,0.0056,0.0000,0.0027,0.0042,0.0043,0.0034,0.0044,0.0044,0.0044,0.0044,0.0045,0.0040,0.0032,0.0035,0.0047,0.0033,0.0041,0.0044,0.0034,0.0128,0.0063,0.0067,0.0110,0.0055,0.0034,0.0035,0.0043,0.0045,0.0044,0.0045,0.0121,0.0123,0.0042,0.0036,0.0058,0.0000,0.0054,0.0000,0.0075,0.0078,0.0000,0.0051,0.0043,0.0054,0.0208,0.0043,0.0047,0.0020,0.0000,0.0025,0.0000,0.0139,0.0556,0.0057,0.0000,0.0044,0.0032,0.0041,0.0064,0.0031,0.0000,0.0052,0.0102,0.0083,0.0041,0.0044,0.0072,0.0111
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.4260,0.4179,0.4266,0.4134,0.4089,0.4000,0.1369,0.0078,1.0000,0.3308,0.2441,0.0256,0.2447,0.4919,0.4719,0.2397,0.3017,0.3685,0.0279,0.2916,0.4021,0.4034,0.4133,0.4141,0.4131,0.4126,0.4138,0.4154,0.3502,0.3970,0.3855,0.4398,0.3991,0.3917,0.4033,0.3913,0.1395,0.3538,0.3212,0.0750,0.4094,0.4173,0.4319,0.4291,0.4079,0.4048,0.3722,0.2786,0.2266,0.4154,0.4118,0.4625,0.0230,0.4456,0.0605,0.2428,0.3935,0.0250,0.3602,0.3715,0.4039,0.1244,0.4103,0.3524,0.3415,0.0913,0.3032,0.0280,0.0940,0.0256,0.3727,0.0052,0.4178,0.3981,0.4269,0.2305,0.3954,0.2077,0.3432,0.2607,0.3186,0.3926,0.3312,0.2922,0.2401
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1653,0.1737,0.1865,0.1596,0.1671,0.1403,0.0820,0.0147,0.3308,1.0000,0.1221,0.0563,0.1550,0.1943,0.2163,0.1480,0.1821,0.1693,0.0267,0.1567,0.1391,0.1394,0.1460,0.1438,0.1438,0.1450,0.1435,0.1461,0.1618,0.1677,0.1653,0.1516,0.1393,0.1363,0.1466,0.1356,0.0667,0.1338,0.1252,0.0374,0.1801,0.1505,0.1558,0.1678,0.1451,0.1440,0.1486,0.1124,0.1023,0.1621,0.1501,0.2004,0.0493,0.1969,0.0828,0.1303,0.2011,0.0127,0.1521,0.1502,0.1792,0.1068,0.1444,0.1484,0.1607,0.1469,0.1659,0.0338,0.0741,0.0276,0.1532,0.0074,0.1438,0.1403,0.1649,0.0965,0.1368,0.1410,0.1354,0.1390,0.1382,0.1360,0.1459,0.2000,0.2283
