ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,1.0000,0.8176,0.5113,0.0558,0.0052,0.3674,0.1529,0.0995,0.0193,0.1171,0.4761,0.3875,0.1132,0.1571,0.2676,0.0188,0.1869,0.5416,0.5322,0.6210,0.5887,0.5494,0.6031,0.5654,0.6168,0.5157,0.5709,0.5286,0.6063,0.5332,0.4964,0.5725,0.5229,0.0585,0.1925,0.1763,0.0337,0.5487,0.6162,0.6380,0.5986,0.5386,0.5323,0.3162,0.1190,0.0953,0.6503,0.6430,0.3803,0.0174,0.4463,0.0238,0.1221,0.3867,0.0129,0.3514,0.3943,0.4184,0.0423,0.3828,0.2994,0.2241,0.0514,0.1969,0.0166,0.0303,0.0129,0.2475,0.0086,0.5532,0.5166,0.6018,0.1384,0.5449,0.2548,0.1829,0.1678,0.1825,0.4920,0.2269,0.1942,0.1227
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.8176,1.0000,0.4732,0.0561,0.0044,0.3647,0.1583,0.1025,0.0223,0.1201,0.4570,0.3804,0.1152,0.1624,0.2642,0.0192,0.1919,0.4994,0.4904,0.5739,0.5445,0.5068,0.5548,0.5230,0.5697,0.4992,0.5489,0.5124,0.5619,0.4990,0.4553,0.5357,0.4973,0.0549,0.1826,0.1684,0.0305,0.5391,0.5716,0.5945,0.5831,0.5013,0.4950,0.3134,0.1120,0.0903,0.6143,0.6009,0.3820,0.0200,0.4387,0.0261,0.1254,0.3825,0.0135,0.3474,0.3822,0.4112,0.0449,0.3523,0.2931,0.2237,0.0548,0.1962,0.0177,0.0332,0.0138,0.2494,0.0094,0.5086,0.4796,0.5712,0.1288,0.4998,0.2533,0.1883,0.1692,0.1833,0.4507,0.2311,0.2006,0.1273
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.5113,0.4732,1.0000,0.0500,0.0063,0.3407,0.1106,0.0960,0.0162,0.1045,0.4912,0.3575,0.1010,0.1458,0.2885,0.0143,0.1707,0.8367,0.8533,0.7037,0.7473,0.8110,0.7281,0.7866,0.7104,0.3713,0.4732,0.4267,0.7428,0.6898,0.7861,0.6731,0.6558,0.2326,0.4108,0.3965,0.1464,0.4113,0.6978,0.6769,0.4996,0.8216,0.8320,0.3656,0.3140,0.2727,0.6107,0.6450,0.3280,0.0135,0.4026,0.0167,0.1090,0.3274,0.0116,0.3443,0.4363,0.3705,0.0313,0.6622,0.3559,0.2381,0.0395,0.1949,0.0125,0.0258,0.0102,0.2688,0.0052,0.8363,0.6982,0.5387,0.3383,0.7395,0.2100,0.1843,0.1341,0.1666,0.7691,0.1997,0.1456,0.0869
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0558,0.0561,0.0500,1.0000,0.0084,0.0593,0.0545,0.2842,0.0262,0.1465,0.0674,0.0732,0.1433,0.1410,0.1031,0.0313,0.1267,0.0487,0.0482,0.0568,0.0537,0.0505,0.0540,0.0510,0.0567,0.0482,0.0519,0.0528,0.0490,0.0577,0.0502,0.0622,0.0637,0.0421,0.0574,0.0558,0.0430,0.0559,0.0579,0.0581,0.0632,0.0512,0.0509,0.0927,0.0521,0.0487,0.0569,0.0590,0.0837,0.0201,0.1015,0.0609,0.1460,0.0886,0.0237,0.1033,0.0866,0.1147,0.2321,0.0407,0.1013,0.1135,0.0477,0.1186,0.0178,0.0849,0.0314,0.1197,0.0133,0.0464,0.0555,0.0546,0.0440,0.0522,0.0650,0.1293,0.1488,0.2001,0.0486,0.1526,0.0907,0.1047
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0052,0.0044,0.0063,0.0084,1.0000,0.0054,0.0047,0.0093,0.0283,0.0078,0.0051,0.0050,0.0068,0.0108,0.0091,0.0149,0.0079,0.0052,0.0052,0.0044,0.0046,0.0042,0.0046,0.0041,0.0045,0.0034,0.0035,0.0036,0.0041,0.0038,0.0045,0.0041,0.0043,0.0106,0.0071,0.0076,0.0045,0.0037,0.0040,0.0043,0.0041,0.0058,0.0053,0.0025,0.0096,0.0103,0.0036,0.0038,0.0090,0.0132,0.0065,0.0190,0.0107,0.0049,0.0027,0.0076,0.0080,0.0047,0.0127,0.0102,0.0074,0.0076,0.0037,0.0079,0.0000,0.0157,0.0089,0.0104,0.0078,0.0045,0.0044,0.0029,0.0073,0.0049,0.0048,0.0116,0.0089,0.0085,0.0050,0.0055,0.0071,0.0072
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.3674,0.3647,0.3407,0.0593,0.0054,1.0000,0.2942,0.0985,0.0164,0.1118,0.4130,0.4180,0.1078,0.1407,0.2223,0.0182,0.1719,0.3496,0.3482,0.3726,0.3792,0.3628,0.3659,0.3705,0.3737,0.2918,0.3240,0.3112,0.4021,0.3315,0.3116,0.3455,0.3288,0.1083,0.2057,0.1956,0.0711,0.3760,0.3762,0.3916,0.3997,0.3651,0.3677,0.2645,0.1593,0.1408,0.3898,0.3862,0.3633,0.0146,0.3863,0.0200,0.1199,0.3152,0.0146,0.2525,0.2755,0.3292,0.0413,0.2579,0.2348,0.1962,0.0468,0.1740,0.0160,0.0317,0.0122,0.2161,0.0056,0.3614,0.3205,0.3509,0.1525,0.3321,0.1900,0.1744,0.1336,0.1622,0.3080,0.1870,0.1954,0.1340
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1529,0.1583,0.1106,0.0545,0.0047,0.2942,1.0000,0.0734,0.0319,0.0808,0.1679,0.1941,0.0775,0.0968,0.1077,0.0192,0.1095,0.1145,0.1135,0.1312,0.1265,0.1183,0.1272,0.1217,0.1310,0.1339,0.1423,0.1376,0.1345,0.1156,0.1004,0.1219,0.1170,0.0322,0.0712,0.0688,0.0185,0.1724,0.1335,0.1411,0.1632,0.1203,0.1207,0.1093,0.0496,0.0452,0.1513,0.1453,0.1988,0.0273,0.1950,0.0326,0.0899,0.1803,0.0154,0.1261,0.1219,0.1700,0.0536,0.0824,0.1068,0.1021,0.0676,0.0992,0.0260,0.0428,0.0175,0.1132,0.0101,0.1175,0.1097,0.1357,0.0489,0.1128,0.1075,0.1006,0.0892,0.1008,0.1001,0.1066,0.1642,0.1446
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.0995,0.1025,0.0960,0.2842,0.0093,0.0985,0.0734,1.0000,0.0223,0.2212,0.1174,0.1302,0.2157,0.2453,0.2172,0.0251,0.2019,0.0955,0.0945,0.1095,0.1027,0.0987,0.1060,0.0997,0.1106,0.0926,0.1006,0.0990,0.0947,0.1132,0.1005,0.1221,0.1236,0.0711,0.1079,0.1071,0.0653,0.1000,0.1138,0.1119,0.1167,0.0994,0.0995,0.1716,0.1027,0.0910,0.1076,0.1138,0.1366,0.0182,0.1677,0.0458,0.2053,0.1406,0.0355,0.2147,0.1853,0.1852,0.1543,0.0784,0.2037,0.2334,0.0543,0.2419,0.0193,0.1078,0.0311,0.2670,0.0050,0.0934,0.1143,0.1048,0.0865,0.1083,0.0909,0.3054,0.2034,0.2912,0.0977,0.2555,0.1261,0.1092
2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.0193,0.0223,0.0162,0.0262,0.0283,0.0164,0.0319,0.0223,1.0000,0.0224,0.0138,0.0128,0.0184,0.0901,0.0168,0.1095,0.0229,0.0105,0.0105,0.0093,0.0095,0.0102,0.0098,0.0097,0.0096,0.0080,0.0094,0.0093,0.0097,0.0096,0.0099,0.0096,0.0103,0.0189,0.0146,0.0175,0.0121,0.0094,0.0097,0.0093,0.0102,0.0120,0.0108,0.0104,0.0147,0.0151,0.0089,0.0104,0.0326,0.4572,0.0335,0.3083,0.0747,0.0162,0.0118,0.0342,0.0263,0.0153,0.0402,0.0130,0.0137,0.0161,0.0058,0.0215,0.0045,0.1348,0.1746,0.0221,0.2629,0.0117,0.0108,0.0107,0.0170,0.0103,0.0247,0.0270,0.0137,0.0149,0.0104,0.0125,0.0307,0.0217
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.1171,0.1201,0.1045,0.1465,0.0078,0.1118,0.0808,0.2212,0.0224,1.0000,0.1747,0.2296,0.8043,0.4693,0.3166,0.0267,0.2737,0.1065,0.1061,0.1220,0.1244,0.1143,0.1271,0.1170,0.1265,0.1083,0.1139,0.1057,0.1075,0.1201,0.1035,0.1216,0.1252,0.0606,0.0934,0.0933,0.0475,0.1209,0.1193,0.1197,0.1313,0.1089,0.1090,0.1606,0.0819,0.0725,0.1215,0.1271,0.1371,0.0185,0.1455,0.0396,0.1684,0.1493,0.0256,0.2024,0.1796,0.1548,0.0807,0.0828,0.1842,0.2158,0.0516,0.2225,0.0161,0.0820,0.0219,0.2054,0.0065,0.1038,0.1184,0.1179,0.0736,0.1166,0.0938,0.2215,0.1706,0.2185,0.1033,0.2272,0.1402,0.1261
