ChIP,ChIP gene #,2021_GoldrathLab_Brd4___BRD4_TE-CD8,2021_GoldrathLab_Brd4___BRD4_NAV-CD8,2021_GoldrathLab_Brd4___BRD4_MP-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2021_GoldrathLab_Brd4___BRD4_TE-CD8,8410,1.0000,0.7274,0.7465,0.6533,0.6244,0.7218,0.0703,0.0032,0.4229,0.1712,0.1215,0.0074,0.1390,0.5816,0.4406,0.1332,0.1731,0.3371,0.0145,0.2275,0.7160,0.7144,0.7290,0.7203,0.7150,0.7245,0.7134,0.7313,0.5305,0.6190,0.5777,0.7186,0.6832,0.7045,0.7155,0.6733,0.0816,0.2808,0.2603,0.0363,0.6067,0.7429,0.7519,0.6858,0.7235,0.7222,0.3973,0.1585,0.1203,0.7609,0.7609,0.4551,0.0064,0.5981,0.0148,0.1185,0.4614,0.0148,0.4592,0.5367,0.5662,0.0464,0.7067,0.4159,0.2975,0.0633,0.2575,0.0193,0.0311,0.0077,0.3231,0.0023,0.7121,0.7099,0.6673,0.2073,0.7134,0.3127,0.2295,0.1872,0.2269,0.7076,0.2627,0.2014,0.1331
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,7333,0.7274,1.0000,0.7196,0.6053,0.5836,0.6061,0.0661,0.0031,0.4127,0.1849,0.1153,0.0076,0.1451,0.5420,0.4424,0.1380,0.1774,0.3293,0.0176,0.2237,0.6078,0.6054,0.6166,0.6127,0.6045,0.6139,0.6070,0.6187,0.5088,0.5536,0.5322,0.6170,0.5832,0.5921,0.6036,0.5790,0.0676,0.2556,0.2329,0.0339,0.6189,0.6210,0.6336,0.6460,0.5984,0.5972,0.3488,0.1432,0.1044,0.6432,0.6417,0.4671,0.0061,0.5457,0.0157,0.1208,0.4778,0.0137,0.4266,0.4916,0.5094,0.0464,0.5956,0.3750,0.2763,0.0680,0.2416,0.0225,0.0307,0.0073,0.3028,0.0015,0.6045,0.5976,0.5854,0.1861,0.6001,0.2946,0.2209,0.2045,0.2224,0.5945,0.2480,0.2187,0.1555
2021_GoldrathLab_Brd4___BRD4_MP-CD8,7086,0.7465,0.7196,1.0000,0.5819,0.5615,0.6026,0.0789,0.0038,0.4258,0.1905,0.1373,0.0084,0.1513,0.5451,0.4431,0.1441,0.1876,0.3468,0.0157,0.2367,0.6025,0.5982,0.6162,0.6080,0.5991,0.6061,0.5974,0.6163,0.4939,0.5483,0.5151,0.6083,0.5871,0.5913,0.6147,0.5937,0.0808,0.2675,0.2470,0.0347,0.5798,0.6269,0.6361,0.6329,0.6027,0.5991,0.3835,0.1526,0.1141,0.6401,0.6438,0.4664,0.0065,0.5760,0.0157,0.1239,0.4676,0.0165,0.4606,0.5231,0.5462,0.0537,0.5944,0.4197,0.3118,0.0689,0.2723,0.0234,0.0351,0.0084,0.3437,0.0019,0.5961,0.6037,0.5850,0.1891,0.5982,0.2824,0.2473,0.2099,0.2456,0.5941,0.2764,0.2115,0.1493
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,0.6533,0.6053,0.5819,1.0000,0.8487,0.6942,0.0569,0.0036,0.4031,0.1595,0.0971,0.0088,0.1237,0.5575,0.4291,0.1173,0.1583,0.3032,0.0147,0.2039,0.7072,0.7025,0.7243,0.7122,0.6948,0.7202,0.6988,0.7232,0.5643,0.6340,0.5942,0.7188,0.6937,0.7002,0.7165,0.6761,0.0648,0.2555,0.2372,0.0310,0.6061,0.7214,0.7287,0.6592,0.6871,0.6835,0.3620,0.1419,0.1022,0.7322,0.7315,0.4250,0.0069,0.5007,0.0150,0.1081,0.4171,0.0111,0.4120,0.4910,0.4768,0.0396,0.6811,0.3728,0.2605,0.0543,0.2245,0.0156,0.0269,0.0065,0.2871,0.0026,0.7078,0.7064,0.7207,0.1912,0.7063,0.2957,0.2042,0.1672,0.1947,0.7021,0.2366,0.1973,0.1266
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.6244,0.5836,0.5615,0.8487,1.0000,0.6390,0.0582,0.0036,0.4018,0.1658,0.0969,0.0089,0.1245,0.5329,0.4211,0.1186,0.1555,0.2996,0.0156,0.2118,0.6494,0.6447,0.6651,0.6576,0.6400,0.6607,0.6450,0.6644,0.5465,0.6026,0.5745,0.6599,0.6537,0.6430,0.6697,0.6436,0.0605,0.2465,0.2316,0.0288,0.5972,0.6646,0.6712,0.6347,0.6327,0.6302,0.3574,0.1354,0.1006,0.6818,0.6748,0.4178,0.0075,0.4789,0.0156,0.1073,0.4121,0.0110,0.3984,0.4650,0.4622,0.0406,0.6267,0.3619,0.2552,0.0588,0.2197,0.0170,0.0278,0.0068,0.2794,0.0025,0.6478,0.6533,0.6754,0.1792,0.6472,0.2907,0.2051,0.1662,0.1893,0.6444,0.2392,0.2014,0.1307
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.7218,0.6061,0.6026,0.6942,0.6390,1.0000,0.0548,0.0032,0.4200,0.1431,0.1014,0.0074,0.1215,0.6130,0.4451,0.1168,0.1555,0.3230,0.0128,0.2040,0.9368,0.9417,0.8965,0.9053,0.9330,0.9092,0.9238,0.8982,0.5120,0.6507,0.5880,0.9041,0.8151,0.9184,0.8405,0.7719,0.1128,0.3328,0.3092,0.0548,0.5569,0.8895,0.8719,0.6661,0.9356,0.9315,0.4091,0.1999,0.1520,0.8307,0.8602,0.4048,0.0061,0.5223,0.0128,0.1064,0.4038,0.0115,0.4208,0.5304,0.4837,0.0351,0.9096,0.4158,0.2786,0.0524,0.2391,0.0159,0.0260,0.0064,0.3060,0.0020,0.9357,0.8631,0.7566,0.2532,0.9077,0.2880,0.2111,0.1502,0.1903,0.9102,0.2321,0.1728,0.1066
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0703,0.0661,0.0789,0.0569,0.0582,0.0548,1.0000,0.0000,0.0612,0.0582,0.3057,0.0077,0.1574,0.0675,0.0740,0.1487,0.1622,0.1125,0.0443,0.1353,0.0521,0.0522,0.0549,0.0528,0.0539,0.0527,0.0518,0.0549,0.0496,0.0550,0.0575,0.0514,0.0581,0.0530,0.0591,0.0635,0.0667,0.0821,0.0785,0.0569,0.0540,0.0557,0.0564,0.0591,0.0563,0.0560,0.1038,0.0798,0.0691,0.0556,0.0573,0.0868,0.0159,0.0940,0.0599,0.1592,0.0828,0.0294,0.1074,0.0887,0.1018,0.2328,0.0557,0.1086,0.1254,0.0536,0.1294,0.0273,0.1100,0.0320,0.1311,0.0042,0.0509,0.0565,0.0580,0.0688,0.0531,0.0657,0.1403,0.1644,0.2056,0.0529,0.1611,0.0757,0.1005
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0032,0.0031,0.0038,0.0036,0.0036,0.0032,0.0000,1.0000,0.0056,0.0049,0.0023,0.0238,0.0038,0.0034,0.0031,0.0020,0.0044,0.0056,0.0317,0.0046,0.0031,0.0031,0.0032,0.0032,0.0032,0.0029,0.0032,0.0032,0.0031,0.0028,0.0023,0.0033,0.0032,0.0030,0.0031,0.0031,0.0080,0.0063,0.0045,0.0041,0.0041,0.0030,0.0031,0.0034,0.0033,0.0034,0.0023,0.0047,0.0076,0.0033,0.0030,0.0058,0.0270,0.0045,0.0156,0.0088,0.0046,0.0164,0.0054,0.0043,0.0039,0.0128,0.0032,0.0049,0.0057,0.0000,0.0067,0.0000,0.0081,0.0256,0.0081,0.0500,0.0031,0.0032,0.0035,0.0064,0.0030,0.0041,0.0076,0.0047,0.0049,0.0030,0.0040,0.0082,0.0044
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.4229,0.4127,0.4258,0.4031,0.4018,0.4200,0.0612,0.0056,1.0000,0.3099,0.1122,0.0078,0.1210,0.4522,0.4507,0.1147,0.1561,0.2740,0.0172,0.1913,0.4180,0.4186,0.4195,0.4265,0.4240,0.4170,0.4256,0.4201,0.3163,0.3503,0.3304,0.4322,0.4076,0.4060,0.4196,0.4067,0.1063,0.2703,0.2595,0.0512,0.4104,0.4223,0.4287,0.4366,0.4215,0.4240,0.2993,0.1917,0.1560,0.4257,0.4287,0.4157,0.0073,0.4311,0.0178,0.1203,0.3393,0.0133,0.3027,0.3406,0.3613,0.0400,0.4213,0.2969,0.2415,0.0515,0.2096,0.0204,0.0350,0.0101,0.2639,0.0028,0.4196,0.4129,0.4090,0.2085,0.4101,0.2060,0.2108,0.1420,0.1723,0.4084,0.2126,0.2008,0.1438
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1712,0.1849,0.1905,0.1595,0.1658,0.1431,0.0582,0.0049,0.3099,1.0000,0.0848,0.0128,0.0913,0.1788,0.2023,0.0902,0.1163,0.1422,0.0218,0.1253,0.1426,0.1427,0.1458,0.1465,0.1444,0.1445,0.1445,0.1457,0.1402,0.1430,0.1421,0.1480,0.1460,0.1384,0.1485,0.1484,0.0560,0.1171,0.1197,0.0295,0.1772,0.1471,0.1506,0.1724,0.1451,0.1457,0.1409,0.0866,0.0828,0.1565,0.1528,0.2234,0.0129,0.2110,0.0202,0.0824,0.1864,0.0155,0.1522,0.1532,0.1820,0.0490,0.1450,0.1390,0.1222,0.0658,0.1098,0.0305,0.0452,0.0112,0.1481,0.0049,0.1433,0.1444,0.1557,0.1064,0.1411,0.1119,0.1301,0.0985,0.1057,0.1402,0.1203,0.1673,0.1546
