ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,1.0000,0.8732,0.6513,0.0784,0.0053,0.4429,0.1836,0.1240,0.0177,0.1443,0.5647,0.4396,0.1365,0.1811,0.3303,0.0177,0.2253,0.6616,0.6582,0.6915,0.6805,0.6567,0.6818,0.6638,0.6918,0.5700,0.6351,0.5905,0.6854,0.6534,0.6484,0.6788,0.6541,0.0728,0.2777,0.2579,0.0322,0.6035,0.6994,0.7060,0.6568,0.6421,0.6482,0.4196,0.1708,0.1386,0.7031,0.7135,0.4814,0.0204,0.5343,0.0284,0.1624,0.4768,0.0159,0.4238,0.5022,0.4898,0.0779,0.6429,0.4001,0.2794,0.0613,0.2291,0.0149,0.0271,0.0106,0.3237,0.0036,0.6699,0.6597,0.7130,0.1798,0.6687,0.2689,0.2418,0.2443,0.2633,0.6541,0.3320,0.2441,0.1694
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.8732,1.0000,0.6214,0.0762,0.0056,0.4414,0.1898,0.1335,0.0176,0.1457,0.5457,0.4300,0.1396,0.1901,0.3394,0.0186,0.2288,0.6298,0.6275,0.6656,0.6547,0.6286,0.6521,0.6364,0.6658,0.5681,0.6311,0.5806,0.6581,0.6346,0.6216,0.6590,0.6445,0.0671,0.2741,0.2538,0.0239,0.6050,0.6750,0.6800,0.6608,0.6137,0.6184,0.4293,0.1633,0.1352,0.6840,0.6946,0.4906,0.0204,0.5328,0.0288,0.1646,0.4690,0.0148,0.4307,0.4989,0.4942,0.0815,0.6107,0.4029,0.2806,0.0631,0.2286,0.0146,0.0331,0.0130,0.3368,0.0037,0.6367,0.6345,0.6907,0.1664,0.6400,0.2644,0.2584,0.2509,0.2737,0.6251,0.3451,0.2540,0.1688
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.6513,0.6214,1.0000,0.0736,0.0038,0.4513,0.1570,0.1254,0.0144,0.1369,0.6067,0.4397,0.1340,0.1766,0.3637,0.0144,0.2279,0.9218,0.9328,0.8688,0.8794,0.9147,0.8799,0.9016,0.8673,0.4807,0.6223,0.5683,0.8883,0.8158,0.9081,0.8243,0.7819,0.1491,0.4059,0.3871,0.0743,0.5278,0.8461,0.8333,0.6380,0.9270,0.9240,0.4774,0.2750,0.2286,0.7613,0.7970,0.4510,0.0144,0.5380,0.0213,0.1517,0.4449,0.0131,0.4385,0.5566,0.4991,0.0644,0.8858,0.4535,0.2985,0.0618,0.2392,0.0206,0.0288,0.0100,0.3544,0.0025,0.9253,0.8538,0.6864,0.2839,0.8923,0.2502,0.2451,0.2066,0.2467,0.9021,0.3127,0.2158,0.1386
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0784,0.0762,0.0736,1.0000,0.0077,0.0702,0.0724,0.3115,0.0423,0.1601,0.0829,0.0876,0.1757,0.1667,0.1336,0.0350,0.1561,0.0678,0.0677,0.0751,0.0744,0.0725,0.0730,0.0721,0.0748,0.0663,0.0747,0.0763,0.0712,0.0789,0.0733,0.0815,0.0851,0.0876,0.0976,0.0943,0.0596,0.0719,0.0769,0.0758,0.0853,0.0726,0.0711,0.1228,0.0758,0.0826,0.0769,0.0790,0.1101,0.0423,0.1250,0.0890,0.1804,0.1121,0.0208,0.1363,0.1164,0.1305,0.2762,0.0750,0.1353,0.1541,0.0651,0.1503,0.0127,0.0750,0.0000,0.1653,0.0078,0.0661,0.0781,0.0791,0.0811,0.0717,0.0775,0.1522,0.1821,0.2306,0.0716,0.1782,0.1093,0.1139
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0053,0.0056,0.0038,0.0077,1.0000,0.0067,0.0114,0.0137,0.0000,0.0043,0.0029,0.0054,0.0044,0.0098,0.0047,0.0357,0.0026,0.0037,0.0037,0.0039,0.0039,0.0038,0.0038,0.0038,0.0039,0.0061,0.0055,0.0041,0.0040,0.0034,0.0035,0.0033,0.0042,0.0000,0.0057,0.0045,0.0000,0.0044,0.0040,0.0041,0.0054,0.0039,0.0040,0.0024,0.0063,0.0051,0.0046,0.0044,0.0067,0.0000,0.0055,0.0000,0.0120,0.0080,0.0000,0.0081,0.0063,0.0047,0.0182,0.0037,0.0077,0.0059,0.0000,0.0049,0.0000,0.0000,0.0000,0.0082,0.0000,0.0037,0.0038,0.0049,0.0041,0.0036,0.0024,0.0095,0.0118,0.0096,0.0036,0.0038,0.0056,0.0087
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.4429,0.4414,0.4513,0.0702,0.0067,1.0000,0.3141,0.1202,0.0172,0.1459,0.4838,0.4821,0.1363,0.1846,0.3086,0.0199,0.2216,0.4465,0.4489,0.4464,0.4562,0.4530,0.4435,0.4551,0.4468,0.3402,0.3862,0.3741,0.4669,0.4253,0.4269,0.4271,0.4242,0.1168,0.2961,0.2989,0.0560,0.4533,0.4623,0.4617,0.4637,0.4527,0.4524,0.3271,0.2236,0.1983,0.4501,0.4592,0.4512,0.0172,0.4586,0.0291,0.1616,0.3892,0.0173,0.3268,0.3857,0.3859,0.0678,0.4451,0.3272,0.2505,0.0600,0.2074,0.0170,0.0353,0.0147,0.2938,0.0027,0.4520,0.4338,0.4453,0.2126,0.4342,0.2081,0.2291,0.1987,0.2280,0.4286,0.2734,0.2370,0.1755
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1836,0.1898,0.1570,0.0724,0.0114,0.3141,1.0000,0.0917,0.0366,0.1086,0.2030,0.2274,0.0977,0.1263,0.1634,0.0291,0.1353,0.1572,0.1579,0.1610,0.1624,0.1576,0.1594,0.1589,0.1603,0.1594,0.1719,0.1629,0.1624,0.1630,0.1511,0.1624,0.1645,0.0833,0.1408,0.1507,0.0213,0.2025,0.1679,0.1696,0.1988,0.1609,0.1623,0.1516,0.1042,0.1043,0.1715,0.1752,0.2370,0.0366,0.2251,0.0463,0.1140,0.2072,0.0181,0.1844,0.1916,0.2004,0.1024,0.1544,0.1670,0.1471,0.0931,0.1333,0.0208,0.0660,0.0110,0.1604,0.0038,0.1581,0.1581,0.1766,0.1131,0.1565,0.1436,0.1409,0.1203,0.1366,0.1528,0.1515,0.1953,0.1735
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.1240,0.1335,0.1254,0.3115,0.0137,0.1202,0.0917,1.0000,0.0346,0.2355,0.1318,0.1429,0.2507,0.2634,0.2496,0.0302,0.2311,0.1179,0.1158,0.1270,0.1262,0.1231,0.1246,0.1232,0.1291,0.1292,0.1315,0.1300,0.1204,0.1352,0.1266,0.1395,0.1443,0.0993,0.1603,0.1549,0.0625,0.1279,0.1347,0.1333,0.1482,0.1239,0.1218,0.2005,0.1393,0.1445,0.1321,0.1340,0.1697,0.0346,0.1979,0.0917,0.2609,0.1671,0.0259,0.2345,0.2014,0.2077,0.2105,0.1256,0.2339,0.2544,0.0631,0.2684,0.0080,0.1239,0.0357,0.2997,0.0046,0.1147,0.1355,0.1336,0.1410,0.1258,0.0952,0.3389,0.2545,0.3043,0.1261,0.2698,0.1858,0.1418
2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.0177,0.0176,0.0144,0.0423,0.0000,0.0172,0.0366,0.0346,1.0000,0.0327,0.0153,0.0159,0.0336,0.0691,0.0187,0.1500,0.0225,0.0129,0.0135,0.0116,0.0122,0.0132,0.0126,0.0121,0.0123,0.0083,0.0091,0.0122,0.0132,0.0141,0.0129,0.0139,0.0148,0.0291,0.0213,0.0223,0.0138,0.0153,0.0128,0.0117,0.0125,0.0142,0.0138,0.0168,0.0207,0.0174,0.0106,0.0118,0.0255,0.7037,0.0219,0.3571,0.0797,0.0198,0.0000,0.0282,0.0208,0.0162,0.0574,0.0134,0.0203,0.0233,0.0079,0.0290,0.0000,0.0769,0.0541,0.0294,0.1739,0.0131,0.0139,0.0122,0.0261,0.0133,0.0209,0.0278,0.0257,0.0282,0.0136,0.0225,0.0274,0.0460
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.1443,0.1457,0.1369,0.1601,0.0043,0.1459,0.1086,0.2355,0.0327,1.0000,0.1817,0.2423,0.8120,0.4986,0.3543,0.0243,0.3079,0.1381,0.1366,0.1447,0.1461,0.1417,0.1441,0.1428,0.1462,0.1419,0.1538,0.1336,0.1353,0.1461,0.1342,0.1472,0.1565,0.0722,0.1517,0.1550,0.0567,0.1513,0.1455,0.1483,0.1603,0.1379,0.1397,0.1959,0.1270,0.1220,0.1526,0.1533,0.1768,0.0285,0.1753,0.0732,0.2194,0.1912,0.0286,0.2273,0.1962,0.1808,0.1200,0.1348,0.2064,0.2213,0.0536,0.2461,0.0076,0.1036,0.0082,0.2415,0.0043,0.1337,0.1436,0.1492,0.1219,0.1384,0.1079,0.2334,0.2120,0.2432,0.1357,0.2426,0.1926,0.1599
