ChIP,ChIP gene #,2021_GoldrathLab_Brd4___BRD4_TE-CD8,2021_GoldrathLab_Brd4___BRD4_NAV-CD8,2021_GoldrathLab_Brd4___BRD4_MP-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2021_GoldrathLab_Brd4___BRD4_TE-CD8,8410,1.0000,0.7130,0.7290,0.6046,0.5740,0.6737,0.0573,0.0019,0.3920,0.1620,0.1130,0.0109,0.1255,0.5469,0.4212,0.1159,0.1585,0.3088,0.0183,0.2136,0.6690,0.6682,0.6845,0.6742,0.6665,0.6776,0.6651,0.6894,0.4994,0.5859,0.5432,0.6757,0.6281,0.6522,0.6687,0.6209,0.0763,0.2460,0.2296,0.0347,0.5724,0.7095,0.7162,0.6369,0.6753,0.6723,0.3500,0.1391,0.1047,0.7277,0.7296,0.4179,0.0098,0.5527,0.0162,0.1081,0.4406,0.0133,0.4339,0.5045,0.5228,0.0338,0.6474,0.3796,0.2712,0.0684,0.2504,0.0291,0.0280,0.0098,0.3003,0.0035,0.6636,0.6494,0.6361,0.1962,0.6618,0.2973,0.2036,0.1591,0.1971,0.6502,0.2327,0.1661,0.1031
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,7333,0.7130,1.0000,0.6938,0.5544,0.5309,0.5642,0.0553,0.0025,0.3881,0.1743,0.1042,0.0117,0.1282,0.5049,0.4202,0.1197,0.1599,0.2983,0.0228,0.2171,0.5644,0.5619,0.5770,0.5714,0.5601,0.5724,0.5645,0.5813,0.4625,0.5140,0.4890,0.5789,0.5378,0.5454,0.5631,0.5342,0.0672,0.2274,0.2164,0.0339,0.5750,0.5894,0.6052,0.6031,0.5599,0.5573,0.3114,0.1308,0.0998,0.6126,0.6047,0.4263,0.0104,0.5097,0.0157,0.1049,0.4494,0.0145,0.4056,0.4557,0.4736,0.0350,0.5442,0.3396,0.2477,0.0733,0.2354,0.0334,0.0285,0.0095,0.2779,0.0032,0.5620,0.5476,0.5543,0.1826,0.5556,0.2742,0.1914,0.1713,0.1915,0.5447,0.2161,0.1784,0.1196
2021_GoldrathLab_Brd4___BRD4_MP-CD8,7086,0.7290,0.6938,1.0000,0.5403,0.5228,0.5609,0.0645,0.0022,0.3901,0.1777,0.1238,0.0127,0.1323,0.5015,0.4140,0.1224,0.1679,0.3094,0.0190,0.2227,0.5595,0.5561,0.5778,0.5675,0.5565,0.5662,0.5571,0.5794,0.4500,0.5107,0.4759,0.5691,0.5398,0.5442,0.5746,0.5501,0.0748,0.2358,0.2224,0.0346,0.5376,0.5968,0.6039,0.5920,0.5655,0.5605,0.3363,0.1377,0.1039,0.6145,0.6142,0.4318,0.0101,0.5417,0.0177,0.1160,0.4410,0.0146,0.4237,0.4760,0.5079,0.0387,0.5435,0.3719,0.2813,0.0776,0.2609,0.0364,0.0312,0.0111,0.3070,0.0032,0.5545,0.5495,0.5538,0.1849,0.5540,0.2701,0.2093,0.1737,0.2074,0.5435,0.2372,0.1743,0.1147
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,0.6046,0.5544,0.5403,1.0000,0.8259,0.6328,0.0407,0.0013,0.3757,0.1512,0.0853,0.0124,0.1067,0.5161,0.4103,0.1025,0.1406,0.2765,0.0178,0.1835,0.6536,0.6462,0.6824,0.6640,0.6434,0.6721,0.6488,0.6798,0.5449,0.5990,0.5633,0.6767,0.6409,0.6489,0.6720,0.6179,0.0552,0.2270,0.2106,0.0274,0.5638,0.6829,0.6911,0.6242,0.6300,0.6246,0.3200,0.1260,0.0915,0.6974,0.6938,0.3770,0.0113,0.4511,0.0159,0.0960,0.3935,0.0116,0.3700,0.4284,0.4268,0.0263,0.6182,0.3202,0.2248,0.0521,0.2002,0.0186,0.0235,0.0089,0.2517,0.0038,0.6551,0.6502,0.6936,0.1795,0.6558,0.2793,0.1709,0.1305,0.1569,0.6495,0.1996,0.1611,0.0927
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.5740,0.5309,0.5228,0.8259,1.0000,0.5801,0.0426,0.0018,0.3652,0.1557,0.0850,0.0128,0.1113,0.4939,0.4010,0.1061,0.1406,0.2749,0.0178,0.1886,0.5952,0.5906,0.6221,0.6062,0.5872,0.6116,0.5938,0.6206,0.5239,0.5661,0.5360,0.6194,0.5956,0.5884,0.6231,0.5887,0.0513,0.2170,0.2039,0.0254,0.5533,0.6250,0.6366,0.6006,0.5809,0.5744,0.3151,0.1210,0.0888,0.6468,0.6395,0.3782,0.0110,0.4409,0.0166,0.0947,0.3880,0.0121,0.3633,0.4137,0.4184,0.0274,0.5661,0.3189,0.2244,0.0566,0.2020,0.0208,0.0250,0.0086,0.2522,0.0039,0.5949,0.5962,0.6440,0.1719,0.5945,0.2754,0.1768,0.1332,0.1583,0.5885,0.2043,0.1669,0.0971
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.6737,0.5642,0.5609,0.6328,0.5801,1.0000,0.0435,0.0025,0.3962,0.1312,0.0942,0.0107,0.1080,0.5819,0.4215,0.1020,0.1410,0.3062,0.0145,0.1876,0.9236,0.9312,0.8611,0.8815,0.9194,0.8799,0.9080,0.8703,0.4709,0.5923,0.5424,0.8769,0.7650,0.8914,0.7850,0.7058,0.1315,0.3289,0.3112,0.0644,0.5021,0.8415,0.8272,0.6085,0.9220,0.9207,0.3645,0.2056,0.1597,0.7968,0.8304,0.3626,0.0095,0.4636,0.0135,0.0956,0.3776,0.0108,0.3924,0.4971,0.4300,0.0238,0.8787,0.3824,0.2584,0.0539,0.2297,0.0238,0.0236,0.0086,0.2808,0.0027,0.9188,0.8257,0.7101,0.2648,0.8792,0.2699,0.1873,0.1196,0.1590,0.8818,0.1968,0.1360,0.0781
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0573,0.0553,0.0645,0.0407,0.0426,0.0435,1.0000,0.0039,0.0523,0.0551,0.2717,0.0276,0.1459,0.0554,0.0601,0.1451,0.1348,0.0922,0.0421,0.1141,0.0418,0.0416,0.0433,0.0428,0.0429,0.0425,0.0430,0.0438,0.0362,0.0394,0.0416,0.0399,0.0484,0.0428,0.0492,0.0535,0.0481,0.0689,0.0650,0.0438,0.0437,0.0437,0.0430,0.0459,0.0457,0.0445,0.0875,0.0620,0.0548,0.0432,0.0452,0.0693,0.0210,0.0813,0.0788,0.1519,0.0679,0.0203,0.0865,0.0730,0.0891,0.2367,0.0441,0.0924,0.1041,0.0522,0.1091,0.0248,0.0906,0.0360,0.1109,0.0119,0.0404,0.0462,0.0437,0.0502,0.0422,0.0571,0.1237,0.1324,0.1848,0.0424,0.1437,0.0698,0.0988
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0019,0.0025,0.0022,0.0013,0.0018,0.0025,0.0039,1.0000,0.0036,0.0055,0.0000,0.0143,0.0016,0.0024,0.0025,0.0017,0.0037,0.0034,0.0106,0.0038,0.0022,0.0024,0.0021,0.0021,0.0021,0.0019,0.0021,0.0021,0.0018,0.0014,0.0016,0.0026,0.0021,0.0023,0.0021,0.0019,0.0040,0.0038,0.0039,0.0027,0.0014,0.0020,0.0019,0.0020,0.0024,0.0026,0.0014,0.0034,0.0055,0.0017,0.0017,0.0040,0.0156,0.0023,0.0233,0.0037,0.0019,0.0135,0.0031,0.0038,0.0021,0.0070,0.0026,0.0045,0.0053,0.0000,0.0053,0.0000,0.0069,0.0167,0.0055,0.0357,0.0026,0.0025,0.0021,0.0045,0.0022,0.0040,0.0074,0.0045,0.0044,0.0025,0.0018,0.0040,0.0023
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.3920,0.3881,0.3901,0.3757,0.3652,0.3962,0.0523,0.0036,1.0000,0.3005,0.0992,0.0126,0.1099,0.4272,0.4382,0.1043,0.1362,0.2361,0.0197,0.1761,0.3933,0.3942,0.3952,0.4006,0.3973,0.3929,0.3994,0.3962,0.2796,0.3081,0.3017,0.4119,0.3844,0.3831,0.3950,0.3771,0.1044,0.2505,0.2446,0.0538,0.3664,0.3972,0.4053,0.4117,0.4008,0.4010,0.2738,0.1706,0.1404,0.4001,0.4025,0.3838,0.0131,0.4080,0.0162,0.1077,0.3179,0.0126,0.2678,0.3086,0.3402,0.0293,0.3959,0.2671,0.2088,0.0519,0.1955,0.0279,0.0274,0.0108,0.2332,0.0032,0.3928,0.3893,0.3873,0.1898,0.3848,0.1887,0.1841,0.1116,0.1589,0.3834,0.1891,0.1733,0.1127
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1620,0.1743,0.1777,0.1512,0.1557,0.1312,0.0551,0.0055,0.3005,1.0000,0.0757,0.0198,0.0774,0.1701,0.1991,0.0761,0.0968,0.1167,0.0192,0.1179,0.1298,0.1301,0.1336,0.1335,0.1307,0.1320,0.1314,0.1344,0.1193,0.1275,0.1247,0.1361,0.1358,0.1254,0.1377,0.1363,0.0460,0.1146,0.1122,0.0279,0.1626,0.1359,0.1389,0.1577,0.1326,0.1329,0.1223,0.0768,0.0712,0.1440,0.1426,0.2180,0.0186,0.2056,0.0207,0.0868,0.1768,0.0131,0.1360,0.1358,0.1740,0.0419,0.1301,0.1271,0.1120,0.0671,0.1081,0.0355,0.0367,0.0146,0.1311,0.0055,0.1297,0.1306,0.1431,0.0860,0.1281,0.0990,0.1145,0.0889,0.1051,0.1263,0.1153,0.1520,0.1319
