,ChIP
0,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
1,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
2,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
3,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
4,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
5,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
6,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
7,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
8,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
9,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
10,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
11,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
12,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
13,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
14,2017_PNAS_Li___H3K4me3-noIL2-CD4
15,2017_PNAS_Li___H3K4me3_IL2-CD4
16,2017_PNAS_Li___H3K27Ac-noIL2-CD4
17,2017_PNAS_Li___H3K27Ac_IL2-CD4
18,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
19,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
20,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
21,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
22,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
23,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
24,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory
25,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
26,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
27,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8
28,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
29,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
30,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
31,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4
32,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
33,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
34,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
35,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
36,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
37,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
38,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN
39,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
40,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
41,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO
42,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
43,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
44,2017_PNAS_Li___STAT5B_IL2-CD8
45,2017_PNAS_Li___STAT5B_IL2-WT-CD4
46,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4
47,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
48,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
49,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8
50,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO
51,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
52,2017_PNAS_Li___STAT5B_IL2-CD4
53,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
54,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8
55,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT
56,2017_PNAS_Li___STAT3_IL21-CD4
57,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8
58,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8
59,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8
60,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
61,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV
62,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE
63,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP
64,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8
65,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT
66,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO
67,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
68,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
69,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN
70,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory
71,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO
72,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO
73,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
74,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
75,2017_PNAS_Li___STAT3_noIL21-CD4
76,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8
77,2016_SCIENCE_Mackay___Hobit_invitro-CD8
78,2017_PNAS_Li___STAT5B_noIL2-CD8
79,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO
80,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT
81,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
