All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Hmgb2,1.0698728759111842,Hmgb2,1.1548674326580286,Cd74,0.8478618925016324,Eif2ak2,Ifngr1,Uhrf1
Mcm5,0.8632666297010326,Mcm5,0.8757043115873004,Ebf1,0.7987091146132607,Bst2,Lmo4,Cd74
Uhrf1,0.7328570913061154,Snrpd1,0.7973844287778978,L3mbtl3,0.5771796472717291,Rbl1,Taf1a,Mcm8
Nap1l1,0.7255987009953602,Uhrf1,0.7890151477596145,Mxd1,0.5304486858220526,Pcgf5,Lgals9,Arntl
Snrpd1,0.6591591498125797,Nap1l1,0.6520483351474361,Irf7,0.5245197561016612,Fcgr2b,Nfyb,Cd226
Ezh2,0.6024687280399034,Trip13,0.6434203796178702,Ncoa4,0.5057176910448062,Cops5,Zfp131,H2-Eb1
Mcm4,0.5878169255453304,Mcm7,0.6376130344066019,Itga1,0.4955087482411115,Prmt1,Cd2,Espl1
Mcm3,0.5873374005335009,E2f8,0.6262729991733885,Gtf2ird1,0.47162052109805097,Hmmr,Hdac1,Chaf1a
Trip13,0.5696369053940108,Brip1,0.6089036371035922,Cd2,0.4672637369190967,Aff3,Parn,Myb
Bard1,0.5667610557584538,Cenpk,0.5835336182064652,Entpd1,0.45438805118510345,Mcm5,Rbbp5,Cenpk
E2f8,0.5493894809458355,Timeless,0.5760045347550404,Ccr2,0.43921113627319547,Jaml,Plrg1,E2f8
Timeless,0.5453807111095083,Mcm6,0.5572901430760556,Hells,0.4273032869465399,Mybl2,Prmt3,Dnmt1
Hmmr,0.5391470307294196,Hnrnpab,0.5486876854224214,Padi2,0.4237275500463109,Cd69,Elp3,Brca1
Cenpk,0.5363487628345667,Kntc1,0.5374359590798398,Hdgf,0.41214497234671205,Padi4,Klrg1,Cxcr6
Mcm7,0.5337362752069548,Mcm4,0.5333562390843063,Smad3,0.40510563195239035,Hmgb2,Ilf3,Sp100
Brip1,0.5330974214422775,Mcm3,0.5255943316434034,Sp100,0.39922208097174694,Tnfsf8,Ms4a1,Tnfrsf9
E2f2,0.5077028398450326,Ezh2,0.5240023391892091,Mcm7,0.39682737755583886,E2f2,E2f3,Mxd1
Kntc1,0.4902764057993377,Bard1,0.5183111180907863,Cd226,0.39432645112956066,Dpp4,Pvr,Parp1
Hnrnpab,0.4884349110446942,Dnmt1,0.5156963098889615,Tcf7,0.3906016570177073,Hnrnpab,Nfatc3,Ebf1
Aurkb,0.48615707248939893,Hmmr,0.4696400930821514,Taf4b,0.38858988140783357,Il23r,Igf2r,Ly86
Tnfrsf9,0.4802824228016156,E2f1,0.44791563413445057,Pou2f2,0.364078029326251,Klra3,L3mbtl3,Nap1l1
Suv39h1,0.47276476415544133,Suv39h1,0.44596253713153355,Arntl,0.36053924443829566,Il2ra,Ddb1,Kntc1
Mcm6,0.44565468738279834,Rad51,0.43690495465930135,Bard1,0.35696365876777025,Mcm6,Nfe2l1,E2f1
Brca1,0.4409271010317789,Tfdp1,0.4337928358674029,Zfp236,0.3491518541996557,Fasl,Gtf2f2,Plaur
Lgals3,0.4352249545613523,Brca1,0.4290577593668724,Notch2,0.34879632808429134,Mcm3,Ccr2,Mcm4
Chaf1a,0.42951704509846445,E2f2,0.4228159768776378,Ifngr1,0.34648912018445677,Wdhd1,Polr2f,H2-Ab1
Dnmt1,0.41143184062491095,Chaf1a,0.4225295087621677,Tcf4,0.34383351485506086,Csf1r,Igf1r,Itga1
Pdcd1,0.3925174483859144,Aurkb,0.4224132844905952,Hbp1,0.3399361501331887,Phf19,Ncoa4,Kdm7a
Mcm2,0.3916601460375511,Brca2,0.42229066943563637,Nfyb,0.3284283029446046,Slamf6,Cd52,Trip13
Wdhd1,0.3915504180467037,Mcm2,0.4191329405818463,Kdm7a,0.3220987361406485,Brca2,Zfp236,Bard1
Rad51,0.3851999205916159,Mcm8,0.4161607965904092,Itgal,0.32110811534718486,Lgals3,Smad3,Foxm1
Kdm7a,0.3847260506720136,Tnfrsf9,0.4141586530262793,Sell,0.31873853846814343,Havcr2,Klrd1,Zfp36l1
Arntl,0.3838162197231331,Mybl2,0.407197542754017,Kntc1,0.3181900124017699,Il18rap,Lag3,Sell
E2f1,0.3795194740453509,Wdhd1,0.39253089643553146,Igf1r,0.31214986892418495,Daxx,Pou2f2,Mcm7
Hells,0.375979008698313,Kdm7a,0.39048537124200877,Mcm8,0.3090825409383006,Pml,Tnfsf4,Gtf2ird1
Mybl2,0.3740886776218964,Lgals3,0.38642806691225084,Tnfrsf9,0.3039984571849102,Ncor1,Nfatc1,Tcf7
Mcm8,0.37222592090651785,Tcf19,0.3839104141694536,Myb,0.30248184796107,Ascc3,Ncam1,Rad51
Tfdp1,0.36158972109882453,Itgal,0.36391626366850754,H2-Eb1,0.3000413194222784,Cd96,Klrc2,Tfdp1
Brca2,0.3611886478059586,Hells,0.3618998019268144,Ttf2,0.29918531755970834,Mcm2,Gadd45b,Snrpd1
Cd226,0.3571958812421024,Arntl,0.3605571610755293,Ncam1,0.29827969750890626,Itga4,Padi2,Atf3
Zfp36l1,0.3566575475138661,Parp1,0.3601313881861743,Aurkb,0.29803135729740704,Lef1,Entpd1,Hells
Cbx1,0.3523660318263512,Cd226,0.35796498547147426,Klrd1,0.2939478207971203,Ikzf2,Gata3,Itgal
Parp1,0.3450121018622657,Klra1,0.356804918085708,Lgals9,0.29150833197371473,Dpy30,Zfp341,Irf4
Ggt1,0.3448867012095689,Itgb1,0.35587403920981225,Ddb1,0.2912442270465155,Suv39h2,Trp73,Aurkb
Itgal,0.34418562291392224,Rora,0.3515394527007913,E2f8,0.2884101912624939,Ifi204,Klf4,Brip1
Pa2g4,0.33445514342064264,Myb,0.34240572678537995,Gadd45b,0.2877947121332261,Suv39h1,Kdm6b,Klrk1
Itgb1,0.33310198626823506,Il2ra,0.3410945923361983,Lag3,0.2835972122601692,Zeb2,Abcb1a,
Cd96,0.332590979154616,Cxcr6,0.33522920182769506,Cxcr6,0.27709730872242505,Itgb1,Notch2,
Chaf1b,0.3317715001669252,Pa2g4,0.33516768992755414,Fcgr1,0.27630655216825395,Fosb,Elk3,
Klrk1,0.33115563915077517,Chaf1b,0.32601016816251105,Cd52,0.2706148361959019,Timeless,Kat2b,
Cxcr6,0.3309138804663914,Il18r1,0.3231285237194881,Ilf3,0.26892994940592224,Rora,Hbp1,
Myb,0.32805819027760064,Cd96,0.32119212869149055,E2f1,0.26851122983490466,Klra1,Tcf4,
Havcr2,0.3252406678423054,Foxm1,0.31923846250435745,Slc3a2,0.26610060911590905,Cxcr2,Fiz1,
Klra1,0.32495616871460825,Espl1,0.3184080239894437,Zfp62,0.2649213909428052,Foxp1,Zfp62,
Tcf7,0.32243865610526073,Havcr2,0.31713123636149293,Chaf1a,0.2645626508833087,Pou6f1,Ttf2,
Foxm1,0.321862643467013,Suv39h2,0.31705153120330326,Mcm4,0.2642206206065472,Cbx1,Fcgr1,
Cops5,0.3198421286877516,Phf19,0.3131176688079535,Hdac1,0.2636207169601456,Il18r1,Slc3a2,
Itga1,0.3196646864982794,Il18rap,0.3105987223404807,Polr2f,0.26292401164822454,Pa2g4,Taf4b,
Il2ra,0.3189800298295227,Zfp36l1,0.3036670577672214,Espl1,0.2604031512411507,Nrp1,Epcam,
Il18rap,0.318267469885442,Il1r2,0.30004900678004215,Plrg1,0.25795985959518003,Pirb,Hdgf,
Dpy30,0.31451134652804835,Klrk1,0.2983084623483052,Lmo4,0.2539154866941879,Tcf19,Irf7,
Tcf19,0.3135304659179536,Ebf1,0.2951920518647878,Dnmt1,0.25383531696655415,Mxd3,Stat1,
Il18r1,0.3126183286247414,Tcf7,0.29392208977677725,Nfatc3,0.2508138698463073,Bcl11a,,
Ruvbl2,0.3102448986507229,Nrp1,0.2896834673387781,Kdm6b,0.24803561922103776,Il1r2,,
Hdac1,0.3089040450834466,Itga1,0.28071879163906693,Zfp36l1,0.24541764355868387,Satb1,,
Suv39h2,0.3053363686371107,Dpy30,0.2756115911979005,Klrk1,0.24504111719881833,Cd300c2,,
Rora,0.30518503226033517,Cbx1,0.2744847852981373,Nap1l1,0.24459822245479135,Il7r,,
Bcl11a,0.2909060820358768,Pou6f1,0.27324122987073307,Rad51,0.24436072613806425,Cd83,,
Kdm5b,0.28324735746134555,Fosb,0.2676193309966154,Snrpd1,0.2443159196033821,Pou2af1,,
Espl1,0.28115993402923684,Cops5,0.2644312461750306,Fiz1,0.24241645085415653,Ezh2,,
Pou6f1,0.27763001536353477,Gtf2ird1,0.2599538296430386,Igf2r,0.233718059984826,Actl6a,,
Fosb,0.27310787255099367,Actl6a,0.25972586779292556,Cenpk,0.23330833921030567,Cd6,,
Fasl,0.2712264759125376,Cd6,0.2554484551685018,Nfatc1,0.23243952419644742,Batf3,,
Phf19,0.2705622738437229,Il7r,0.25526421563432317,Trp73,0.23156942899574356,Cd200r1,,
Sp100,0.2664898805835985,Pou2af1,0.2522490363071373,Elk3,0.231437416878058,Chaf1b,,
Gtf2ird1,0.26602044094915583,Fasl,0.2521946855226349,Klrc2,0.2307034288074018,,,
Satb1,0.2583879730464069,Foxp1,0.2516378625559773,Abcb1a,0.2304843084201818,,,
Irf4,0.25574802420186976,Satb1,0.2504734995705714,Epcam,0.22843983721775005,,,
Il7r,0.2527308164773987,Irf4,0.2504379589521974,Pvr,0.22707465314754535,,,
Actl6a,0.2524516560677235,Dpp4,0.25014890222020814,Klf4,0.22541456664177223,,,
Mxd1,0.25015865368242945,Mxd1,0.24834143276037837,Taf1a,0.22416586542148256,,,
Rbl1,0.24961543618098256,Rbl1,0.24731455216095996,Trip13,0.2181416527329304,,,
Foxp1,0.2487907160253537,Pirb,0.24655335620479948,Ms4a1,0.21300216811248873,,,
Nab1,0.2483454798485034,Itga4,0.24226848207724053,Zfp341,0.21218293440318417,,,
Pou2af1,0.24713206631534604,Fcgr2b,0.2407782221049855,Gtf2f2,0.21122999036557757,,,
Cd6,0.24692232159882954,Zeb2,0.23885731550594919,Zfp131,0.21082047161690531,,,
Dpp4,0.24687252475621854,Aff3,0.22408741591415757,Brip1,0.21026047632389777,,,
Ddx5,0.24615054320374252,Lef1,0.21450052658251093,Parp1,0.20993473768551185,,,
Klra3,0.24042547064940664,Slamf6,0.21225665568084706,Stat1,0.20957520420741652,,,
Zeb2,0.23985481406495437,Cd69,0.2113497659556489,Brca1,0.20759788434511842,,,
Nrp1,0.2388303665873604,Prmt1,0.20600381066382722,Plaur,0.20708258202081742,,,
Cbfa2t3,0.23748386089835105,Mxd3,0.20516438042581905,Ly86,0.207082578920416,,,
Ctcf,0.2371420581642255,Ncor1,0.20512939707739186,Rbbp5,0.2041204092327758,,,
Itga4,0.23463390473568782,Ascc3,0.20168615599141437,Foxm1,0.20271729002261368,,,
Aff3,0.23411187991069932,Tnfsf8,0.18925321915311105,Prmt3,0.2022154441933099,,,
Fcgr2b,0.23382893072760128,Sp100,0.18584850085145385,Tnfsf4,0.2019337383389845,,,
Atf3,0.22899318278058983,Il23r,0.18403041128548298,Irf4,0.20186557786677867,,,
Klrg1,0.22450724736083574,Klra3,0.17428153471621205,Nfe2l1,0.19912603941523985,,,
Prmt1,0.22308429162486304,Ikzf2,0.15646240303332076,Atf3,0.19849573426740377,,,
Slamf6,0.2165201485648432,Atf3,0.15010864681284028,Parn,0.19645323182400157,,,
Hmgb3,0.2161212623573341,Bst2,0.14847157976534878,Uhrf1,0.1946099558893623,,,
Ncor1,0.2152283292869451,Ifi204,0.1432160823422088,Kat2b,0.1920683566735925,,,
