All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common,Union_likelihood_genes,Arm_Ms,Cl13_Ms,All_Ms,Arm_Mu,Cl13_Mu,All_Mu,Arm_Velocity,Cl13_Velocity,All_Velocity
Dek,0.8094363043314061,Cbx5,0.5976412692399751,Dek,0.7140557813606913,Hlf,Kntc1,Brca1,Setbp1,0.049740977585315704,0.1742250770330429,0.12266591936349869,1.7348164319992065,3.2709290981292725,2.6288108825683594,0.007565723161023413,2.0546159744262695,0.023406607118734893
Uhrf1,0.564447035832276,Hells,0.5846299677894256,Il18rap,0.5958762065488854,Cbx3,Trp73,Khdrbs1,Klrb1c,0.014622426591813564,0.3884846568107605,0.23778173327445984,0.001982995541766286,0.014426637440919876,0.008010062389075756,,-0.0006909891963005066,-0.01574882398493596
Hells,0.5385515354242743,Mcm3,0.5638038527168664,Mcm4,0.5843277289879424,Pcgf5,Klrb1c,Cbx5,Padi2,0.2094137966632843,0.24284662306308746,0.23113131523132324,0.23044006526470184,0.20547698438167572,0.21977686882019043,0.017982533723212325,-0.06662829220294952,
Il18rap,0.5327426914607344,Ezh2,0.5141014596229612,Snrpd1,0.4859645123353011,Itgb1,Ikzf3,Setbp1,Ikzf3,0.766086757183075,1.1098755598068237,0.9769895076751709,3.2206451892852783,4.260658264160156,3.854741096496582,,1.0861804485321045,0.02194637457166919
Mcm4,0.49960243509852553,Hat1,0.49290756314645834,Foxn3,0.4827649444318545,Mtf2,Trbc1,Supt16,Rad51,0.08310461789369583,0.0417298823595047,0.05895889177918434,0.24154946208000183,0.17406420409679413,0.20305633544921875,0.011447564862362616,0.041380625218153,0.008875308255016085
Cbx5,0.4779666008429673,Uhrf1,0.49119102492398214,Mcm5,0.47553343342844745,Zeb2,E2f8,Fcgr2b,Trbc1,11.231731414794922,11.485821723937988,11.396355628967285,1.4185525178909302,1.6254793405532837,1.5267565250396729,,0.386401504278183,
Hat1,0.4776335963040122,Rbbp7,0.4373035482764866,Hells,0.46965092765489075,Ifngr1,Rel,Id2,Rbbp7,1.9873677492141724,1.4236090183258057,1.6571991443634033,0.5705479979515076,0.3508995771408081,0.4410097002983093,-0.15043321017512667,0.012613015249371529,-0.1736633395716156
Snrpd1,0.47698027423246214,Dpy30,0.4318510740973992,Timeless,0.46914804494824974,Padi2,Aurkb,Snrpd1,E2f8,0.25959399342536926,0.09704062342643738,0.16171370446681976,0.05207214131951332,0.017888393253087997,0.0319199301302433,,0.005443480797111988,-0.02228571570295889
Mcm3,0.47660177050564356,Ssrp1,0.4291382067055399,Mcm7,0.46732384279202366,Hnrnpd,Taf1,Brip1,Paxip1,0.3157048225402832,0.29960495233535767,0.2997605502605438,0.20910266041755676,0.15208172798156738,0.17663265764713287,0.017147617706768408,0.0234482791274786,0.006528232673990323
Ssrp1,0.45468189895228445,Suz12,0.42463722071285387,Ezh2,0.45514314957702184,Klrc1,Tgif1,Tcf7,Atf1,0.9329609870910645,0.8104332089424133,0.8637568354606628,0.6954736709594727,0.6259295344352722,0.6592945456504822,0.01686792999278493,-0.10263410210609436,
Ezh2,0.4539988160093802,Brca2,0.42183518548893734,Atad2,0.4534995628463604,Smarcc1,Atp1b3,Mcm3,Kdm7a,0.32166361808776855,0.41412124037742615,0.3781047761440277,0.9190511107444763,1.1852147579193115,1.0743218660354614,0.036567302444867264,0.30595535039901733,0.04734853332009749
Atad2,0.45331101841805,Mcm6,0.4077380978980696,Dnmt1,0.44937239288392256,Kmt5b,Ep300,Mcm8,Taf1,0.3935575485229492,0.35575273633003235,0.37025436758995056,0.9082490801811218,0.6293521523475647,0.7461951375007629,,0.0648474395275116,0.01070993796536514
Timeless,0.44450945211148346,Timeless,0.4077354051304409,Trip13,0.4452558655924236,Cxcr6,Zbtb10,Ezh2,Aurkb,0.191129669547081,0.1552758365869522,0.1730593889951706,0.0010211084736511111,0.006412120070308447,0.0045021045953035355,,0.0003278559888713062,
Foxn3,0.4409181507414258,Sp100,0.4061894411284125,Klrd1,0.43819584236681913,Pa2g4,H2-Ab1,Wdhd1,Ighm,0.42534899711608887,1.6854978799819946,1.1804448366165161,0.35235902667045593,0.8322795629501343,0.6353381872177124,0.044220365809961075,-0.028492575511336327,0.09981870807739694
Dnmt1,0.43396844592137757,Fkbp5,0.40462118063375246,Chaf1a,0.4279722003231595,Crtam,Wbp11,Fli1,Klra4,0.007700078189373016,0.0,0.0023357721511274576,0.009793171659111977,0.0,0.0033948638010770082,0.004048964408180257,0.0,0.0015726747699654198
Rbbp4,0.42708253859928036,Mcm4,0.3998040107948095,Cd74,0.4212042107989623,Klf3,Nsd1,Klrk1,Atp1b3,5.245168209075928,5.08831262588501,5.138161659240723,1.607739806175232,1.4688758850097656,1.5274752378463745,,0.13429641723632812,-0.0031803157284506427
Il18r1,0.41172443202930575,Nsd2,0.39833702810495064,Orc1,0.4181816320150004,Mcm6,Actb,Klrd1,Ep300,0.49049365520477295,0.6205161809921265,0.5667728185653687,0.3141566812992096,0.5088895559310913,0.4289712905883789,,0.14112645387649536,-0.0019842741897592715
Tox,0.40950544764887487,Bard1,0.397862180353524,Actb,0.41622815447139794,Cd226,Zbtb38,Tcerg1,Zbtb10,0.0011784821981564164,0.003021189710125327,0.002241990529000759,0.004527352750301361,0.0061585502699017525,0.004974348470568657,,0.0010167380096390843,0.0013135832525041013
Rbbp7,0.4080227344808082,Atad2,0.3950512098106311,Nsd2,0.41068285398341686,Fasl,Mcm5,Ssrp1,Cd74,0.02902183309197426,0.12780877947807312,0.08808337897062302,0.04897245764732361,0.1710965633392334,0.12002761662006378,0.01590007120861993,0.035971783101558685,0.11210603697442945
Nsd2,0.40020251911239885,Nap1l1,0.39284646756063873,Rbbp4,0.40892047515361807,Cd53,Zfhx2,Rad51,Wbp11,0.9284714460372925,0.6526165008544922,0.7614988684654236,0.3057834506034851,0.2037075310945511,0.24519318342208862,,0.0238594152033329,
